"number","value","datetime_start","datetime_complete","duration","params_decoder_layer_width_0","params_decoder_layer_width_1","params_decoder_layer_width_2","params_decoder_layer_width_3","params_decoder_layer_width_4","params_encoder_layer_width_0","params_encoder_layer_width_1","params_encoder_layer_width_2","params_encoder_layer_width_3","params_encoder_layer_width_4","params_lr","params_n_decoder_layers","params_n_encoder_layers","user_attrs_avg_mae","user_attrs_avg_mape","user_attrs_avg_ndcg10","user_attrs_avg_ndcg20","user_attrs_avg_ndcg50","user_attrs_avg_r2","user_attrs_fold10_mae","user_attrs_fold10_mape","user_attrs_fold10_ndcg10","user_attrs_fold10_ndcg20","user_attrs_fold10_ndcg50","user_attrs_fold10_r2","user_attrs_fold11_mae","user_attrs_fold11_mape","user_attrs_fold11_ndcg10","user_attrs_fold11_ndcg20","user_attrs_fold11_ndcg50","user_attrs_fold11_r2","user_attrs_fold12_mae","user_attrs_fold12_mape","user_attrs_fold12_ndcg10","user_attrs_fold12_ndcg20","user_attrs_fold12_ndcg50","user_attrs_fold12_r2","user_attrs_fold13_mae","user_attrs_fold13_mape","user_attrs_fold13_ndcg10","user_attrs_fold13_ndcg20","user_attrs_fold13_ndcg50","user_attrs_fold13_r2","user_attrs_fold14_mae","user_attrs_fold14_mape","user_attrs_fold14_ndcg10","user_attrs_fold14_ndcg20","user_attrs_fold14_ndcg50","user_attrs_fold14_r2","user_attrs_fold15_mae","user_attrs_fold15_mape","user_attrs_fold15_ndcg10","user_attrs_fold15_ndcg20","user_attrs_fold15_ndcg50","user_attrs_fold15_r2","user_attrs_fold1_mae","user_attrs_fold1_mape","user_attrs_fold1_ndcg10","user_attrs_fold1_ndcg20","user_attrs_fold1_ndcg50","user_attrs_fold1_r2","user_attrs_fold2_mae","user_attrs_fold2_mape","user_attrs_fold2_ndcg10","user_attrs_fold2_ndcg20","user_attrs_fold2_ndcg50","user_attrs_fold2_r2","user_attrs_fold3_mae","user_attrs_fold3_mape","user_attrs_fold3_ndcg10","user_attrs_fold3_ndcg20","user_attrs_fold3_ndcg50","user_attrs_fold3_r2","user_attrs_fold4_mae","user_attrs_fold4_mape","user_attrs_fold4_ndcg10","user_attrs_fold4_ndcg20","user_attrs_fold4_ndcg50","user_attrs_fold4_r2","user_attrs_fold5_mae","user_attrs_fold5_mape","user_attrs_fold5_ndcg10","user_attrs_fold5_ndcg20","user_attrs_fold5_ndcg50","user_attrs_fold5_r2","user_attrs_fold6_mae","user_attrs_fold6_mape","user_attrs_fold6_ndcg10","user_attrs_fold6_ndcg20","user_attrs_fold6_ndcg50","user_attrs_fold6_r2","user_attrs_fold7_mae","user_attrs_fold7_mape","user_attrs_fold7_ndcg10","user_attrs_fold7_ndcg20","user_attrs_fold7_ndcg50","user_attrs_fold7_r2","user_attrs_fold8_mae","user_attrs_fold8_mape","user_attrs_fold8_ndcg10","user_attrs_fold8_ndcg20","user_attrs_fold8_ndcg50","user_attrs_fold8_r2","user_attrs_fold9_mae","user_attrs_fold9_mape","user_attrs_fold9_ndcg10","user_attrs_fold9_ndcg20","user_attrs_fold9_ndcg50","user_attrs_fold9_r2","user_attrs_pca_components","system_attrs_completed_rung_0","system_attrs_completed_rung_1","state"
10,0.12990768253803253,"2025-05-16 15:30:58.836993","2025-05-16 15:30:59.607819","0 days 00:00:00.770826",16,16.0,48.0,96.0,"",64,256.0,16.0,256.0,"",0.00011244768488520732,4,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1688154935836792,53.910194396972656,0.24819302558898926,0.35245490074157715,0.5652064085006714,-0.6394180059432983,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.12990768253803253,"","PRUNED"
11,0.14871119757493337,"2025-05-16 15:30:59.608107","2025-05-16 15:31:02.144210","0 days 00:00:02.536103",256,16.0,"","","",32,"","","","",0.006289828173196683,2,1,0.14871119757493337,561.0017306009928,0.45186390628417333,0.4553797110915184,0.4947009419401487,-0.09079643487930297,0.19508503377437592,248.65933227539062,0.08941695839166641,0.1337995082139969,0.3337598443031311,-0.13795769214630127,0.1833261400461197,65.54070281982422,0.28286150097846985,0.25799304246902466,0.3338666260242462,-0.4187765121459961,0.12839312851428986,233.71200561523438,0.0858374834060669,0.09122859686613083,0.11423102766275406,-0.08211386203765869,0.11553588509559631,85.47826385498047,0.1223323717713356,0.15858952701091766,0.2505857050418854,-0.14110779762268066,0.23428286612033844,163.0916290283203,0.5482202768325806,0.5245109796524048,0.4542466700077057,-0.3125866651535034,0.1107732504606247,173.0477752685547,0.18762293457984924,0.1897653341293335,0.2705908417701721,-0.08104860782623291,0.15038520097732544,57.00294876098633,0.8325400948524475,0.8065815567970276,0.7640493512153625,-0.08807885646820068,0.21476063132286072,1130.9454345703125,0.5765334367752075,0.6010830402374268,0.798923671245575,-0.19846630096435547,0.14362959563732147,95.61860656738281,0.8229089379310608,0.7681970596313477,0.7459671497344971,-0.08901917934417725,0.12868641316890717,55.55204772949219,0.8191537857055664,0.8122243881225586,0.8317389488220215,0.07037526369094849,0.10920222103595734,539.9263916015625,0.3385761082172394,0.3508644998073578,0.36363011598587036,-0.23522615432739258,0.10357864946126938,1490.532958984375,0.09465781599283218,0.07336361706256866,0.15990431606769562,-0.07535779476165771,0.12427770346403122,248.7976837158203,0.7790677547454834,0.7687620520591736,0.7478405237197876,0.08314365148544312,0.13005098700523376,568.7544555664062,0.426247239112854,0.571701169013977,0.5574419498443604,0.10480391979217529,0.15870025753974915,3258.36572265625,0.7719818949699402,0.72203129529953,0.6937373876571655,0.23947006464004517,5.0,0.10826907306909561,0.11393283307552338,"COMPLETE"
12,0.14860920508702596,"2025-05-16 15:31:02.144640","2025-05-16 15:31:06.689554","0 days 00:00:04.544914",256,"","","","",16,112.0,16.0,"","",0.006344112867077522,1,3,0.14860920508702596,545.9965642293295,0.3609993727877736,0.3624421174948414,0.42421109043061733,-0.12923812468846638,0.194404736161232,232.6155242919922,0.034263450652360916,0.056596219539642334,0.11492081731557846,-0.15944898128509521,0.1843414455652237,64.40765380859375,0.2035047560930252,0.17895688116550446,0.22807739675045013,-0.43481361865997314,0.11714372038841248,196.0633544921875,0.04364757239818573,0.057349082082509995,0.1378755271434784,-0.029439091682434082,0.12001627683639526,84.7474136352539,0.3785744607448578,0.33153560757637024,0.3653588891029358,-0.21355020999908447,0.23466923832893372,147.06201171875,0.20957337319850922,0.1743798553943634,0.28971609473228455,-0.34401094913482666,0.10591916739940643,163.6976318359375,0.20461541414260864,0.1743699461221695,0.16961516439914703,-0.029131650924682617,0.18716950714588165,67.14335632324219,0.5530536770820618,0.5196748375892639,0.5830196142196655,-0.7262039184570312,0.2228642851114273,1557.552001953125,0.26215577125549316,0.40264028310775757,0.655555784702301,-0.34289705753326416,0.12033963948488235,79.94189453125,0.8059096932411194,0.7509185671806335,0.7835785746574402,0.20029819011688232,0.13695022463798523,50.761474609375,0.8083941340446472,0.708257794380188,0.7878817319869995,-0.14028120040893555,0.09899668395519257,598.080322265625,0.3304576575756073,0.38487130403518677,0.4735158085823059,-0.04799973964691162,0.10283350199460983,1503.4600830078125,0.004796965979039669,0.004482653923332691,0.008729251101613045,-0.033496975898742676,0.13130050897598267,632.7901611328125,0.9806159734725952,0.8501558899879456,0.8017380237579346,0.29046010971069336,0.12197621166706085,408.7266540527344,0.3005253076553345,0.4574511647224426,0.5617783665657043,-0.0016777515411376953,0.15021292865276337,2402.89892578125,0.29490238428115845,0.38499167561531067,0.4018053114414215,0.07362097501754761,5.0,0.1124352440237999,0.11350957304239273,"COMPLETE"
13,0.11296754330396652,"2025-05-16 15:31:06.690016","2025-05-16 15:31:07.306740","0 days 00:00:00.616724",176,"","","","",16,80.0,16.0,"","",0.007075032795932776,1,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.15030056238174438,51.07793045043945,0.8684201836585999,0.7652604579925537,0.8024532198905945,-0.26363706588745117,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11296754330396652,"","PRUNED"
14,0.11399495601654053,"2025-05-16 15:31:07.306994","2025-05-16 15:31:08.276760","0 days 00:00:00.969766",256,96.0,256.0,128.0,"",112,128.0,80.0,160.0,"",0.005824965460745608,4,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13404451310634613,39.484031677246094,0.5067000985145569,0.49257004261016846,0.6213906407356262,-0.314208984375,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11399495601654053,"","PRUNED"
15,0.12845934927463531,"2025-05-16 15:31:08.277031","2025-05-16 15:31:08.733969","0 days 00:00:00.456938",160,"","","","",48,128.0,"","","",0.07021664442794683,1,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.18684105575084686,63.34688186645508,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.8193508386611938,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.12845934927463531,"","PRUNED"
16,0.11486689001321793,"2025-05-16 15:31:08.734206","2025-05-16 15:31:09.370946","0 days 00:00:00.636740",80,64.0,112.0,"","",112,256.0,64.0,"","",0.0010518387382652187,3,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.18322418630123138,65.60549926757812,0.42308759689331055,0.4549116790294647,0.5813430547714233,-0.6821136474609375,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11486689001321793,"","PRUNED"
17,0.11409775167703629,"2025-05-16 15:31:09.371207","2025-05-16 15:31:11.382989","0 days 00:00:02.011782",192,160.0,176.0,"","",160,160.0,160.0,16.0,"",0.004227142372748274,3,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.14333541691303253,45.67473220825195,0.7395132780075073,0.681250274181366,0.689303994178772,-0.3273956775665283,0.22230921685695648,1359.1864013671875,0.3100225627422333,0.397847443819046,0.6350540518760681,-0.29033851623535156,0.14879277348518372,62.380367279052734,0.6791453957557678,0.6261222958564758,0.7000665068626404,-0.40294361114501953,0.1208374947309494,53.068931579589844,0.7350683212280273,0.698977530002594,0.7847371697425842,0.1045488715171814,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11157944053411484,0.11409775167703629,"PRUNED"
18,0.11556051671504974,"2025-05-16 15:31:11.383275","2025-05-16 15:31:12.170883","0 days 00:00:00.787608",32,96.0,"","","",16,224.0,64.0,208.0,"",0.014952525796964017,2,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.17806896567344666,60.39250564575195,0.42223435640335083,0.3776843845844269,0.5391470193862915,-0.681922197341919,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11556051671504974,"","PRUNED"
19,0.11447983235120773,"2025-05-16 15:31:12.171164","2025-05-16 15:31:12.814689","0 days 00:00:00.643525",112,64.0,80.0,256.0,256.0,64,112.0,"","","",0.0008558818858735431,5,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.17043790221214294,60.62382888793945,0.33991605043411255,0.435889333486557,0.5484528541564941,-0.5376578569412231,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11447983235120773,"","PRUNED"
