"number","value","datetime_start","datetime_complete","duration","params_decoder_layer_width_0","params_decoder_layer_width_1","params_decoder_layer_width_2","params_decoder_layer_width_3","params_decoder_layer_width_4","params_encoder_layer_width_0","params_encoder_layer_width_1","params_encoder_layer_width_2","params_encoder_layer_width_3","params_encoder_layer_width_4","params_lr","params_n_decoder_layers","params_n_encoder_layers","user_attrs_avg_mae","user_attrs_avg_mape","user_attrs_avg_ndcg10","user_attrs_avg_ndcg20","user_attrs_avg_ndcg50","user_attrs_avg_r2","user_attrs_fold10_mae","user_attrs_fold10_mape","user_attrs_fold10_ndcg10","user_attrs_fold10_ndcg20","user_attrs_fold10_ndcg50","user_attrs_fold10_r2","user_attrs_fold11_mae","user_attrs_fold11_mape","user_attrs_fold11_ndcg10","user_attrs_fold11_ndcg20","user_attrs_fold11_ndcg50","user_attrs_fold11_r2","user_attrs_fold12_mae","user_attrs_fold12_mape","user_attrs_fold12_ndcg10","user_attrs_fold12_ndcg20","user_attrs_fold12_ndcg50","user_attrs_fold12_r2","user_attrs_fold13_mae","user_attrs_fold13_mape","user_attrs_fold13_ndcg10","user_attrs_fold13_ndcg20","user_attrs_fold13_ndcg50","user_attrs_fold13_r2","user_attrs_fold14_mae","user_attrs_fold14_mape","user_attrs_fold14_ndcg10","user_attrs_fold14_ndcg20","user_attrs_fold14_ndcg50","user_attrs_fold14_r2","user_attrs_fold15_mae","user_attrs_fold15_mape","user_attrs_fold15_ndcg10","user_attrs_fold15_ndcg20","user_attrs_fold15_ndcg50","user_attrs_fold15_r2","user_attrs_fold16_mae","user_attrs_fold16_mape","user_attrs_fold16_ndcg10","user_attrs_fold16_ndcg20","user_attrs_fold16_ndcg50","user_attrs_fold16_r2","user_attrs_fold17_mae","user_attrs_fold17_mape","user_attrs_fold17_ndcg10","user_attrs_fold17_ndcg20","user_attrs_fold17_ndcg50","user_attrs_fold17_r2","user_attrs_fold1_mae","user_attrs_fold1_mape","user_attrs_fold1_ndcg10","user_attrs_fold1_ndcg20","user_attrs_fold1_ndcg50","user_attrs_fold1_r2","user_attrs_fold2_mae","user_attrs_fold2_mape","user_attrs_fold2_ndcg10","user_attrs_fold2_ndcg20","user_attrs_fold2_ndcg50","user_attrs_fold2_r2","user_attrs_fold3_mae","user_attrs_fold3_mape","user_attrs_fold3_ndcg10","user_attrs_fold3_ndcg20","user_attrs_fold3_ndcg50","user_attrs_fold3_r2","user_attrs_fold4_mae","user_attrs_fold4_mape","user_attrs_fold4_ndcg10","user_attrs_fold4_ndcg20","user_attrs_fold4_ndcg50","user_attrs_fold4_r2","user_attrs_fold5_mae","user_attrs_fold5_mape","user_attrs_fold5_ndcg10","user_attrs_fold5_ndcg20","user_attrs_fold5_ndcg50","user_attrs_fold5_r2","user_attrs_fold6_mae","user_attrs_fold6_mape","user_attrs_fold6_ndcg10","user_attrs_fold6_ndcg20","user_attrs_fold6_ndcg50","user_attrs_fold6_r2","user_attrs_fold7_mae","user_attrs_fold7_mape","user_attrs_fold7_ndcg10","user_attrs_fold7_ndcg20","user_attrs_fold7_ndcg50","user_attrs_fold7_r2","user_attrs_fold8_mae","user_attrs_fold8_mape","user_attrs_fold8_ndcg10","user_attrs_fold8_ndcg20","user_attrs_fold8_ndcg50","user_attrs_fold8_r2","user_attrs_fold9_mae","user_attrs_fold9_mape","user_attrs_fold9_ndcg10","user_attrs_fold9_ndcg20","user_attrs_fold9_ndcg50","user_attrs_fold9_r2","user_attrs_pca_components","system_attrs_completed_rung_0","system_attrs_completed_rung_1","system_attrs_completed_rung_2","state"
0,0.15594277048812194,"2025-05-16 16:21:23.359941","2025-05-16 16:21:31.386400","0 days 00:00:08.026459",208,112.0,192.0,"","",256,144.0,240.0,80.0,"",0.025632103083405147,3,4,0.15594277048812194,2445.840326197007,0.4134304239688551,0.4153018407523632,0.4481917411527213,-0.3469558112761554,0.1410922259092331,655.428955078125,0.26205456256866455,0.4279492497444153,0.5358208417892456,0.07243019342422485,0.14818906784057617,2352.6171875,0.8206977248191833,0.6328950524330139,0.5611699223518372,0.004840195178985596,0.203631192445755,108.2549819946289,0.9848296642303467,0.9663011431694031,0.7692089676856995,-0.4316675662994385,0.21813081204891205,64.86474609375,0.38391774892807007,0.4002876281738281,0.3655586540699005,-0.7802556753158569,0.11984556168317795,92.6032485961914,0.11597520858049393,0.11398152261972427,0.12564516067504883,-0.32142460346221924,0.14740298688411713,64.62666320800781,0.08572003990411758,0.10929471999406815,0.16758662462234497,-0.6237177848815918,0.23909354209899902,128.09140014648438,0.5345004796981812,0.5333604216575623,0.5474701523780823,-0.4414389133453369,0.11441043764352798,73.92250061035156,0.8083118796348572,0.7125899195671082,0.6171275973320007,-0.4227020740509033,0.22451646625995636,89.1306381225586,0.574623167514801,0.5713106393814087,0.5492622256278992,-1.1363606452941895,0.20700737833976746,1577.4625244140625,0.7042190432548523,0.6860659718513489,0.7993433475494385,-0.2259829044342041,0.12750092148780823,54.144161224365234,0.15729229152202606,0.44170698523521423,0.5248095989227295,-0.32492542266845703,0.17352858185768127,61.04155349731445,0.31504952907562256,0.43937379121780396,0.5739128589630127,-0.6181643009185791,0.09050533175468445,33390.8984375,0.16561420261859894,0.14103548228740692,0.14870013296604156,-0.04148447513580322,0.10365016013383865,515.6172485351562,0.1114242896437645,0.184693843126297,0.3455054759979248,-0.1777406930923462,0.14993999898433685,246.36099243164062,0.027539202943444252,0.037243589758872986,0.1983923763036728,-0.2141817808151245,0.11659688502550125,1828.6396484375,0.06853697448968887,0.05395468696951866,0.05035826936364174,-0.06146800518035889,0.1259855479001999,275.5806579589844,0.9080111980438232,0.6080866456031799,0.7393873929977417,-0.15400433540344238,0.0,"","","","COMPLETE"
1,0.1420967162531965,"2025-05-16 16:21:31.386863","2025-05-16 16:21:39.759964","0 days 00:00:08.373101",240,112.0,208.0,32.0,"",16,224.0,256.0,80.0,160.0,0.0030996345068317406,4,5,0.1420967162531965,2945.4454195359176,0.5698208345428986,0.556063589585178,0.572251009152216,-0.11189680590349085,0.11830317229032516,231.39186096191406,0.32345399260520935,0.41538673639297485,0.5475044250488281,-0.08601939678192139,0.12769652903079987,1443.6080322265625,0.4350256621837616,0.3605155944824219,0.401430606842041,0.004474341869354248,0.19339102506637573,305.1663513183594,0.9539222717285156,0.9019667506217957,0.680859386920929,-0.061324238777160645,0.16181007027626038,56.00390625,0.9361351728439331,0.8069993257522583,0.7217984795570374,-0.07207977771759033,0.09337037801742554,100.29290771484375,0.901172399520874,0.7976849675178528,0.7609619498252869,0.270993173122406,0.10516626387834549,64.2784652709961,0.7609297037124634,0.7651661038398743,0.7873389720916748,0.2682783007621765,0.17730271816253662,177.6879119873047,0.9837178587913513,0.8950100541114807,0.6458746194839478,0.3040493130683899,0.0931704193353653,106.20223236083984,0.6445334553718567,0.6841453313827515,0.7349426746368408,0.15890103578567505,0.14106148481369019,45.984249114990234,0.32947394251823425,0.30478256940841675,0.5067705512046814,-0.31356990337371826,0.2267109453678131,3408.92138671875,0.47171348333358765,0.42288878560066223,0.7174243330955505,-0.24154555797576904,0.16779111325740814,70.08319091796875,0.47181013226509094,0.5736486911773682,0.6957869529724121,-0.7159775495529175,0.16003939509391785,74.5535659790039,0.28084859251976013,0.2482818365097046,0.3165096342563629,-0.47890758514404297,0.09140787273645401,39604.37109375,0.6934587359428406,0.6664741635322571,0.5963020920753479,0.0174868106842041,0.14341126382350922,1669.7364501953125,0.34179192781448364,0.37877050042152405,0.41178011894226074,-0.250980019569397,0.14804387092590332,160.4276123046875,0.5443584322929382,0.5377026200294495,0.5591159462928772,-0.2375044822692871,0.14064818620681763,2344.312744140625,0.02456684596836567,0.039655160158872604,0.028870217502117157,-0.3316293954849243,0.12631946802139282,209.5501708984375,0.5900415778160095,0.6540018320083618,0.6149961948394775,-0.13689076900482178,0.0,0.09584667533636093,0.10571984201669693,0.11001821607351303,"COMPLETE"
2,0.12679028511047363,"2025-05-16 16:21:39.760427","2025-05-16 16:21:40.353656","0 days 00:00:00.593229",64,240.0,176.0,128.0,16.0,32,192.0,"","","",0.00024192548887786187,5,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.177734836935997,58.00438690185547,0.3459988236427307,0.3337523937225342,0.5985044240951538,-0.7322828769683838,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.12679028511047363,"","","PRUNED"
3,0.11448630690574646,"2025-05-16 16:21:40.353948","2025-05-16 16:21:41.270799","0 days 00:00:00.916851",144,240.0,"","","",128,224.0,240.0,144.0,48.0,0.00023532073779900992,2,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.18585699796676636,66.46050262451172,0.34885072708129883,0.43227657675743103,0.5413506031036377,-0.7310425043106079,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11448630690574646,"","","PRUNED"
4,0.09615128487348557,"2025-05-16 16:21:41.271052","2025-05-16 16:21:41.944610","0 days 00:00:00.673558",192,64.0,224.0,144.0,"",32,160.0,80.0,"","",0.006106567902336702,4,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.14093150198459625,52.993743896484375,0.4516124129295349,0.4442389905452728,0.577192485332489,-0.173650860786438,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.09615128487348557,"","","PRUNED"
5,0.10058748722076416,"2025-05-16 16:21:41.944872","2025-05-16 16:21:42.699661","0 days 00:00:00.754789",80,160.0,48.0,"","",80,256.0,32.0,160.0,"",0.007351240240937144,3,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1550445556640625,50.74776840209961,0.3243003189563751,0.3058456778526306,0.42124277353286743,-0.4905356168746948,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.10058748722076416,"","","PRUNED"
6,0.09815946221351624,"2025-05-16 16:21:42.699918","2025-05-16 16:21:43.417317","0 days 00:00:00.717399",144,64.0,"","","",80,144.0,176.0,48.0,"",0.002834681189391994,2,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1294371783733368,51.867889404296875,0.48475024104118347,0.5611125230789185,0.6302891373634338,-0.000914454460144043,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.09815946221351624,"","","PRUNED"
7,0.0964839830994606,"2025-05-16 16:21:43.417575","2025-05-16 16:21:44.202809","0 days 00:00:00.785234",16,144.0,48.0,256.0,32.0,112,32.0,64.0,32.0,"",0.010820574868526146,5,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.14091038703918457,41.209224700927734,0.398341566324234,0.36372244358062744,0.4396265745162964,-0.3984299898147583,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0964839830994606,"","","PRUNED"
8,0.12581440806388855,"2025-05-16 16:21:44.203072","2025-05-16 16:21:45.036893","0 days 00:00:00.833821",240,48.0,176.0,224.0,"",160,64.0,160.0,128.0,"",0.00017909172986559205,4,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.19264936447143555,67.16304016113281,0.4816809296607971,0.44810327887535095,0.49740010499954224,-0.8664873838424683,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.12581440806388855,"","","PRUNED"
9,0.12879353761672974,"2025-05-16 16:21:45.037149","2025-05-16 16:21:45.624420","0 days 00:00:00.587271",80,"","","","",160,144.0,96.0,"","",0.02206988924766381,1,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1360040307044983,45.627628326416016,0.6616238951683044,0.7019325494766235,0.7196105122566223,-0.08606767654418945,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.12879353761672974,"","","PRUNED"
