"number","value","datetime_start","datetime_complete","duration","params_decoder_layer_width_0","params_decoder_layer_width_1","params_decoder_layer_width_2","params_decoder_layer_width_3","params_decoder_layer_width_4","params_lr","params_n_decoder_layers","user_attrs_avg_mae","user_attrs_avg_mape","user_attrs_avg_ndcg10","user_attrs_avg_ndcg20","user_attrs_avg_ndcg50","user_attrs_avg_r2","user_attrs_fold10_mae","user_attrs_fold10_mape","user_attrs_fold10_ndcg10","user_attrs_fold10_ndcg20","user_attrs_fold10_ndcg50","user_attrs_fold10_r2","user_attrs_fold11_mae","user_attrs_fold11_mape","user_attrs_fold11_ndcg10","user_attrs_fold11_ndcg20","user_attrs_fold11_ndcg50","user_attrs_fold11_r2","user_attrs_fold12_mae","user_attrs_fold12_mape","user_attrs_fold12_ndcg10","user_attrs_fold12_ndcg20","user_attrs_fold12_ndcg50","user_attrs_fold12_r2","user_attrs_fold13_mae","user_attrs_fold13_mape","user_attrs_fold13_ndcg10","user_attrs_fold13_ndcg20","user_attrs_fold13_ndcg50","user_attrs_fold13_r2","user_attrs_fold14_mae","user_attrs_fold14_mape","user_attrs_fold14_ndcg10","user_attrs_fold14_ndcg20","user_attrs_fold14_ndcg50","user_attrs_fold14_r2","user_attrs_fold15_mae","user_attrs_fold15_mape","user_attrs_fold15_ndcg10","user_attrs_fold15_ndcg20","user_attrs_fold15_ndcg50","user_attrs_fold15_r2","user_attrs_fold16_mae","user_attrs_fold16_mape","user_attrs_fold16_ndcg10","user_attrs_fold16_ndcg20","user_attrs_fold16_ndcg50","user_attrs_fold16_r2","user_attrs_fold17_mae","user_attrs_fold17_mape","user_attrs_fold17_ndcg10","user_attrs_fold17_ndcg20","user_attrs_fold17_ndcg50","user_attrs_fold17_r2","user_attrs_fold1_mae","user_attrs_fold1_mape","user_attrs_fold1_ndcg10","user_attrs_fold1_ndcg20","user_attrs_fold1_ndcg50","user_attrs_fold1_r2","user_attrs_fold2_mae","user_attrs_fold2_mape","user_attrs_fold2_ndcg10","user_attrs_fold2_ndcg20","user_attrs_fold2_ndcg50","user_attrs_fold2_r2","user_attrs_fold3_mae","user_attrs_fold3_mape","user_attrs_fold3_ndcg10","user_attrs_fold3_ndcg20","user_attrs_fold3_ndcg50","user_attrs_fold3_r2","user_attrs_fold4_mae","user_attrs_fold4_mape","user_attrs_fold4_ndcg10","user_attrs_fold4_ndcg20","user_attrs_fold4_ndcg50","user_attrs_fold4_r2","user_attrs_fold5_mae","user_attrs_fold5_mape","user_attrs_fold5_ndcg10","user_attrs_fold5_ndcg20","user_attrs_fold5_ndcg50","user_attrs_fold5_r2","user_attrs_fold6_mae","user_attrs_fold6_mape","user_attrs_fold6_ndcg10","user_attrs_fold6_ndcg20","user_attrs_fold6_ndcg50","user_attrs_fold6_r2","user_attrs_fold7_mae","user_attrs_fold7_mape","user_attrs_fold7_ndcg10","user_attrs_fold7_ndcg20","user_attrs_fold7_ndcg50","user_attrs_fold7_r2","user_attrs_fold8_mae","user_attrs_fold8_mape","user_attrs_fold8_ndcg10","user_attrs_fold8_ndcg20","user_attrs_fold8_ndcg50","user_attrs_fold8_r2","user_attrs_fold9_mae","user_attrs_fold9_mape","user_attrs_fold9_ndcg10","user_attrs_fold9_ndcg20","user_attrs_fold9_ndcg50","user_attrs_fold9_r2","user_attrs_pca_components","system_attrs_completed_rung_0","system_attrs_completed_rung_1","system_attrs_completed_rung_2","state"
10,0.13178065419197083,"2025-05-16 21:01:50.247552","2025-05-16 21:01:50.618112","0 days 00:00:00.370560",16,256.0,48.0,"","",0.09725929748821976,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.18784233927726746,63.99756622314453,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.8281562328338623,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13178065419197083,"","","PRUNED"
11,0.06873883306980133,"2025-05-16 21:01:50.618346","2025-05-16 21:01:51.659673","0 days 00:00:01.041327",160,160.0,"","","",0.003295541498500011,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13044218719005585,63.44408416748047,0.7194103002548218,0.6912392973899841,0.7781765460968018,0.06924819946289062,0.20544008910655975,3181.292236328125,0.5417415499687195,0.5518409013748169,0.7764666080474854,0.0005830526351928711,0.15183807909488678,81.77818298339844,0.5047438144683838,0.553575336933136,0.652400553226471,-0.265580415725708,0.11897705495357513,66.20538330078125,0.7730911374092102,0.7382504343986511,0.7864672541618347,0.2549024224281311,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0699528232216835,0.06873883306980133,"","PRUNED"
12,0.07653969526290894,"2025-05-16 21:01:51.659911","2025-05-16 21:01:52.729556","0 days 00:00:01.069645",160,128.0,"","","",0.0016592721731179742,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13722984492778778,63.576412200927734,0.734195351600647,0.7231449484825134,0.7663673758506775,0.021951913833618164,0.22031237185001373,3414.192138671875,0.45588117837905884,0.533589243888855,0.7564519643783569,-0.08781814575195312,0.13893675804138184,77.84813690185547,0.5007057785987854,0.5956621170043945,0.643667995929718,-0.13569402694702148,0.13037098944187164,66.44926452636719,0.7013536095619202,0.6684885025024414,0.7434600591659546,0.13795018196105957,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0677325427532196,0.07653969526290894,"","PRUNED"
13,0.0650261864066124,"2025-05-16 21:01:52.729796","2025-05-16 21:01:53.793655","0 days 00:00:01.063859",176,192.0,"","","",0.00716154076513331,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.14059139788150787,65.54914855957031,0.6923964023590088,0.7098627686500549,0.7489597797393799,-0.012984871864318848,0.19834661483764648,2839.822265625,0.5109630823135376,0.5713793039321899,0.7806729674339294,0.05235695838928223,0.14549021422863007,73.49696350097656,0.5472460389137268,0.5808024406433105,0.6890156269073486,-0.2678929567337036,0.12394289672374725,72.61051177978516,0.748784601688385,0.7331693768501282,0.776379406452179,0.20281922817230225,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.06738743185997009,0.0650261864066124,"","PRUNED"
14,0.12884612381458282,"2025-05-16 21:01:53.793892","2025-05-16 21:01:54.232874","0 days 00:00:00.438982",128,112.0,112.0,"","",0.02931853024260759,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.14272001385688782,62.0216178894043,0.6344237923622131,0.658180296421051,0.715721070766449,-0.07539725303649902,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.12884612381458282,"","","PRUNED"
15,0.0669202134013176,"2025-05-16 21:01:54.233105","2025-05-16 21:01:55.312270","0 days 00:00:01.079165",192,192.0,"","","",0.0039052457207701266,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1326879858970642,67.09832763671875,0.7078944444656372,0.6924958825111389,0.7664895057678223,0.00796520709991455,0.2048044055700302,2341.0703125,0.5189040899276733,0.5901455283164978,0.7913685441017151,0.01876145601272583,0.1476016640663147,81.19310760498047,0.5514373779296875,0.591456413269043,0.6753354072570801,-0.24515271186828613,0.11410074681043625,57.02593994140625,0.7753305435180664,0.7566984295845032,0.7923216223716736,0.24143916368484497,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.060945626348257065,0.0669202134013176,"","PRUNED"
16,0.08757990598678589,"2025-05-16 21:01:55.312502","2025-05-16 21:01:55.751136","0 days 00:00:00.438634",144,80.0,112.0,"","",0.01631757982930027,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13418839871883392,66.18104553222656,0.6536660194396973,0.7088718414306641,0.7743780612945557,0.06582283973693848,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.08757990598678589,"","","PRUNED"
17,0.07574455440044403,"2025-05-16 21:01:55.751361","2025-05-16 21:01:56.132085","0 days 00:00:00.380724",80,192.0,"","","",0.0013651446245243868,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13960906863212585,62.74018096923828,0.6703500747680664,0.691777229309082,0.7486539483070374,0.02947998046875,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.07574455440044403,"","","PRUNED"
18,0.11406140774488449,"2025-05-16 21:01:56.132308","2025-05-16 21:01:56.614400","0 days 00:00:00.482092",256,96.0,"","","",0.06832523873664711,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1881508082151413,64.1980209350586,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.8308783769607544,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11406140774488449,"","","PRUNED"
19,0.07832419872283936,"2025-05-16 21:01:56.614631","2025-05-16 21:01:57.537517","0 days 00:00:00.922886",48,32.0,176.0,"","",0.008075360593025003,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13460442423820496,65.41288757324219,0.688435971736908,0.7082287073135376,0.7524572610855103,0.011656522750854492,0.23490417003631592,4461.150390625,0.4199947416782379,0.509671688079834,0.7408097386360168,-0.2677938938140869,0.15150868892669678,78.39307403564453,0.4346503019332886,0.5499327182769775,0.6369179487228394,-0.317152738571167,0.12970943748950958,70.02336120605469,0.7415092587471008,0.7169223427772522,0.7589259743690491,0.1529017686843872,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.06896838545799255,0.07832419872283936,"","PRUNED"
