"number","value","datetime_start","datetime_complete","duration","params_decoder_layer_width_0","params_decoder_layer_width_1","params_decoder_layer_width_2","params_decoder_layer_width_3","params_decoder_layer_width_4","params_encoder_layer_width_0","params_encoder_layer_width_1","params_encoder_layer_width_2","params_encoder_layer_width_3","params_encoder_layer_width_4","params_gatv2_dropout","params_gatv2_heads","params_lr","params_n_decoder_layers","params_n_encoder_layers","user_attrs_avg_mae","user_attrs_avg_mape","user_attrs_avg_ndcg10","user_attrs_avg_ndcg20","user_attrs_avg_ndcg50","user_attrs_avg_r2","user_attrs_fold10_mae","user_attrs_fold10_mape","user_attrs_fold10_ndcg10","user_attrs_fold10_ndcg20","user_attrs_fold10_ndcg50","user_attrs_fold10_r2","user_attrs_fold11_mae","user_attrs_fold11_mape","user_attrs_fold11_ndcg10","user_attrs_fold11_ndcg20","user_attrs_fold11_ndcg50","user_attrs_fold11_r2","user_attrs_fold12_mae","user_attrs_fold12_mape","user_attrs_fold12_ndcg10","user_attrs_fold12_ndcg20","user_attrs_fold12_ndcg50","user_attrs_fold12_r2","user_attrs_fold13_mae","user_attrs_fold13_mape","user_attrs_fold13_ndcg10","user_attrs_fold13_ndcg20","user_attrs_fold13_ndcg50","user_attrs_fold13_r2","user_attrs_fold14_mae","user_attrs_fold14_mape","user_attrs_fold14_ndcg10","user_attrs_fold14_ndcg20","user_attrs_fold14_ndcg50","user_attrs_fold14_r2","user_attrs_fold15_mae","user_attrs_fold15_mape","user_attrs_fold15_ndcg10","user_attrs_fold15_ndcg20","user_attrs_fold15_ndcg50","user_attrs_fold15_r2","user_attrs_fold1_mae","user_attrs_fold1_mape","user_attrs_fold1_ndcg10","user_attrs_fold1_ndcg20","user_attrs_fold1_ndcg50","user_attrs_fold1_r2","user_attrs_fold2_mae","user_attrs_fold2_mape","user_attrs_fold2_ndcg10","user_attrs_fold2_ndcg20","user_attrs_fold2_ndcg50","user_attrs_fold2_r2","user_attrs_fold3_mae","user_attrs_fold3_mape","user_attrs_fold3_ndcg10","user_attrs_fold3_ndcg20","user_attrs_fold3_ndcg50","user_attrs_fold3_r2","user_attrs_fold4_mae","user_attrs_fold4_mape","user_attrs_fold4_ndcg10","user_attrs_fold4_ndcg20","user_attrs_fold4_ndcg50","user_attrs_fold4_r2","user_attrs_fold5_mae","user_attrs_fold5_mape","user_attrs_fold5_ndcg10","user_attrs_fold5_ndcg20","user_attrs_fold5_ndcg50","user_attrs_fold5_r2","user_attrs_fold6_mae","user_attrs_fold6_mape","user_attrs_fold6_ndcg10","user_attrs_fold6_ndcg20","user_attrs_fold6_ndcg50","user_attrs_fold6_r2","user_attrs_fold7_mae","user_attrs_fold7_mape","user_attrs_fold7_ndcg10","user_attrs_fold7_ndcg20","user_attrs_fold7_ndcg50","user_attrs_fold7_r2","user_attrs_fold8_mae","user_attrs_fold8_mape","user_attrs_fold8_ndcg10","user_attrs_fold8_ndcg20","user_attrs_fold8_ndcg50","user_attrs_fold8_r2","user_attrs_fold9_mae","user_attrs_fold9_mape","user_attrs_fold9_ndcg10","user_attrs_fold9_ndcg20","user_attrs_fold9_ndcg50","user_attrs_fold9_r2","user_attrs_pca_components","system_attrs_completed_rung_0","system_attrs_completed_rung_1","state"
0,0.14971426576375962,"2025-05-16 16:06:57.655897","2025-05-16 16:07:07.243299","0 days 00:00:09.587402",160,"","","","",176,32.0,192.0,144.0,"",0.1,2,0.028910338288598743,1,4,0.14971426576375962,420.80093510945636,0.39857608216504253,0.36231772465010487,0.4329810698827108,-0.23877926667531332,0.20093563199043274,122.49555969238281,0.37938931584358215,0.4339168965816498,0.3819175958633423,-0.39122605323791504,0.18904495239257812,61.40156555175781,0.20094731450080872,0.12996429204940796,0.1789335459470749,-0.49242913722991943,0.11356063187122345,160.83741760253906,0.05818936973810196,0.08028627187013626,0.1736796796321869,-0.07758462429046631,0.1359483152627945,62.66978454589844,0.4337034523487091,0.43224161863327026,0.5258138179779053,-0.48728251457214355,0.24254760146141052,346.68682861328125,1.0,0.8356079459190369,0.6527676582336426,-0.05225801467895508,0.10113023966550827,136.72848510742188,0.29156672954559326,0.2669469714164734,0.3177419602870941,-0.04581284523010254,0.13540180027484894,58.52084732055664,0.3715871274471283,0.47643953561782837,0.5205686092376709,-0.06509256362915039,0.21668565273284912,924.6008911132812,0.6226853728294373,0.5590353608131409,0.8236095309257507,-0.44725120067596436,0.12026191502809525,66.7701416015625,0.5545253157615662,0.47885531187057495,0.7012260556221008,-0.1327195167541504,0.18340042233467102,68.08634948730469,0.14052796363830566,0.1728532761335373,0.4216603934764862,-0.704006552696228,0.10361204296350479,536.7943115234375,0.31603172421455383,0.2619553506374359,0.30209705233573914,-0.1612476110458374,0.11417587101459503,1770.9482421875,0.6324459314346313,0.5092024207115173,0.5138396620750427,-0.03268611431121826,0.13361988961696625,139.25503540039062,0.7595959305763245,0.5917696356773376,0.6668559312820435,-0.3047713041305542,0.12520714104175568,341.82904052734375,0.19304294884204865,0.1769317090511322,0.27387896180152893,-0.13908720016479492,0.13018187880516052,1514.3895263671875,0.024402735754847527,0.028759272769093513,0.04012559354305267,-0.048233747482299805,10.0,"","","COMPLETE"
1,0.15442025115092595,"2025-05-16 16:07:07.243709","2025-05-16 16:07:20.835928","0 days 00:00:13.592219",48,16.0,"","","",48,192.0,64.0,64.0,32.0,0.2,5,0.00037710354538037015,2,5,0.15442025115092595,420.76653340657555,0.43553775250911714,0.44195197721322377,0.47608372469743093,-0.3459525505701701,0.1960359364748001,200.19281005859375,0.5151285529136658,0.4312508702278137,0.4108101427555084,-0.246301531791687,0.21612268686294556,64.2665023803711,0.2383752316236496,0.27832454442977905,0.3086673319339752,-0.7765511274337769,0.11591538786888123,192.2334442138672,0.14191271364688873,0.15817539393901825,0.20315571129322052,-0.03394365310668945,0.12471218407154083,69.65401458740234,0.4506481885910034,0.41771644353866577,0.43123212456703186,-0.3277103900909424,0.2415330857038498,146.6538848876953,0.48043355345726013,0.400544136762619,0.34465670585632324,-0.42066168785095215,0.10435124486684799,93.61001586914062,0.2923039197921753,0.2689037322998047,0.32239189743995667,-0.24341130256652832,0.18680793046951294,63.8845100402832,0.40949928760528564,0.45686888694763184,0.5796325206756592,-0.8052463531494141,0.21516107022762299,1988.5311279296875,0.07927994430065155,0.3143410086631775,0.545806884765625,-0.282285213470459,0.19876176118850708,95.5596694946289,0.7581670880317688,0.7577423453330994,0.7624768018722534,-1.0578069686889648,0.1421532928943634,49.43050003051758,0.6122689843177795,0.5691101551055908,0.6379721760749817,-0.33002209663391113,0.10398039221763611,308.853271484375,0.3691250681877136,0.5186264514923096,0.5238437652587891,-0.3225322961807251,0.09000705182552338,1138.150146484375,0.7907840609550476,0.7839628458023071,0.600159764289856,0.004282116889953613,0.12589438259601593,254.0232391357422,0.2896289825439453,0.29842767119407654,0.5079085230827332,-0.1696993112564087,0.13053877651691437,454.1481018066406,0.2542451024055481,0.2854230999946594,0.3501511216163635,-0.10886955261230469,0.12432858347892761,1192.3067626953125,0.8512656092643738,0.689862072467804,0.612390398979187,-0.06852889060974121,10.0,0.11589283496141434,0.1170896664261818,"COMPLETE"
2,0.1187918409705162,"2025-05-16 16:07:20.836364","2025-05-16 16:07:23.381952","0 days 00:00:02.545588",240,256.0,"","","",144,160.0,"","","",0.1,9,0.0015619608100148645,2,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1377250999212265,46.73781967163086,0.5889856219291687,0.653204083442688,0.6268944144248962,-0.15788328647613525,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1187918409705162,"","PRUNED"
3,0.1516329621275266,"2025-05-16 16:07:23.382255","2025-05-16 16:07:31.108706","0 days 00:00:07.726451",48,80.0,240.0,128.0,"",64,176.0,"","","",0.30000000000000004,4,0.002720036751568764,4,2,0.1516329621275266,507.79243621826174,0.4816318196554979,0.5167423670490583,0.5533757214744885,-0.12676323254903157,0.1929531693458557,280.7461853027344,0.5774886012077332,0.6321331858634949,0.5999932289123535,-0.015257000923156738,0.1809578239917755,62.073814392089844,0.4416334629058838,0.41040492057800293,0.4011012315750122,-0.38959944248199463,0.11058003455400467,107.36658477783203,0.7880141735076904,0.7416424751281738,0.6770415306091309,-0.048137784004211426,0.1392265409231186,176.28610229492188,0.28927576541900635,0.3271982967853546,0.36788812279701233,-0.08158385753631592,0.22842857241630554,134.5836181640625,1.0,1.0,0.8637910485267639,-0.25641191005706787,0.10135383158922195,140.60072326660156,0.2929135262966156,0.2670084834098816,0.371816486120224,-0.04444098472595215,0.15351064503192902,66.64844512939453,0.6906108260154724,0.6469404697418213,0.7225477695465088,-0.0967634916305542,0.20682089030742645,2498.51171875,0.26128441095352173,0.3927641808986664,0.5980957746505737,-0.09160137176513672,0.18731433153152466,87.92701721191406,0.74730384349823,0.7505125999450684,0.7832218408584595,-0.8777158260345459,0.143362358212471,98.82420349121094,0.5695168375968933,0.5770390629768372,0.6529253721237183,0.19250577688217163,0.09976048022508621,176.6194610595703,0.32828471064567566,0.42093947529792786,0.5825368165969849,-0.2600874900817871,0.10884449630975723,1617.088134765625,0.08500707894563675,0.22802285850048065,0.16604751348495483,-0.05918312072753906,0.12113611400127411,288.74700927734375,0.43444839119911194,0.5427379608154297,0.6268308162689209,0.1675446629524231,0.19979526102542877,981.6104736328125,0.05476429685950279,0.055987440049648285,0.06752736121416092,-0.31125056743621826,0.10044988244771957,899.2530517578125,0.6639313697814941,0.7578040957450867,0.81927090883255,0.2705339193344116,10.0,0.11013226211071014,0.1114644929766655,"COMPLETE"
4,0.11816839873790741,"2025-05-16 16:07:31.109146","2025-05-16 16:07:33.581505","0 days 00:00:02.472359",144,"","","","",224,32.0,"","","",0.0,14,0.0020937020463272743,1,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13029322028160095,41.94293212890625,0.8622714281082153,0.7285077571868896,0.6815991997718811,-0.15431296825408936,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11816839873790741,"","PRUNED"
5,0.1313846856355667,"2025-05-16 16:07:33.581767","2025-05-16 16:07:40.144762","0 days 00:00:06.562995",32,48.0,80.0,144.0,"",96,224.0,16.0,96.0,160.0,0.1,14,0.050541796618242776,4,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.17431379854679108,56.38837814331055,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.703016996383667,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1313846856355667,"","PRUNED"
6,0.11526640504598618,"2025-05-16 16:07:40.145081","2025-05-16 16:07:41.354190","0 days 00:00:01.209109",208,48.0,"","","",240,48.0,"","","",0.0,5,0.001962546473611879,2,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.15839649736881256,58.99627685546875,0.7543639540672302,0.6981889605522156,0.6657201051712036,-0.27352356910705566,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11526640504598618,"","PRUNED"
7,0.11723767220973969,"2025-05-16 16:07:41.354452","2025-05-16 16:07:50.271903","0 days 00:00:08.917451",96,80.0,112.0,96.0,"",160,256.0,128.0,80.0,"",0.5,15,0.0026862707560651364,4,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.22991736233234406,91.39713287353516,0.3589036166667938,0.34336066246032715,0.41761791706085205,-1.2392828464508057,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11723767220973969,"","PRUNED"
8,0.13005395233631134,"2025-05-16 16:07:50.272254","2025-05-16 16:07:51.097324","0 days 00:00:00.825070",32,176.0,256.0,"","",96,"","","","",0.30000000000000004,8,0.02717078085499545,3,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.17971117794513702,58.90330123901367,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.7563266754150391,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13005395233631134,"","PRUNED"
9,0.15588219364484152,"2025-05-16 16:07:51.097597","2025-05-16 16:08:00.519027","0 days 00:00:09.421430",48,208.0,32.0,"","",128,80.0,"","","",0.0,7,0.009643900744981192,3,2,0.15588219364484152,633.6323908487956,0.6493865629037221,0.6169930517673492,0.5939671456813812,-0.21777034600575765,0.1945885270833969,241.72427368164062,0.9211795926094055,0.8680272698402405,0.6679898500442505,-0.14206218719482422,0.18398408591747284,63.727386474609375,1.0,0.9290162324905396,0.6920701861381531,-0.41974544525146484,0.1231468990445137,84.6802978515625,0.18742690980434418,0.28259921073913574,0.2967640161514282,-0.3774867057800293,0.2223210632801056,313.28076171875,0.21694326400756836,0.2594298720359802,0.2608989179134369,-0.9320904016494751,0.23390978574752808,126.21662902832031,1.0,0.9904386401176453,0.8534521460533142,-0.34472811222076416,0.10555225610733032,88.84881591796875,0.2980908155441284,0.26713070273399353,0.34192708134651184,-0.2774311304092407,0.15465040504932404,53.10747528076172,0.8219015002250671,0.7220478653907776,0.6794100403785706,-0.30220532417297363,0.20501889288425446,2298.29248046875,0.596039354801178,0.6449512839317322,0.8192947506904602,-0.07368850708007812,0.17575430870056152,81.0718765258789,0.8171054124832153,0.7597954869270325,0.7276483774185181,-0.6396093368530273,0.1117841973900795,68.9891586303711,0.8821108341217041,0.7425180673599243,0.7921839356422424,0.3558342456817627,0.11328110843896866,141.96156311035156,0.3118380010128021,0.28931593894958496,0.3831554651260376,-0.5609990358352661,0.10752638429403305,1614.086669921875,0.2141903191804886,0.21782106161117554,0.27216681838035583,-0.039620399475097656,0.1297299563884735,499.05224609375,0.8669703006744385,0.719088077545166,0.6774146556854248,0.19089746475219727,0.13205651938915253,521.1832885742188,0.7011751532554626,0.6780319809913635,0.6248114109039307,0.054139792919158936,0.14492851495742798,3308.262939453125,0.905826985836029,0.8846840858459473,0.8203195333480835,0.24223989248275757,10.0,0.10805250704288483,0.11077279597520828,"COMPLETE"
