"number","value","datetime_start","datetime_complete","duration","params_decoder_layer_width_0","params_decoder_layer_width_1","params_decoder_layer_width_2","params_decoder_layer_width_3","params_decoder_layer_width_4","params_encoder_layer_width_0","params_encoder_layer_width_1","params_encoder_layer_width_2","params_encoder_layer_width_3","params_lr","params_n_decoder_layers","params_n_encoder_layers","params_transformer_dropout","params_transformer_heads","user_attrs_avg_mae","user_attrs_avg_mape","user_attrs_avg_ndcg10","user_attrs_avg_ndcg20","user_attrs_avg_ndcg50","user_attrs_avg_r2","user_attrs_fold10_mae","user_attrs_fold10_mape","user_attrs_fold10_ndcg10","user_attrs_fold10_ndcg20","user_attrs_fold10_ndcg50","user_attrs_fold10_r2","user_attrs_fold11_mae","user_attrs_fold11_mape","user_attrs_fold11_ndcg10","user_attrs_fold11_ndcg20","user_attrs_fold11_ndcg50","user_attrs_fold11_r2","user_attrs_fold12_mae","user_attrs_fold12_mape","user_attrs_fold12_ndcg10","user_attrs_fold12_ndcg20","user_attrs_fold12_ndcg50","user_attrs_fold12_r2","user_attrs_fold13_mae","user_attrs_fold13_mape","user_attrs_fold13_ndcg10","user_attrs_fold13_ndcg20","user_attrs_fold13_ndcg50","user_attrs_fold13_r2","user_attrs_fold14_mae","user_attrs_fold14_mape","user_attrs_fold14_ndcg10","user_attrs_fold14_ndcg20","user_attrs_fold14_ndcg50","user_attrs_fold14_r2","user_attrs_fold15_mae","user_attrs_fold15_mape","user_attrs_fold15_ndcg10","user_attrs_fold15_ndcg20","user_attrs_fold15_ndcg50","user_attrs_fold15_r2","user_attrs_fold1_mae","user_attrs_fold1_mape","user_attrs_fold1_ndcg10","user_attrs_fold1_ndcg20","user_attrs_fold1_ndcg50","user_attrs_fold1_r2","user_attrs_fold2_mae","user_attrs_fold2_mape","user_attrs_fold2_ndcg10","user_attrs_fold2_ndcg20","user_attrs_fold2_ndcg50","user_attrs_fold2_r2","user_attrs_fold3_mae","user_attrs_fold3_mape","user_attrs_fold3_ndcg10","user_attrs_fold3_ndcg20","user_attrs_fold3_ndcg50","user_attrs_fold3_r2","user_attrs_fold4_mae","user_attrs_fold4_mape","user_attrs_fold4_ndcg10","user_attrs_fold4_ndcg20","user_attrs_fold4_ndcg50","user_attrs_fold4_r2","user_attrs_fold5_mae","user_attrs_fold5_mape","user_attrs_fold5_ndcg10","user_attrs_fold5_ndcg20","user_attrs_fold5_ndcg50","user_attrs_fold5_r2","user_attrs_fold6_mae","user_attrs_fold6_mape","user_attrs_fold6_ndcg10","user_attrs_fold6_ndcg20","user_attrs_fold6_ndcg50","user_attrs_fold6_r2","user_attrs_fold7_mae","user_attrs_fold7_mape","user_attrs_fold7_ndcg10","user_attrs_fold7_ndcg20","user_attrs_fold7_ndcg50","user_attrs_fold7_r2","user_attrs_fold8_mae","user_attrs_fold8_mape","user_attrs_fold8_ndcg10","user_attrs_fold8_ndcg20","user_attrs_fold8_ndcg50","user_attrs_fold8_r2","user_attrs_fold9_mae","user_attrs_fold9_mape","user_attrs_fold9_ndcg10","user_attrs_fold9_ndcg20","user_attrs_fold9_ndcg50","user_attrs_fold9_r2","user_attrs_pca_components","system_attrs_completed_rung_0","system_attrs_completed_rung_1","state"
10,0.09118640422821045,"2025-05-16 16:12:37.374711","2025-05-16 16:12:39.125663","0 days 00:00:01.750952",16,16.0,"","","",112,208.0,64.0,48.0,0.00012696965397430832,2,4,0.5,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.10140128433704376,41.032020568847656,0.7419900894165039,0.7624102234840393,0.8084846138954163,0.4057568311691284,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.09118640422821045,"","PRUNED"
11,0.08066925406455994,"2025-05-16 16:12:39.125945","2025-05-16 16:12:43.743516","0 days 00:00:04.617571",192,"","","","",64,128.0,112.0,"",0.00012621821772189305,1,3,0.0,7,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.09650231897830963,38.11281967163086,0.7116585373878479,0.7764019966125488,0.8279062509536743,0.4337922930717468,0.16170956194400787,2196.071533203125,0.696406364440918,0.6648334860801697,0.8506535291671753,0.15750759840011597,0.08947036415338516,49.91124725341797,0.876351535320282,0.8919605612754822,0.8741790652275085,0.525317370891571,0.09797792136669159,42.5892448425293,0.6463403105735779,0.6980319023132324,0.7985018491744995,0.39428359270095825,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.07999897003173828,0.08066925406455994,"PRUNED"
12,0.08066222816705704,"2025-05-16 16:12:43.743830","2025-05-16 16:12:45.434412","0 days 00:00:01.690582",176,"","","","",80,208.0,16.0,"",0.00027162520741375745,1,3,0.1,7,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.09365338832139969,35.93235397338867,0.7427001595497131,0.7751715183258057,0.8263794779777527,0.423561692237854,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.08066222816705704,"","PRUNED"
13,0.08216962963342667,"2025-05-16 16:12:45.434698","2025-05-16 16:12:48.307721","0 days 00:00:02.873023",256,48.0,"","","",80,160.0,128.0,96.0,0.0002709651216752558,2,4,0.2,7,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.09622541815042496,39.95505142211914,0.7397052049636841,0.7572334408760071,0.7893058657646179,0.3869571089744568,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.08216962963342667,"","PRUNED"
14,0.08051706105470657,"2025-05-16 16:12:48.308011","2025-05-16 16:12:49.484586","0 days 00:00:01.176575",96,256.0,256.0,"","",48,112.0,80.0,"",0.002636330847092199,3,3,0.0,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.09682391583919525,38.35837936401367,0.7455540299415588,0.7943792343139648,0.790330171585083,0.4119144678115845,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.08051706105470657,"","PRUNED"
15,0.08188808709383011,"2025-05-16 16:12:49.484858","2025-05-16 16:12:51.189525","0 days 00:00:01.704667",48,"","","","",96,160.0,"","",0.00011345904760193131,1,2,0.2,8,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1019231528043747,39.636112213134766,0.7134508490562439,0.7789309620857239,0.8041515946388245,0.3694370985031128,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.08188808709383011,"","PRUNED"
16,0.10285559296607971,"2025-05-16 16:12:51.189782","2025-05-16 16:12:54.027810","0 days 00:00:02.838028",224,192.0,"","","",64,176.0,176.0,112.0,0.011776019913947314,2,4,0.1,6,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1116202175617218,52.26103210449219,0.7344785332679749,0.747656524181366,0.8082878589630127,0.38336700201034546,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.10285559296607971,"","PRUNED"
17,0.084355928003788,"2025-05-16 16:12:54.028092","2025-05-16 16:12:55.407556","0 days 00:00:01.379464",144,"","","","",144,96.0,160.0,"",0.00020831591875050722,1,3,0.30000000000000004,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.10623905062675476,41.39542770385742,0.7145124077796936,0.7745939493179321,0.809425950050354,0.3542057275772095,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.084355928003788,"","PRUNED"
18,0.09374698996543884,"2025-05-16 16:12:55.407893","2025-05-16 16:12:56.289164","0 days 00:00:00.881271",64,64.0,"","","",96,128.0,80.0,32.0,0.0004718518808994301,2,4,0.5,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11010298877954483,41.644039154052734,0.7097927927970886,0.7674949169158936,0.8135868906974792,0.30767226219177246,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.09374698996543884,"","PRUNED"
19,0.08051450550556183,"2025-05-16 16:12:56.289432","2025-05-16 16:13:01.766687","0 days 00:00:05.477255",128,16.0,160.0,"","",16,176.0,208.0,"",0.0018650445936924712,3,3,0.0,6,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.09697752445936203,40.424964904785156,0.7460228204727173,0.783599317073822,0.7872026562690735,0.4390214681625366,0.1658160388469696,1797.6229248046875,0.696406364440918,0.6213703751564026,0.8467475771903992,0.08405172824859619,0.08639448136091232,48.39457702636719,0.8498780131340027,0.864974319934845,0.8706124424934387,0.4997275471687317,0.09636631608009338,40.01678466796875,0.6275394558906555,0.7521752119064331,0.7840709686279297,0.3652459979057312,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.07840634882450104,0.08051450550556183,"PRUNED"
20,0.09880653023719788,"2025-05-16 16:13:01.767033","2025-05-16 16:13:02.817904","0 days 00:00:01.050871",176,176.0,144.0,"","",48,80.0,"","",0.005390087656067318,3,2,0.4,8,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.12442538887262344,49.19217300415039,0.6399163603782654,0.7146943807601929,0.7621170878410339,0.19986212253570557,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.09880653023719788,"","PRUNED"
21,0.0852876529097557,"2025-05-16 16:13:02.818175","2025-05-16 16:13:04.431038","0 days 00:00:01.612863",256,112.0,"","","",208,"","","",0.000989043053306811,2,1,0.2,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.10749465227127075,44.9266357421875,0.7097780704498291,0.8054021596908569,0.8045477271080017,0.4141981601715088,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0852876529097557,"","PRUNED"
