"number","value","datetime_start","datetime_complete","duration","params_decoder_layer_width_0","params_decoder_layer_width_1","params_decoder_layer_width_2","params_decoder_layer_width_3","params_decoder_layer_width_4","params_encoder_layer_width_0","params_encoder_layer_width_1","params_encoder_layer_width_2","params_encoder_layer_width_3","params_encoder_layer_width_4","params_graphsage_aggregator","params_lr","params_n_decoder_layers","params_n_encoder_layers","user_attrs_avg_mae","user_attrs_avg_mape","user_attrs_avg_ndcg10","user_attrs_avg_ndcg20","user_attrs_avg_ndcg50","user_attrs_avg_r2","user_attrs_fold10_mae","user_attrs_fold10_mape","user_attrs_fold10_ndcg10","user_attrs_fold10_ndcg20","user_attrs_fold10_ndcg50","user_attrs_fold10_r2","user_attrs_fold11_mae","user_attrs_fold11_mape","user_attrs_fold11_ndcg10","user_attrs_fold11_ndcg20","user_attrs_fold11_ndcg50","user_attrs_fold11_r2","user_attrs_fold12_mae","user_attrs_fold12_mape","user_attrs_fold12_ndcg10","user_attrs_fold12_ndcg20","user_attrs_fold12_ndcg50","user_attrs_fold12_r2","user_attrs_fold13_mae","user_attrs_fold13_mape","user_attrs_fold13_ndcg10","user_attrs_fold13_ndcg20","user_attrs_fold13_ndcg50","user_attrs_fold13_r2","user_attrs_fold14_mae","user_attrs_fold14_mape","user_attrs_fold14_ndcg10","user_attrs_fold14_ndcg20","user_attrs_fold14_ndcg50","user_attrs_fold14_r2","user_attrs_fold15_mae","user_attrs_fold15_mape","user_attrs_fold15_ndcg10","user_attrs_fold15_ndcg20","user_attrs_fold15_ndcg50","user_attrs_fold15_r2","user_attrs_fold1_mae","user_attrs_fold1_mape","user_attrs_fold1_ndcg10","user_attrs_fold1_ndcg20","user_attrs_fold1_ndcg50","user_attrs_fold1_r2","user_attrs_fold2_mae","user_attrs_fold2_mape","user_attrs_fold2_ndcg10","user_attrs_fold2_ndcg20","user_attrs_fold2_ndcg50","user_attrs_fold2_r2","user_attrs_fold3_mae","user_attrs_fold3_mape","user_attrs_fold3_ndcg10","user_attrs_fold3_ndcg20","user_attrs_fold3_ndcg50","user_attrs_fold3_r2","user_attrs_fold4_mae","user_attrs_fold4_mape","user_attrs_fold4_ndcg10","user_attrs_fold4_ndcg20","user_attrs_fold4_ndcg50","user_attrs_fold4_r2","user_attrs_fold5_mae","user_attrs_fold5_mape","user_attrs_fold5_ndcg10","user_attrs_fold5_ndcg20","user_attrs_fold5_ndcg50","user_attrs_fold5_r2","user_attrs_fold6_mae","user_attrs_fold6_mape","user_attrs_fold6_ndcg10","user_attrs_fold6_ndcg20","user_attrs_fold6_ndcg50","user_attrs_fold6_r2","user_attrs_fold7_mae","user_attrs_fold7_mape","user_attrs_fold7_ndcg10","user_attrs_fold7_ndcg20","user_attrs_fold7_ndcg50","user_attrs_fold7_r2","user_attrs_fold8_mae","user_attrs_fold8_mape","user_attrs_fold8_ndcg10","user_attrs_fold8_ndcg20","user_attrs_fold8_ndcg50","user_attrs_fold8_r2","user_attrs_fold9_mae","user_attrs_fold9_mape","user_attrs_fold9_ndcg10","user_attrs_fold9_ndcg20","user_attrs_fold9_ndcg50","user_attrs_fold9_r2","user_attrs_pca_components","system_attrs_completed_rung_0","system_attrs_completed_rung_1","state"
0,0.14754204551378886,"2025-05-16 16:04:29.450469","2025-05-16 16:04:33.200797","0 days 00:00:03.750328",144,176.0,64.0,112.0,"",160,256.0,16.0,"","","max",0.00017677893964201187,4,3,0.14754204551378886,421.8232882181803,0.4357066127161185,0.42838029339909556,0.46795381406943004,-0.18308788140614826,0.19754965603351593,272.8303527832031,0.19570238888263702,0.15215443074703217,0.13825596868991852,-0.12500011920928955,0.1802290380001068,66.55827331542969,0.5755746364593506,0.4811632037162781,0.43671900033950806,-0.3676764965057373,0.11765293031930923,207.36203002929688,0.782775342464447,0.5864287614822388,0.47663721442222595,-0.013307571411132812,0.11725683510303497,97.75040435791016,0.2626139521598816,0.2371937334537506,0.2437734603881836,-0.10521125793457031,0.23609866201877594,202.9824981689453,0.043653037399053574,0.04773605987429619,0.11450962722301483,-0.26101362705230713,0.10450340807437897,157.54197692871094,0.1083473488688469,0.11395616829395294,0.14547596871852875,-0.033866047859191895,0.16823802888393402,58.7646598815918,0.7433904409408569,0.7916325330734253,0.7528071999549866,-0.4896519184112549,0.22174403071403503,1633.5809326171875,0.23024895787239075,0.2491585910320282,0.5852877497673035,-0.41869795322418213,0.14218315482139587,56.24187469482422,0.5235353708267212,0.610112190246582,0.6773925423622131,-0.4266841411590576,0.170954629778862,69.6924057006836,0.6570477485656738,0.6542320251464844,0.7381475567817688,-0.4306046962738037,0.10235036164522171,509.4204406738281,0.34796977043151855,0.46909379959106445,0.4569741487503052,-0.1500002145767212,0.0929955318570137,1252.3487548828125,0.1946607381105423,0.1845654845237732,0.21682536602020264,0.030935466289520264,0.12247343361377716,233.29824829101562,0.6342989206314087,0.6665075421333313,0.6877943873405457,-0.08306372165679932,0.12621936202049255,456.7528381347656,0.28438276052474976,0.29878172278404236,0.47011464834213257,0.0277898907661438,0.11268161982297897,1052.2236328125,0.9513977766036987,0.8829881548881531,0.8785923719406128,0.09973418712615967,10.0,"","","COMPLETE"
1,0.15231049805879593,"2025-05-16 16:04:33.201212","2025-05-16 16:04:36.055263","0 days 00:00:02.854051",176,"","","","",64,240.0,160.0,"","","add",0.010132567983473346,1,3,0.15231049805879593,409.643760172526,0.34636862948536873,0.34543380613128344,0.3928758785749475,-0.33207083543141686,0.1958741843700409,165.33351135253906,0.2433243989944458,0.1481671929359436,0.2724805772304535,-0.2876490354537964,0.21901270747184753,65.14937591552734,0.9668728709220886,0.9786208271980286,0.8732307553291321,-0.7859598398208618,0.12017445266246796,91.77547454833984,0.18742690980434418,0.28259921073913574,0.2967640161514282,-0.32694923877716064,0.13742217421531677,62.55940246582031,0.42674726247787476,0.3965179920196533,0.4997186064720154,-0.5061607360839844,0.22171980142593384,177.42251586914062,1.0,0.9727327823638916,0.7479040622711182,-0.10957503318786621,0.11169929802417755,81.8707504272461,0.09622573107481003,0.10769148916006088,0.13985244929790497,-0.384194016456604,0.1780242770910263,58.117286682128906,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.7394559383392334,0.21427462995052338,1254.83544921875,0.5616838932037354,0.40270331501960754,0.723856508731842,-0.3616067171096802,0.14723706245422363,55.84729766845703,0.15729229152202606,0.44170698523521423,0.5248095989227295,-0.5562574863433838,0.14522306621074677,50.50348663330078,0.1498050093650818,0.17915372550487518,0.36789214611053467,-0.3670109510421753,0.10512122511863708,754.8865966796875,0.40188172459602356,0.5061904788017273,0.4292910695075989,-0.06101071834564209,0.11616097390651703,1818.2901611328125,0.01697789691388607,0.00923118181526661,0.01368717197328806,-0.059552907943725586,0.1275157779455185,227.39691162109375,0.2881041467189789,0.17036554217338562,0.3086850047111511,-0.21025490760803223,0.12398120760917664,331.1495056152344,0.3668486475944519,0.2178303599357605,0.26983213424682617,-0.11286294460296631,0.12121663242578506,949.5186767578125,0.024402735754847527,0.028759272769093513,0.04012559354305267,-0.11256206035614014,10.0,0.13020196557044983,0.12568630278110504,"COMPLETE"
2,0.8638534545898438,"2025-05-16 16:04:36.055692","2025-05-16 16:04:36.431696","0 days 00:00:00.376004",240,"","","","",224,144.0,64.0,"","","add",0.0003528065889441385,1,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.16422301530838013,70.24925231933594,0.16202062368392944,0.2126750349998474,0.3740147650241852,-0.3102145195007324,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.8638534545898438,"","PRUNED"
3,0.14226746360460918,"2025-05-16 16:04:36.431972","2025-05-16 16:04:41.712532","0 days 00:00:05.280560",144,256.0,208.0,"","",112,224.0,256.0,192.0,176.0,"max",0.000263543825919675,3,5,0.14226746360460918,463.7006627400716,0.5514200727144877,0.5388019869724909,0.584056415160497,-0.11764576037724812,0.19684675335884094,263.44464111328125,0.5003244876861572,0.4360092580318451,0.3223033845424652,-0.13379180431365967,0.18191909790039062,64.58370971679688,0.8320177793502808,0.7356184124946594,0.6942961812019348,-0.393851637840271,0.11827791482210159,211.769775390625,0.6593441367149353,0.5237910151481628,0.4617915749549866,-0.00970160961151123,0.11679195612668991,94.75505065917969,0.6235545873641968,0.6379313468933105,0.6121970415115356,-0.10311436653137207,0.23599527776241302,203.48519897460938,0.19675332307815552,0.2131928950548172,0.4216366112232208,-0.25843656063079834,0.10297266393899918,151.958984375,0.25874292850494385,0.329269677400589,0.33470726013183594,-0.0177462100982666,0.1398015171289444,41.564273834228516,0.7721207141876221,0.7271884083747864,0.7834658026695251,-0.3379017114639282,0.21155796945095062,2104.26025390625,0.5795527696609497,0.5719357132911682,0.8024407625198364,-0.20500624179840088,0.14371569454669952,57.65671157836914,0.8419387936592102,0.8782526254653931,0.8670174479484558,-0.37664341926574707,0.12998434901237488,50.49432373046875,0.39857056736946106,0.4447077512741089,0.6344492435455322,-0.15247344970703125,0.09837473183870316,508.15997314453125,0.33099815249443054,0.5031906962394714,0.5044891238212585,-0.06402444839477539,0.09230048954486847,1237.6925048828125,0.3972685635089874,0.28628531098365784,0.371273934841156,0.10975497961044312,0.12193707376718521,353.1882629394531,0.6920398473739624,0.6972406506538391,0.6871395707130432,0.027643144130706787,0.12850838899612427,491.90545654296875,0.2951301634311676,0.2967984080314636,0.40165677666664124,0.05456686019897461,0.11502807587385178,1120.5908203125,0.8929442763328552,0.8006176352500916,0.8619815111160278,0.09604007005691528,10.0,0.11183436214923859,0.1129285916686058,"COMPLETE"
4,0.13912836213906607,"2025-05-16 16:04:41.712995","2025-05-16 16:04:44.819335","0 days 00:00:03.106340",64,160.0,"","","",176,144.0,256.0,"","","max",0.004463470199566186,2,3,0.13912836213906607,410.62912267049154,0.6353424459695816,0.6176253745953242,0.6364681263764699,-0.00774767796198527,0.1942226141691208,239.94110107421875,0.9993637800216675,0.7925470471382141,0.5956735014915466,-0.1351611614227295,0.17613843083381653,63.9221076965332,0.6658235192298889,0.5736986398696899,0.5131239295005798,-0.30173444747924805,0.11730886995792389,204.7803955078125,0.20095911622047424,0.21570150554180145,0.29670536518096924,-0.015170812606811523,0.11592094600200653,106.6078872680664,0.5699204802513123,0.513384222984314,0.49954065680503845,0.0028510689735412598,0.23128189146518707,168.19036865234375,1.0,0.938046395778656,0.7918403744697571,-0.2585533857345581,0.12403294444084167,219.176513671875,0.5540276169776917,0.476815402507782,0.53190016746521,-0.03563582897186279,0.14383256435394287,51.57189178466797,0.7661071419715881,0.790647029876709,0.8185269236564636,-0.09359216690063477,0.19826729595661163,1368.65380859375,0.5913830399513245,0.6160866618156433,0.820198655128479,-0.18601512908935547,0.11507995426654816,58.74125289916992,0.7213534712791443,0.7692118287086487,0.7897766828536987,-0.028187155723571777,0.12056805938482285,63.27619552612305,0.6431332230567932,0.6857818365097046,0.7857489585876465,0.26658880710601807,0.1073346883058548,677.8901977539062,0.23616227507591248,0.3739449977874756,0.44164204597473145,-0.17482125759124756,0.08386468887329102,1153.0936279296875,0.91518634557724,0.8517695069313049,0.725104570388794,0.31207168102264404,0.12037331610918045,256.12677001953125,0.5231896638870239,0.6301935911178589,0.625859797000885,0.12627989053726196,0.1348716914653778,640.9124755859375,0.2167540043592453,0.22953444719314575,0.4423784017562866,0.05579972267150879,0.10382747650146484,886.55224609375,0.9267730116844177,0.8070175051689148,0.8690018653869629,0.34906500577926636,10.0,0.1056549996137619,0.10820691287517548,"COMPLETE"
5,0.14306127677361172,"2025-05-16 16:04:44.819745","2025-05-16 16:04:47.703908","0 days 00:00:02.884163",192,176.0,256.0,"","",224,64.0,"","","","mean",0.0006241926355440866,3,2,0.14306127677361172,619.0310315450032,0.4769840935866038,0.47727595070997875,0.498887566725413,-0.021032317479451498,0.20024172961711884,293.6285095214844,0.11118648946285248,0.15035288035869598,0.16612736880779266,-0.10938405990600586,0.19051000475883484,69.59696960449219,0.13936512172222137,0.19945305585861206,0.19845928251743317,-0.4611729383468628,0.1152687817811966,184.7212371826172,0.26227158308029175,0.249855637550354,0.3544168770313263,-0.013726115226745605,0.11866942793130875,87.5858154296875,0.23922854661941528,0.23921529948711395,0.2585793435573578,-0.1891345977783203,0.23528264462947845,182.74119567871094,0.2259087860584259,0.19893135130405426,0.34283438324928284,-0.29142045974731445,0.12617546319961548,241.57940673828125,0.3196238577365875,0.2619929313659668,0.3258535861968994,-0.09832048416137695,0.13310185074806213,49.21590042114258,0.8133200407028198,0.7436885237693787,0.7013639211654663,-0.016645431518554688,0.2061900645494461,4002.794677734375,0.5508313179016113,0.6031877398490906,0.8172710537910461,0.023769855499267578,0.1484450101852417,71.81634521484375,0.6606218814849854,0.7091590166091919,0.643067479133606,-0.17318499088287354,0.12478208541870117,67.50755310058594,0.667789101600647,0.6770650148391724,0.7237205505371094,0.18739569187164307,0.1085885688662529,542.8157958984375,0.2176147699356079,0.23923498392105103,0.26373445987701416,-0.2906557321548462,0.09518089890480042,1341.158203125,0.7185490727424622,0.6296398639678955,0.4982629716396332,0.1090274453163147,0.12934669852256775,331.4837951660156,0.6562636494636536,0.7291619181632996,0.6410477757453918,0.1778060793876648,0.11636751890182495,578.0272216796875,0.6246816515922546,0.6750282645225525,0.6608200669288635,0.32638245820999146,0.0977684035897255,1240.7928466796875,0.947505533695221,0.853172779083252,0.8877543807029724,0.5037785172462463,10.0,0.1040402352809906,0.10754282772541046,"COMPLETE"
6,0.11155057698488235,"2025-05-16 16:04:47.704356","2025-05-16 16:04:48.307708","0 days 00:00:00.603352",224,128.0,32.0,224.0,"",176,32.0,128.0,16.0,208.0,"max",0.0014736600712504811,4,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.14082492887973785,42.14297866821289,0.757228672504425,0.7392393350601196,0.7508305311203003,-0.3598620891571045,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11155057698488235,"","PRUNED"
7,0.1325257713596026,"2025-05-16 16:04:48.308030","2025-05-16 16:04:50.817708","0 days 00:00:02.509678",256,112.0,256.0,"","",112,"","","","","add",0.00224338176068247,3,1,0.1325257713596026,917.6107192993164,0.6415301720301311,0.6727129677931468,0.6805298467477162,0.12732074062029522,0.15768949687480927,228.58546447753906,1.0,0.9996765851974487,0.7945803999900818,0.32344377040863037,0.12016811966896057,49.79169464111328,1.0,1.0,0.9029823541641235,0.506063312292099,0.10131661593914032,129.91722106933594,0.9478310346603394,0.8179499506950378,0.7559844255447388,0.33096981048583984,0.09045756608247757,78.61458587646484,0.8394904136657715,0.8078492879867554,0.803687334060669,0.4900813102722168,0.14974670112133026,162.3834228515625,1.0,1.0,0.9350995421409607,0.5166628956794739,0.08314407616853714,128.35025024414062,0.9011121392250061,0.8507399559020996,0.8228111267089844,0.47078579664230347,0.12849698960781097,55.609901428222656,0.5764158368110657,0.6739593744277954,0.7019881010055542,0.16270118951797485,0.22353847324848175,6558.63427734375,0.4300500154495239,0.4002009928226471,0.6776556372642517,-0.32147669792175293,0.13241451978683472,73.19822692871094,0.5542214512825012,0.6218984723091125,0.6613233685493469,-0.07078754901885986,0.11804451048374176,71.64450073242188,0.6755329966545105,0.6807218194007874,0.7739542722702026,0.33584100008010864,0.15082970261573792,1831.909423828125,0.2884122133255005,0.32537806034088135,0.37689894437789917,-0.9411113262176514,0.08399590104818344,783.7144165039062,0.9305158853530884,0.8985671401023865,0.7561045289039612,0.20162487030029297,0.1489451378583908,355.2651062011719,0.09303414821624756,0.1324877142906189,0.2759227454662323,-0.31404614448547363,0.1451784372329712,642.9697875976562,0.1277230978012085,0.3954015374183655,0.45307862758636475,0.06224459409713745,0.15392032265663147,2613.572509765625,0.25861334800720215,0.4858636260032654,0.515876293182373,0.15681427717208862,10.0,0.09090615808963776,0.09076421707868576,"COMPLETE"
8,0.13016381859779358,"2025-05-16 16:04:50.818133","2025-05-16 16:04:51.391669","0 days 00:00:00.573536",48,240.0,176.0,"","",112,32.0,208.0,112.0,224.0,"mean",0.026670435067729783,3,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.17582255601882935,57.09137725830078,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.7177227735519409,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13016381859779358,"","PRUNED"
9,0.11203005909919739,"2025-05-16 16:04:51.391960","2025-05-16 16:04:51.972594","0 days 00:00:00.580634",48,16.0,176.0,240.0,80.0,208,128.0,192.0,128.0,"","max",0.00016485501859814849,5,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1829833984375,68.15319061279297,0.7174521684646606,0.7589842677116394,0.7758476138114929,-0.6180877685546875,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11203005909919739,"","PRUNED"
