"number","value","datetime_start","datetime_complete","duration","params_decoder_layer_width_0","params_decoder_layer_width_1","params_decoder_layer_width_2","params_decoder_layer_width_3","params_decoder_layer_width_4","params_lr","params_n_decoder_layers","user_attrs_avg_mae","user_attrs_avg_mape","user_attrs_avg_ndcg10","user_attrs_avg_ndcg20","user_attrs_avg_ndcg50","user_attrs_avg_r2","user_attrs_fold10_mae","user_attrs_fold10_mape","user_attrs_fold10_ndcg10","user_attrs_fold10_ndcg20","user_attrs_fold10_ndcg50","user_attrs_fold10_r2","user_attrs_fold11_mae","user_attrs_fold11_mape","user_attrs_fold11_ndcg10","user_attrs_fold11_ndcg20","user_attrs_fold11_ndcg50","user_attrs_fold11_r2","user_attrs_fold12_mae","user_attrs_fold12_mape","user_attrs_fold12_ndcg10","user_attrs_fold12_ndcg20","user_attrs_fold12_ndcg50","user_attrs_fold12_r2","user_attrs_fold13_mae","user_attrs_fold13_mape","user_attrs_fold13_ndcg10","user_attrs_fold13_ndcg20","user_attrs_fold13_ndcg50","user_attrs_fold13_r2","user_attrs_fold14_mae","user_attrs_fold14_mape","user_attrs_fold14_ndcg10","user_attrs_fold14_ndcg20","user_attrs_fold14_ndcg50","user_attrs_fold14_r2","user_attrs_fold15_mae","user_attrs_fold15_mape","user_attrs_fold15_ndcg10","user_attrs_fold15_ndcg20","user_attrs_fold15_ndcg50","user_attrs_fold15_r2","user_attrs_fold1_mae","user_attrs_fold1_mape","user_attrs_fold1_ndcg10","user_attrs_fold1_ndcg20","user_attrs_fold1_ndcg50","user_attrs_fold1_r2","user_attrs_fold2_mae","user_attrs_fold2_mape","user_attrs_fold2_ndcg10","user_attrs_fold2_ndcg20","user_attrs_fold2_ndcg50","user_attrs_fold2_r2","user_attrs_fold3_mae","user_attrs_fold3_mape","user_attrs_fold3_ndcg10","user_attrs_fold3_ndcg20","user_attrs_fold3_ndcg50","user_attrs_fold3_r2","user_attrs_fold4_mae","user_attrs_fold4_mape","user_attrs_fold4_ndcg10","user_attrs_fold4_ndcg20","user_attrs_fold4_ndcg50","user_attrs_fold4_r2","user_attrs_fold5_mae","user_attrs_fold5_mape","user_attrs_fold5_ndcg10","user_attrs_fold5_ndcg20","user_attrs_fold5_ndcg50","user_attrs_fold5_r2","user_attrs_fold6_mae","user_attrs_fold6_mape","user_attrs_fold6_ndcg10","user_attrs_fold6_ndcg20","user_attrs_fold6_ndcg50","user_attrs_fold6_r2","user_attrs_fold7_mae","user_attrs_fold7_mape","user_attrs_fold7_ndcg10","user_attrs_fold7_ndcg20","user_attrs_fold7_ndcg50","user_attrs_fold7_r2","user_attrs_fold8_mae","user_attrs_fold8_mape","user_attrs_fold8_ndcg10","user_attrs_fold8_ndcg20","user_attrs_fold8_ndcg50","user_attrs_fold8_r2","user_attrs_fold9_mae","user_attrs_fold9_mape","user_attrs_fold9_ndcg10","user_attrs_fold9_ndcg20","user_attrs_fold9_ndcg50","user_attrs_fold9_r2","user_attrs_pca_components","system_attrs_completed_rung_0","system_attrs_completed_rung_1","state"
10,0.11608739197254181,"2025-05-16 16:20:37.734407","2025-05-16 16:20:38.034954","0 days 00:00:00.300547",256,256.0,256.0,"","",0.00013000542138995357,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.16454467177391052,55.80946350097656,0.5440643429756165,0.605970561504364,0.5888593792915344,-0.47838926315307617,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11608739197254181,"","PRUNED"
11,0.11581733822822571,"2025-05-16 16:20:38.035180","2025-05-16 16:20:38.246585","0 days 00:00:00.211405",32,208.0,"","","",0.04080011167242846,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.16609658300876617,54.350547790527344,0.38973143696784973,0.4742811918258667,0.46708816289901733,-0.5947078466415405,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11581733822822571,"","PRUNED"
12,0.1301460862159729,"2025-05-16 16:20:38.246822","2025-05-16 16:20:38.516424","0 days 00:00:00.269602",192,176.0,144.0,"","",0.027133601538245414,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.16781561076641083,63.65509033203125,0.31460845470428467,0.2886916697025299,0.47183290123939514,-0.44830989837646484,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1301460862159729,"","PRUNED"
13,0.11423087865114212,"2025-05-16 16:20:38.516654","2025-05-16 16:20:39.045328","0 days 00:00:00.528674",64,176.0,"","","",0.01778450156570889,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1720714271068573,62.86489486694336,0.48147720098495483,0.592251181602478,0.5996950268745422,-0.49327099323272705,0.22526054084300995,2334.537841796875,0.4324643313884735,0.4782833456993103,0.7498051524162292,-0.30148541927337646,0.1507389396429062,70.16969299316406,0.2623829245567322,0.2896125912666321,0.47673285007476807,-0.5217335224151611,0.15876542031764984,71.79217529296875,0.4869634509086609,0.46998515725135803,0.6615481972694397,-0.20330333709716797,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.10902227461338043,0.11423087865114212,"PRUNED"
14,0.1300312727689743,"2025-05-16 16:20:39.045568","2025-05-16 16:20:39.329582","0 days 00:00:00.284014",208,256.0,160.0,"","",0.09540126558503612,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.19607548415660858,71.17843627929688,0.15320463478565216,0.23218406736850739,0.3545587658882141,-0.8970164060592651,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1300312727689743,"","PRUNED"
15,0.11107397079467773,"2025-05-16 16:20:39.329816","2025-05-16 16:20:39.762134","0 days 00:00:00.432318",64,"","","","",0.01512143827085476,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.15673759579658508,58.414669036865234,0.42966264486312866,0.5020142793655396,0.5919514298439026,-0.3047372102737427,0.22573460638523102,3016.330078125,0.4840816855430603,0.5277963876724243,0.7391917705535889,-0.17595458030700684,0.14021430909633636,69.24893951416016,0.38651856780052185,0.39910244941711426,0.5728625655174255,-0.34029483795166016,0.14639292657375336,63.00389099121094,0.4649958312511444,0.6122502088546753,0.6358216404914856,-0.1108928918838501,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.10826584696769714,0.11107397079467773,"PRUNED"
16,0.11478126794099808,"2025-05-16 16:20:39.762364","2025-05-16 16:20:39.995721","0 days 00:00:00.233357",224,160.0,"","","",0.01183179120797032,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.17710193991661072,65.10873413085938,0.5145351886749268,0.556863009929657,0.585929274559021,-0.5542333126068115,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11478126794099808,"","PRUNED"
17,0.1312524676322937,"2025-05-16 16:20:39.995945","2025-05-16 16:20:40.584338","0 days 00:00:00.588393",160,64.0,16.0,16.0,"",0.04718916355395887,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.17098453640937805,68.15672302246094,0.3549727201461792,0.34297436475753784,0.480318546295166,-0.4099034070968628,0.2165978103876114,2430.419921875,0.5290178060531616,0.5861968398094177,0.7883965969085693,-0.1598445177078247,0.1449025720357895,55.64584732055664,0.15729229152202606,0.44170698523521423,0.5248095989227295,-0.5256710052490234,0.1499543935060501,57.39484405517578,0.27964502573013306,0.29558005928993225,0.42194658517837524,-0.3476306200027466,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.10770612955093384,0.1312524676322937,"PRUNED"
18,0.10987769812345505,"2025-05-16 16:20:40.584592","2025-05-16 16:20:40.763567","0 days 00:00:00.178975",144,"","","","",0.026006621015702072,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.15451683104038239,56.179405212402344,0.5349870920181274,0.594214677810669,0.7098191380500793,-0.270230770111084,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.10987769812345505,"","PRUNED"
19,0.15423018683989842,"2025-05-16 16:20:40.763783","2025-05-16 16:20:42.550397","0 days 00:00:01.786614",80,208.0,112.0,"","",0.010533073255786467,3,0.15423018683989842,600.9099718729655,0.22062587669740122,0.2505406033247709,0.34098005046447116,-0.18907393217086793,0.2051864117383957,297.1037902832031,0.13259199261665344,0.1207456886768341,0.13849861919879913,-0.1527014970779419,0.197944775223732,86.2601547241211,0.14247559010982513,0.18457117676734924,0.16900578141212463,-0.4944000244140625,0.12152652442455292,204.39300537109375,0.1172010526061058,0.13434727489948273,0.2279026210308075,-0.05005621910095215,0.12778614461421967,109.95247650146484,0.1557331085205078,0.16338591277599335,0.19517508149147034,-0.20314908027648926,0.23866087198257446,207.5225372314453,0.25153422355651855,0.18062599003314972,0.20460526645183563,-0.28516900539398193,0.10278022289276123,146.37051391601562,0.15657278895378113,0.18858373165130615,0.2655717134475708,-0.04012107849121094,0.16263185441493988,63.1617317199707,0.6089999675750732,0.6465805768966675,0.6520779132843018,-0.2774934768676758,0.2299909144639969,3236.109619140625,0.30302372574806213,0.43184906244277954,0.6375741958618164,-0.3630145788192749,0.14875249564647675,75.22298431396484,0.29235050082206726,0.4877411723136902,0.58664470911026,-0.33989858627319336,0.1451353281736374,73.52069091796875,0.47563180327415466,0.4858079254627228,0.6505398154258728,-0.06901931762695312,0.1075838953256607,654.7896118164062,0.29281866550445557,0.29535675048828125,0.3471464514732361,-0.2661038637161255,0.10194433480501175,1277.322021484375,0.011050988920032978,0.019084373489022255,0.03120257705450058,-0.0787428617477417,0.14922666549682617,315.8828125,0.2045096457004547,0.21650971472263336,0.24867552518844604,-0.28179001808166504,0.13076931238174438,373.0207824707031,0.10833628475666046,0.11192343384027481,0.39695796370506287,0.016769111156463623,0.14353305101394653,1893.016845703125,0.05655781179666519,0.09099626541137695,0.36312252283096313,0.048781514167785645,10.0,0.10414426028728485,0.10850059986114502,"COMPLETE"
