"number","value","datetime_start","datetime_complete","duration","params_decoder_layer_width_0","params_decoder_layer_width_1","params_decoder_layer_width_2","params_decoder_layer_width_3","params_decoder_layer_width_4","params_encoder_layer_width_0","params_encoder_layer_width_1","params_encoder_layer_width_2","params_encoder_layer_width_3","params_encoder_layer_width_4","params_lr","params_n_decoder_layers","params_n_encoder_layers","user_attrs_avg_mae","user_attrs_avg_mape","user_attrs_avg_ndcg10","user_attrs_avg_ndcg20","user_attrs_avg_ndcg50","user_attrs_avg_r2","user_attrs_fold10_mae","user_attrs_fold10_mape","user_attrs_fold10_ndcg10","user_attrs_fold10_ndcg20","user_attrs_fold10_ndcg50","user_attrs_fold10_r2","user_attrs_fold11_mae","user_attrs_fold11_mape","user_attrs_fold11_ndcg10","user_attrs_fold11_ndcg20","user_attrs_fold11_ndcg50","user_attrs_fold11_r2","user_attrs_fold12_mae","user_attrs_fold12_mape","user_attrs_fold12_ndcg10","user_attrs_fold12_ndcg20","user_attrs_fold12_ndcg50","user_attrs_fold12_r2","user_attrs_fold13_mae","user_attrs_fold13_mape","user_attrs_fold13_ndcg10","user_attrs_fold13_ndcg20","user_attrs_fold13_ndcg50","user_attrs_fold13_r2","user_attrs_fold14_mae","user_attrs_fold14_mape","user_attrs_fold14_ndcg10","user_attrs_fold14_ndcg20","user_attrs_fold14_ndcg50","user_attrs_fold14_r2","user_attrs_fold15_mae","user_attrs_fold15_mape","user_attrs_fold15_ndcg10","user_attrs_fold15_ndcg20","user_attrs_fold15_ndcg50","user_attrs_fold15_r2","user_attrs_fold1_mae","user_attrs_fold1_mape","user_attrs_fold1_ndcg10","user_attrs_fold1_ndcg20","user_attrs_fold1_ndcg50","user_attrs_fold1_r2","user_attrs_fold2_mae","user_attrs_fold2_mape","user_attrs_fold2_ndcg10","user_attrs_fold2_ndcg20","user_attrs_fold2_ndcg50","user_attrs_fold2_r2","user_attrs_fold3_mae","user_attrs_fold3_mape","user_attrs_fold3_ndcg10","user_attrs_fold3_ndcg20","user_attrs_fold3_ndcg50","user_attrs_fold3_r2","user_attrs_fold4_mae","user_attrs_fold4_mape","user_attrs_fold4_ndcg10","user_attrs_fold4_ndcg20","user_attrs_fold4_ndcg50","user_attrs_fold4_r2","user_attrs_fold5_mae","user_attrs_fold5_mape","user_attrs_fold5_ndcg10","user_attrs_fold5_ndcg20","user_attrs_fold5_ndcg50","user_attrs_fold5_r2","user_attrs_fold6_mae","user_attrs_fold6_mape","user_attrs_fold6_ndcg10","user_attrs_fold6_ndcg20","user_attrs_fold6_ndcg50","user_attrs_fold6_r2","user_attrs_fold7_mae","user_attrs_fold7_mape","user_attrs_fold7_ndcg10","user_attrs_fold7_ndcg20","user_attrs_fold7_ndcg50","user_attrs_fold7_r2","user_attrs_fold8_mae","user_attrs_fold8_mape","user_attrs_fold8_ndcg10","user_attrs_fold8_ndcg20","user_attrs_fold8_ndcg50","user_attrs_fold8_r2","user_attrs_fold9_mae","user_attrs_fold9_mape","user_attrs_fold9_ndcg10","user_attrs_fold9_ndcg20","user_attrs_fold9_ndcg50","user_attrs_fold9_r2","user_attrs_pca_components","system_attrs_completed_rung_0","system_attrs_completed_rung_1","state"
0,0.14866139541069667,"2025-05-16 16:01:45.672204","2025-05-16 16:01:50.987014","0 days 00:00:05.314810",48,224.0,96.0,48.0,"",128,208.0,224.0,"","",0.00035025378430070595,4,3,0.14866139541069667,471.8211135864258,0.40709325273831687,0.41681598325570424,0.45656576951344807,-0.19763382275899252,0.1988108903169632,270.9580993652344,0.7225573062896729,0.6045289635658264,0.5037171840667725,-0.15514791011810303,0.18680110573768616,65.27680206298828,0.2973308265209198,0.235345259308815,0.31153175234794617,-0.4647700786590576,0.11656112968921661,192.855712890625,0.26939916610717773,0.27395156025886536,0.2794909179210663,-0.04810893535614014,0.11751994490623474,92.82547760009766,0.27009424567222595,0.2517465353012085,0.28205591440200806,-0.129805326461792,0.24074850976467133,206.77777099609375,0.321293443441391,0.33933818340301514,0.3371746838092804,-0.31743085384368896,0.10269934684038162,149.13973999023438,0.2807057499885559,0.2902819812297821,0.3042989671230316,-0.04440164566040039,0.15450015664100647,53.484580993652344,0.46948006749153137,0.5275052785873413,0.6055382490158081,-0.3606746196746826,0.20228101313114166,1225.6383056640625,0.5160019397735596,0.5488583445549011,0.724046528339386,-0.27750980854034424,0.17997437715530396,80.10258483886719,0.7982531189918518,0.7825654149055481,0.7726481556892395,-0.8188300132751465,0.13292503356933594,53.88812255859375,0.43216457962989807,0.5239565372467041,0.6292690634727478,-0.10485339164733887,0.10228513181209564,441.95965576171875,0.37765830755233765,0.4480043947696686,0.43860071897506714,-0.205358624458313,0.09518638253211975,1343.199462890625,0.3967820107936859,0.35785335302352905,0.4933868646621704,0.027231335639953613,0.1275082230567932,347.2268981933594,0.48883453011512756,0.40480512380599976,0.4670664966106415,-0.047273874282836914,0.12898972630500793,452.9976501464844,0.3189082741737366,0.31792154908180237,0.316159188747406,-0.015851736068725586,0.14312995970249176,2100.98583984375,0.14693522453308105,0.34557726979255676,0.3835018575191498,-0.0017218589782714844,10.0,"","","COMPLETE"
1,0.16770898550748825,"2025-05-16 16:01:50.987484","2025-05-16 16:01:54.741917","0 days 00:00:03.754433",16,128.0,144.0,192.0,"",16,16.0,"","","",0.009763412019019906,4,2,0.16770898550748825,1002.2136980692545,0.45348474917312465,0.45954524191717305,0.4848963713273406,-0.2591875632603963,0.19649793207645416,249.80892944335938,0.5224444270133972,0.6232237219810486,0.4440440535545349,-0.15693438053131104,0.1884463131427765,62.81612014770508,0.2856069505214691,0.23427726328372955,0.27620407938957214,-0.4926067590713501,0.11529809236526489,183.5657958984375,0.2126549631357193,0.17825452983379364,0.19775277376174927,-0.04588329792022705,0.12646658718585968,90.9102783203125,0.1775495558977127,0.17334742844104767,0.18782012164592743,-0.2859523296356201,0.23608103394508362,182.62086486816406,0.9929260611534119,0.9069215059280396,0.7567780613899231,-0.297965407371521,0.10112889856100082,149.2263641357422,0.2892147898674011,0.2840907573699951,0.3026740849018097,-0.03791499137878418,0.17140641808509827,64.8230209350586,0.5735855102539062,0.5775426626205444,0.6771203279495239,-0.4419625997543335,0.2614193558692932,2414.659423828125,0.2729976773262024,0.4310205578804016,0.611615002155304,-0.4498331546783447,0.15955862402915955,77.1055679321289,0.7880216240882874,0.7771106958389282,0.7883451581001282,-0.3798767328262329,0.13171936571598053,64.48111724853516,0.7090187668800354,0.685886800289154,0.7501436471939087,0.10454529523849487,0.10939009487628937,623.696044921875,0.2521129548549652,0.38769444823265076,0.4072422385215759,-0.22526657581329346,0.118120938539505,1865.4989013671875,0.01697789691388607,0.00923118181526661,0.01368717197328806,-0.06828022003173828,0.14408963918685913,551.4429321289062,0.4889945387840271,0.3981654644012451,0.6140341758728027,-0.004823446273803711,0.1351669281721115,612.6165161132812,0.32609084248542786,0.45886746048927307,0.5173943042755127,0.12412792444229126,0.3208445608615875,7839.93359375,0.8940746784210205,0.767544150352478,0.7285903692245483,-1.229186773300171,10.0,0.11262614279985428,0.11115270853042603,"COMPLETE"
2,0.1190486028790474,"2025-05-16 16:01:54.742338","2025-05-16 16:01:55.203692","0 days 00:00:00.461354",80,32.0,112.0,192.0,240.0,112,"","","","",0.00017737090194317544,5,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1823083907365799,62.48048400878906,0.5570746064186096,0.5419023633003235,0.6235125064849854,-0.7233738899230957,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1190486028790474,"","PRUNED"
3,0.11681263148784637,"2025-05-16 16:01:55.203978","2025-05-16 16:01:55.542043","0 days 00:00:00.338065",112,128.0,"","","",48,"","","","",0.00034486321114550646,2,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.16683071851730347,60.406654357910156,0.728435754776001,0.6787466406822205,0.7209388017654419,-0.4309917688369751,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11681263148784637,"","PRUNED"
4,0.12000460177659988,"2025-05-16 16:01:55.542288","2025-05-16 16:01:55.850787","0 days 00:00:00.308499",240,"","","","",32,"","","","",0.00027456308946391,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.16912220418453217,59.301055908203125,0.6162354946136475,0.5975410342216492,0.677742063999176,-0.5092048645019531,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.12000460177659988,"","PRUNED"
5,0.11401458084583282,"2025-05-16 16:01:55.851008","2025-05-16 16:01:56.574673","0 days 00:00:00.723665",16,112.0,"","","",48,80.0,112.0,224.0,"",0.014124310500079599,2,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.16273684799671173,53.580326080322266,0.2551063597202301,0.30398768186569214,0.4214039146900177,-0.5959588289260864,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11401458084583282,"","PRUNED"
6,0.11424579471349716,"2025-05-16 16:01:56.574927","2025-05-16 16:01:57.022771","0 days 00:00:00.447844",144,"","","","",256,80.0,"","","",0.0006487219081777987,1,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.16395840048789978,57.47930908203125,0.6479915380477905,0.6199692487716675,0.6828075051307678,-0.42838454246520996,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11424579471349716,"","PRUNED"
7,0.11506510525941849,"2025-05-16 16:01:57.023027","2025-05-16 16:01:57.520499","0 days 00:00:00.497472",64,48.0,208.0,"","",144,112.0,"","","",0.001064397634562519,3,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.16271185874938965,56.33151626586914,0.43376001715660095,0.43775510787963867,0.5891534686088562,-0.467920184135437,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11506510525941849,"","PRUNED"
8,0.12998434901237488,"2025-05-16 16:01:57.520741","2025-05-16 16:01:58.174137","0 days 00:00:00.653396",112,256.0,80.0,32.0,"",64,48.0,128.0,"","",0.09347055837250384,4,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.2084832787513733,77.41112518310547,0.3079359233379364,0.3392367362976074,0.38500848412513733,-1.0201585292816162,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.12998434901237488,"","PRUNED"
9,0.12046580761671066,"2025-05-16 16:01:58.174381","2025-05-16 16:01:58.606535","0 days 00:00:00.432154",240,48.0,32.0,96.0,224.0,48,"","","","",0.0002113067967410559,5,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.18579630553722382,64.69087219238281,0.4855287969112396,0.5120844841003418,0.626029908657074,-0.7529778480529785,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.12046580761671066,"","PRUNED"
