"number","value","datetime_start","datetime_complete","duration","params_decoder_layer_width_0","params_decoder_layer_width_1","params_decoder_layer_width_2","params_decoder_layer_width_3","params_decoder_layer_width_4","params_encoder_layer_width_0","params_encoder_layer_width_1","params_encoder_layer_width_2","params_encoder_layer_width_3","params_lr","params_n_decoder_layers","params_n_encoder_layers","params_transformer_dropout","params_transformer_heads","user_attrs_avg_mae","user_attrs_avg_mape","user_attrs_avg_ndcg10","user_attrs_avg_ndcg20","user_attrs_avg_ndcg50","user_attrs_avg_r2","user_attrs_fold10_mae","user_attrs_fold10_mape","user_attrs_fold10_ndcg10","user_attrs_fold10_ndcg20","user_attrs_fold10_ndcg50","user_attrs_fold10_r2","user_attrs_fold11_mae","user_attrs_fold11_mape","user_attrs_fold11_ndcg10","user_attrs_fold11_ndcg20","user_attrs_fold11_ndcg50","user_attrs_fold11_r2","user_attrs_fold12_mae","user_attrs_fold12_mape","user_attrs_fold12_ndcg10","user_attrs_fold12_ndcg20","user_attrs_fold12_ndcg50","user_attrs_fold12_r2","user_attrs_fold13_mae","user_attrs_fold13_mape","user_attrs_fold13_ndcg10","user_attrs_fold13_ndcg20","user_attrs_fold13_ndcg50","user_attrs_fold13_r2","user_attrs_fold14_mae","user_attrs_fold14_mape","user_attrs_fold14_ndcg10","user_attrs_fold14_ndcg20","user_attrs_fold14_ndcg50","user_attrs_fold14_r2","user_attrs_fold15_mae","user_attrs_fold15_mape","user_attrs_fold15_ndcg10","user_attrs_fold15_ndcg20","user_attrs_fold15_ndcg50","user_attrs_fold15_r2","user_attrs_fold16_mae","user_attrs_fold16_mape","user_attrs_fold16_ndcg10","user_attrs_fold16_ndcg20","user_attrs_fold16_ndcg50","user_attrs_fold16_r2","user_attrs_fold17_mae","user_attrs_fold17_mape","user_attrs_fold17_ndcg10","user_attrs_fold17_ndcg20","user_attrs_fold17_ndcg50","user_attrs_fold17_r2","user_attrs_fold1_mae","user_attrs_fold1_mape","user_attrs_fold1_ndcg10","user_attrs_fold1_ndcg20","user_attrs_fold1_ndcg50","user_attrs_fold1_r2","user_attrs_fold2_mae","user_attrs_fold2_mape","user_attrs_fold2_ndcg10","user_attrs_fold2_ndcg20","user_attrs_fold2_ndcg50","user_attrs_fold2_r2","user_attrs_fold3_mae","user_attrs_fold3_mape","user_attrs_fold3_ndcg10","user_attrs_fold3_ndcg20","user_attrs_fold3_ndcg50","user_attrs_fold3_r2","user_attrs_fold4_mae","user_attrs_fold4_mape","user_attrs_fold4_ndcg10","user_attrs_fold4_ndcg20","user_attrs_fold4_ndcg50","user_attrs_fold4_r2","user_attrs_fold5_mae","user_attrs_fold5_mape","user_attrs_fold5_ndcg10","user_attrs_fold5_ndcg20","user_attrs_fold5_ndcg50","user_attrs_fold5_r2","user_attrs_fold6_mae","user_attrs_fold6_mape","user_attrs_fold6_ndcg10","user_attrs_fold6_ndcg20","user_attrs_fold6_ndcg50","user_attrs_fold6_r2","user_attrs_fold7_mae","user_attrs_fold7_mape","user_attrs_fold7_ndcg10","user_attrs_fold7_ndcg20","user_attrs_fold7_ndcg50","user_attrs_fold7_r2","user_attrs_fold8_mae","user_attrs_fold8_mape","user_attrs_fold8_ndcg10","user_attrs_fold8_ndcg20","user_attrs_fold8_ndcg50","user_attrs_fold8_r2","user_attrs_fold9_mae","user_attrs_fold9_mape","user_attrs_fold9_ndcg10","user_attrs_fold9_ndcg20","user_attrs_fold9_ndcg50","user_attrs_fold9_r2","user_attrs_pca_components","system_attrs_completed_rung_0","system_attrs_completed_rung_1","system_attrs_completed_rung_2","state"
0,0.13152919424807324,"2025-05-16 21:40:44.241907","2025-05-16 21:40:53.054707","0 days 00:00:08.812800",128,"","","","",128,"","","",0.00152904413040177,1,1,0.5,10,0.13152919424807324,2051.228859396542,0.6506689863608164,0.6424585642183528,0.6365089451565462,0.04556159762775197,0.14565220475196838,223.66128540039062,0.05193870887160301,0.07578590512275696,0.09544683992862701,-0.4623361825942993,0.0690489113330841,471.33392333984375,0.9180051684379578,0.8440307378768921,0.8697893023490906,0.6786743104457855,0.15860381722450256,173.33444213867188,1.0,1.0,0.8228171467781067,0.26808470487594604,0.1147063747048378,52.408599853515625,1.0,1.0,0.9022664427757263,0.5623718202114105,0.09577298164367676,116.99998474121094,1.0,0.8461822867393494,0.7592771053314209,0.34621065855026245,0.15898200869560242,71.61139678955078,0.42674726247787476,0.3965179920196533,0.4997186064720154,-0.7475360631942749,0.21803617477416992,159.24227905273438,1.0,1.0,0.959096372127533,-0.0775519609451294,0.11007866263389587,217.8557891845703,0.904608428478241,0.8366334438323975,0.8161700367927551,0.24855124950408936,0.18710042536258698,63.51543045043945,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.8216272592544556,0.21811746060848236,798.445556640625,0.5616838932037354,0.40270331501960754,0.723856508731842,-0.482635498046875,0.12205158174037933,62.935726165771484,0.8510283827781677,0.9002185463905334,0.868826150894165,0.32242798805236816,0.10984527319669724,54.741539001464844,0.7643720507621765,0.8186548948287964,0.8529407978057861,0.44110000133514404,0.08929665386676788,30503.9375,0.16561420261859894,0.14103548228740692,0.14870013296604156,-0.05670726299285889,0.10121338069438934,704.3709716796875,0.2554168403148651,0.3998529016971588,0.3912048041820526,-0.03714704513549805,0.15006554126739502,265.9529113769531,0.2870215177536011,0.26478341221809387,0.28005680441856384,-0.19722282886505127,0.058224868029356,471.4121398925781,1.0,0.995047390460968,0.8051589727401733,0.4848182201385498,0.12919998168945312,459.1311340332031,0.5670003890991211,0.6611125469207764,0.6403175592422485,0.3050723075866699,10.0,"","","","COMPLETE"
1,0.10474747090655215,"2025-05-16 21:40:53.055104","2025-05-16 21:40:58.895443","0 days 00:00:05.840339",112,48.0,224.0,176.0,224.0,176,80.0,"","",0.0004766940424136155,5,2,0.2,1,0.10474747090655215,982.5775202582864,0.8010840152992922,0.8073124727782082,0.7903533753226785,0.37618892859010133,0.11358904093503952,380.1728820800781,0.4681309163570404,0.6188012957572937,0.6268672347068787,0.21647387742996216,0.0782637894153595,706.323974609375,0.9125926494598389,0.8923059701919556,0.8679486513137817,0.6514530777931213,0.1530827283859253,178.820068359375,0.9993374347686768,0.9995723962783813,0.8259309530258179,0.27560508251190186,0.11036145687103271,49.387939453125,1.0,1.0,0.9084429144859314,0.5660527944564819,0.09647403657436371,146.5147705078125,1.0,0.8657266497612,0.7762026786804199,0.39269810914993286,0.08490455150604248,63.061248779296875,0.9191439151763916,0.8522273302078247,0.8275918960571289,0.5053189992904663,0.14660261571407318,122.5809326171875,1.0,1.0,0.9628441333770752,0.5247315168380737,0.07846472412347794,101.89830017089844,0.893216609954834,0.8379859328269958,0.818115770816803,0.4535380005836487,0.10327397286891937,39.296730041503906,0.7116585373878479,0.7543715834617615,0.8064350485801697,0.3574315309524536,0.17985732853412628,2811.119140625,0.6280590891838074,0.6256712675094604,0.8369576930999756,0.11553674936294556,0.08794774860143661,50.95499801635742,0.8749563097953796,0.8977928161621094,0.8810752630233765,0.5547781884670258,0.10230815410614014,50.62046813964844,0.6453134417533875,0.7094033360481262,0.8076404333114624,0.41130781173706055,0.07444951683282852,10797.47265625,0.8258715867996216,0.7465736269950867,0.7051202654838562,0.30362600088119507,0.09326448291540146,518.3093872070312,0.3159297704696655,0.3738239109516144,0.5174227952957153,0.016594886779785156,0.11354044824838638,208.699462890625,0.8178084492683411,0.8396061658859253,0.7899028062820435,0.3660101294517517,0.048589807003736496,184.14491271972656,1.0,0.995047390460968,0.8082948327064514,0.4354707598686218,0.1157326027750969,294.4399719238281,0.6064095497131348,0.715402364730835,0.6692140102386475,0.24858427047729492,10.0,0.09104615449905396,0.0876086875796318,0.09095928817987442,"COMPLETE"
2,0.11670584231615067,"2025-05-16 21:40:58.895905","2025-05-16 21:41:00.293213","0 days 00:00:01.397308",208,32.0,224.0,240.0,"",144,96.0,"","",0.005278361314968211,4,2,0.5,6,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.184715136885643,61.96532440185547,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.8008111715316772,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11670584231615067,"","","PRUNED"
3,0.09260324388742447,"2025-05-16 21:41:00.293491","2025-05-16 21:41:01.966423","0 days 00:00:01.672932",80,96.0,256.0,48.0,"",96,160.0,"","",0.00939675835574216,4,2,0.30000000000000004,7,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1355057805776596,55.061805725097656,0.6968239545822144,0.7581124305725098,0.8037203550338745,0.17913955450057983,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.09260324388742447,"","","PRUNED"
4,0.09221599996089935,"2025-05-16 21:41:01.966708","2025-05-16 21:41:02.380388","0 days 00:00:00.413680",144,"","","","",64,"","","",0.0005300859808380881,1,1,0.5,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1109890416264534,44.62795639038086,0.7056912183761597,0.8074866533279419,0.8218737840652466,0.32815003395080566,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.09221599996089935,"","","PRUNED"
5,0.10225994534352247,"2025-05-16 21:41:02.380634","2025-05-16 21:41:07.286352","0 days 00:00:04.905718",112,112.0,"","","",128,16.0,"","",0.0016515814205350172,2,2,0.0,3,0.10225994534352247,1109.689380645752,0.813264119274476,0.8105883037342745,0.7879093622460085,0.36799981488901023,0.11003082990646362,238.23162841796875,0.5295314192771912,0.6398289799690247,0.6332622766494751,0.18345266580581665,0.07165151089429855,553.5191040039062,0.9125926494598389,0.8954726457595825,0.8945670127868652,0.6325326859951019,0.1454070508480072,156.4285888671875,1.0,1.0,0.8260565400123596,0.2818458676338196,0.10136102885007858,52.14342498779297,1.0,1.0,0.9157588481903076,0.611375093460083,0.09258770942687988,97.48371887207031,1.0,0.8649027347564697,0.774600625038147,0.342437207698822,0.08321905881166458,75.98658752441406,0.9276496767997742,0.8535193800926208,0.8157803416252136,0.5486758947372437,0.13422980904579163,102.8935775756836,1.0,1.0,0.9628441333770752,0.5275702476501465,0.07489513605833054,82.59541320800781,0.8920125365257263,0.8406175971031189,0.8206151127815247,0.47641444206237793,0.10774035006761551,41.97651672363281,0.7172331213951111,0.7680183053016663,0.7982978820800781,0.33825361728668213,0.17575083673000336,2792.98876953125,0.6734681725502014,0.6410585045814514,0.8407467603683472,0.09071981906890869,0.09187976270914078,47.72174835205078,0.850595235824585,0.8630235195159912,0.882824718952179,0.47052717208862305,0.10042466968297958,49.90078353881836,0.7153376936912537,0.7539129257202148,0.7945209741592407,0.4576258659362793,0.07304511219263077,13238.6748046875,0.8340374231338501,0.7397345900535583,0.6845867037773132,0.32077473402023315,0.09492848813533783,398.7738037109375,0.2784237563610077,0.36122792959213257,0.48733100295066833,-0.0815194845199585,0.10942541807889938,223.51693725585938,0.838874876499176,0.8330016136169434,0.7622544765472412,0.40451598167419434,0.05526631325483322,433.7767639160156,1.0,1.0,0.8349919319152832,0.4365634322166443,0.11657598614692688,278.1072998046875,0.6557334661483765,0.7256824374198914,0.6654198169708252,0.21423161029815674,10.0,0.0790509283542633,0.07952964305877686,0.08095743507146835,"COMPLETE"
6,0.09489502012729645,"2025-05-16 21:41:07.286822","2025-05-16 21:41:07.735051","0 days 00:00:00.448229",112,"","","","",96,"","","",0.00017232185431110468,1,1,0.30000000000000004,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11449179798364639,49.923194885253906,0.7861811518669128,0.8021558523178101,0.8268427848815918,0.3418794870376587,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.09489502012729645,"","","PRUNED"
7,0.08482061326503754,"2025-05-16 21:41:07.735320","2025-05-16 21:41:08.570971","0 days 00:00:00.835651",144,256.0,144.0,224.0,"",112,"","","",0.0014351256410989211,4,1,0.5,6,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.09877502173185349,43.5511360168457,0.6906550526618958,0.78851717710495,0.8290165662765503,0.4942108988761902,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.08482061326503754,"","","PRUNED"
8,0.11422815918922424,"2025-05-16 21:41:08.571233","2025-05-16 21:41:09.343916","0 days 00:00:00.772683",160,144.0,208.0,128.0,16.0,192,32.0,"","",0.00974679787562691,5,2,0.4,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.12829406559467316,49.99540328979492,0.7247763872146606,0.756994903087616,0.7955245971679688,0.17498010396957397,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11422815918922424,"","","PRUNED"
9,0.0918109118938446,"2025-05-16 21:41:09.344186","2025-05-16 21:41:14.085715","0 days 00:00:04.741529",128,"","","","",192,96.0,"","",0.0008407968357281223,1,2,0.0,8,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11628281325101852,49.05418395996094,0.7196508049964905,0.7547387480735779,0.7945097088813782,0.30658936500549316,0.1764369010925293,1858.0020751953125,0.6310680508613586,0.6317955851554871,0.8386202454566956,-0.012412667274475098,0.09332180768251419,47.61234664916992,0.8958902955055237,0.8516606092453003,0.8553680181503296,0.46682029962539673,0.10348030924797058,55.28352355957031,0.6973546743392944,0.7716717720031738,0.8036443591117859,0.4846295118331909,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.08477059751749039,0.0918109118938446,"","PRUNED"
