"number","value","datetime_start","datetime_complete","duration","params_decoder_layer_width_0","params_decoder_layer_width_1","params_decoder_layer_width_2","params_decoder_layer_width_3","params_decoder_layer_width_4","params_encoder_layer_width_0","params_encoder_layer_width_1","params_encoder_layer_width_2","params_encoder_layer_width_3","params_encoder_layer_width_4","params_graphsage_aggregator","params_lr","params_n_decoder_layers","params_n_encoder_layers","user_attrs_avg_mae","user_attrs_avg_mape","user_attrs_avg_ndcg10","user_attrs_avg_ndcg20","user_attrs_avg_ndcg50","user_attrs_avg_r2","user_attrs_fold10_mae","user_attrs_fold10_mape","user_attrs_fold10_ndcg10","user_attrs_fold10_ndcg20","user_attrs_fold10_ndcg50","user_attrs_fold10_r2","user_attrs_fold11_mae","user_attrs_fold11_mape","user_attrs_fold11_ndcg10","user_attrs_fold11_ndcg20","user_attrs_fold11_ndcg50","user_attrs_fold11_r2","user_attrs_fold12_mae","user_attrs_fold12_mape","user_attrs_fold12_ndcg10","user_attrs_fold12_ndcg20","user_attrs_fold12_ndcg50","user_attrs_fold12_r2","user_attrs_fold13_mae","user_attrs_fold13_mape","user_attrs_fold13_ndcg10","user_attrs_fold13_ndcg20","user_attrs_fold13_ndcg50","user_attrs_fold13_r2","user_attrs_fold14_mae","user_attrs_fold14_mape","user_attrs_fold14_ndcg10","user_attrs_fold14_ndcg20","user_attrs_fold14_ndcg50","user_attrs_fold14_r2","user_attrs_fold15_mae","user_attrs_fold15_mape","user_attrs_fold15_ndcg10","user_attrs_fold15_ndcg20","user_attrs_fold15_ndcg50","user_attrs_fold15_r2","user_attrs_fold16_mae","user_attrs_fold16_mape","user_attrs_fold16_ndcg10","user_attrs_fold16_ndcg20","user_attrs_fold16_ndcg50","user_attrs_fold16_r2","user_attrs_fold17_mae","user_attrs_fold17_mape","user_attrs_fold17_ndcg10","user_attrs_fold17_ndcg20","user_attrs_fold17_ndcg50","user_attrs_fold17_r2","user_attrs_fold1_mae","user_attrs_fold1_mape","user_attrs_fold1_ndcg10","user_attrs_fold1_ndcg20","user_attrs_fold1_ndcg50","user_attrs_fold1_r2","user_attrs_fold2_mae","user_attrs_fold2_mape","user_attrs_fold2_ndcg10","user_attrs_fold2_ndcg20","user_attrs_fold2_ndcg50","user_attrs_fold2_r2","user_attrs_fold3_mae","user_attrs_fold3_mape","user_attrs_fold3_ndcg10","user_attrs_fold3_ndcg20","user_attrs_fold3_ndcg50","user_attrs_fold3_r2","user_attrs_fold4_mae","user_attrs_fold4_mape","user_attrs_fold4_ndcg10","user_attrs_fold4_ndcg20","user_attrs_fold4_ndcg50","user_attrs_fold4_r2","user_attrs_fold5_mae","user_attrs_fold5_mape","user_attrs_fold5_ndcg10","user_attrs_fold5_ndcg20","user_attrs_fold5_ndcg50","user_attrs_fold5_r2","user_attrs_fold6_mae","user_attrs_fold6_mape","user_attrs_fold6_ndcg10","user_attrs_fold6_ndcg20","user_attrs_fold6_ndcg50","user_attrs_fold6_r2","user_attrs_fold7_mae","user_attrs_fold7_mape","user_attrs_fold7_ndcg10","user_attrs_fold7_ndcg20","user_attrs_fold7_ndcg50","user_attrs_fold7_r2","user_attrs_fold8_mae","user_attrs_fold8_mape","user_attrs_fold8_ndcg10","user_attrs_fold8_ndcg20","user_attrs_fold8_ndcg50","user_attrs_fold8_r2","user_attrs_fold9_mae","user_attrs_fold9_mape","user_attrs_fold9_ndcg10","user_attrs_fold9_ndcg20","user_attrs_fold9_ndcg50","user_attrs_fold9_r2","user_attrs_pca_components","system_attrs_completed_rung_0","system_attrs_completed_rung_1","system_attrs_completed_rung_2","state"
0,1.2858178878531736,"2025-05-16 21:31:51.390611","2025-05-16 21:31:56.226237","0 days 00:00:04.835626",240,64.0,96.0,"","",176,240.0,32.0,224.0,48.0,"mean",0.08351086935569342,3,5,1.2858178878531736,9869.746627807617,0.22975456002442277,0.2944879305055913,0.3570452779531479,-596.0648557228201,0.12205115705728531,255.85858154296875,0.17855799198150635,0.1929423213005066,0.3449734151363373,-0.16234469413757324,0.12021806836128235,505.92340087890625,0.024402735754847527,0.028759272769093513,0.04012559354305267,-0.18429481983184814,0.20892412960529327,91.4619140625,0.37938931584358215,0.4339168965816498,0.3819175958633423,-0.49212801456451416,0.17518611252307892,121.64279174804688,0.38391774892807007,0.4002876281738281,0.3655586540699005,-0.013189196586608887,0.222112774848938,554.468994140625,0.18742690980434418,0.28259921073913574,0.2967640161514282,-0.8742188215255737,0.11705875396728516,96.55428314208984,0.42674726247787476,0.3965179920196533,0.4997186064720154,-0.1020580530166626,0.2464274913072586,109.52906799316406,0.4681253135204315,0.6776140928268433,0.5763584971427917,-0.5145837068557739,0.11778988689184189,71.46022033691406,0.16633036732673645,0.3710179030895233,0.43047839403152466,-0.4763065576553345,0.1991375982761383,71.33780670166016,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.9307472705841064,0.22345960140228271,1762.5546875,0.320976585149765,0.35041409730911255,0.63100665807724,-0.40103018283843994,19.128929138183594,16760.076171875,0.15729229152202606,0.44170698523521423,0.5248095989227295,-10125.87109375,0.18232689797878265,67.26609802246094,0.14052796363830566,0.1728532761335373,0.4216603934764862,-0.695533037185669,0.21836107969284058,142473.609375,0.16561420261859894,0.14103548228740692,0.14870013296604156,-1.2038218975067139,0.1737029105424881,2287.943115234375,0.10077051818370819,0.16893522441387177,0.19974727928638458,-0.6898918151855469,0.15021921694278717,279.428955078125,0.2870215177536011,0.26478341221809387,0.28005680441856384,-0.18601596355438232,0.12546341121196747,2048.949462890625,0.01786161959171295,0.16563235223293304,0.2790035009384155,-0.0951613187789917,0.1275358647108078,227.62774658203125,0.1929292529821396,0.17804193496704102,0.2638821005821228,-0.21012818813323975,10.0,"","","","COMPLETE"
1,0.14217245710246704,"2025-05-16 21:31:56.226683","2025-05-16 21:31:59.204837","0 days 00:00:02.978154",128,176.0,224.0,"","",64,"","","","","mean",0.004304741182430452,3,1,0.14217245710246704,2973.740628635182,0.43579183387405734,0.4436015968813616,0.47380175222368803,-0.047779042931164015,0.13916093111038208,697.0216064453125,0.5623779892921448,0.5213776230812073,0.5893248915672302,0.11950039863586426,0.08278506249189377,751.340087890625,0.8734538555145264,0.8595739006996155,0.8669503927230835,0.5883983671665192,0.20150412619113922,281.5000915527344,0.325432151556015,0.2653980553150177,0.20585811138153076,-0.15402114391326904,0.1914917528629303,74.68736267089844,0.3004298508167267,0.2518545985221863,0.24893008172512054,-0.4406808614730835,0.12614592909812927,246.8789520263672,0.270404189825058,0.3024927079677582,0.31894877552986145,0.001383364200592041,0.11831565201282501,104.03509521484375,0.14382734894752502,0.13471995294094086,0.24309231340885162,-0.06801295280456543,0.2316574901342392,203.60794067382812,0.2074064016342163,0.4097461998462677,0.42638564109802246,-0.20974254608154297,0.13469378650188446,254.70950317382812,0.2624151408672333,0.2564582824707031,0.2838248908519745,-0.22728431224822998,0.14011485874652863,52.0413932800293,0.7936083078384399,0.7328246235847473,0.6963207721710205,-0.09461688995361328,0.1770482361316681,2230.68017578125,0.7288628816604614,0.7311986684799194,0.8651818037033081,0.12392574548721313,0.16978752613067627,80.12931060791016,0.42447036504745483,0.5740627646446228,0.6257065534591675,-0.6369529962539673,0.13410979509353638,81.45796203613281,0.6847478151321411,0.7066229581832886,0.7480524778366089,0.2305658459663391,0.1030345931649208,43376.2421875,0.4585280418395996,0.3906805217266083,0.40848663449287415,-0.07875406742095947,0.10008897632360458,420.5878601074219,0.31292960047721863,0.3311930298805237,0.3916376531124115,-0.1436377763748169,0.15329338610172272,241.3992462158203,0.21263110637664795,0.24608463048934937,0.30434659123420715,-0.14590442180633545,0.0897747203707695,1073.7625732421875,0.06803032010793686,0.07920712232589722,0.10449333488941193,0.09554976224899292,0.12392494827508926,383.50933837890625,0.7789058089256287,0.7477315068244934,0.7270888686180115,0.22804075479507446,10.0,0.10465028882026672,0.10047326236963272,0.10497031360864639,"COMPLETE"
2,0.12724262475967407,"2025-05-16 21:31:59.205246","2025-05-16 21:31:59.819487","0 days 00:00:00.614241",224,112.0,208.0,144.0,240.0,112,32.0,224.0,224.0,"","add",0.03817459860888413,5,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.6172897815704346,2008.948486328125,0.12571825087070465,0.13808350265026093,0.22300675511360168,-245.3280487060547,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.12724262475967407,"","","PRUNED"
3,0.10959936678409576,"2025-05-16 21:31:59.819809","2025-05-16 21:32:00.278232","0 days 00:00:00.458423",192,96.0,"","","",64,160.0,16.0,"","","max",0.0002986655895171329,2,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.16492706537246704,55.50218200683594,0.6533231735229492,0.5746481418609619,0.7316296696662903,-0.4970279932022095,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.10959936678409576,"","","PRUNED"
4,0.11519820988178253,"2025-05-16 21:32:00.278546","2025-05-16 21:32:00.893450","0 days 00:00:00.614904",256,16.0,144.0,128.0,"",256,144.0,240.0,112.0,224.0,"mean",0.00019699397319713853,4,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.17367279529571533,62.70154571533203,0.6721416711807251,0.7095571756362915,0.7312915921211243,-0.5466903448104858,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11519820988178253,"","","PRUNED"
5,0.11174046248197556,"2025-05-16 21:32:00.893767","2025-05-16 21:32:01.373473","0 days 00:00:00.479706",144,96.0,"","","",144,208.0,192.0,48.0,"","max",0.0002722914787585792,2,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1463017463684082,45.8610725402832,0.8221094012260437,0.7518324851989746,0.7661998867988586,-0.34140026569366455,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11174046248197556,"","","PRUNED"
6,0.11069328337907791,"2025-05-16 21:32:01.373762","2025-05-16 21:32:01.723713","0 days 00:00:00.349951",96,"","","","",144,144.0,16.0,"","","mean",0.0006395582921312783,1,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.15563157200813293,59.634429931640625,0.8026947379112244,0.7496970295906067,0.7256360650062561,-0.2168712615966797,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11069328337907791,"","","PRUNED"
7,0.11290622502565384,"2025-05-16 21:32:01.723987","2025-05-16 21:32:02.255365","0 days 00:00:00.531378",240,144.0,224.0,"","",208,256.0,240.0,"","","mean",0.01440963390204721,3,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1678965836763382,70.54299926757812,0.5720563530921936,0.6541721820831299,0.6985305547714233,-0.27545344829559326,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11290622502565384,"","","PRUNED"
8,0.11721723526716232,"2025-05-16 21:32:02.255629","2025-05-16 21:32:02.737112","0 days 00:00:00.481483",176,16.0,32.0,"","",192,144.0,256.0,16.0,"","max",0.03515764388746243,3,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.14253227412700653,42.593223571777344,0.32508420944213867,0.4833073318004608,0.623536229133606,-0.38622570037841797,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11721723526716232,"","","PRUNED"
9,0.13337267190217972,"2025-05-16 21:32:02.737379","2025-05-16 21:32:06.530725","0 days 00:00:03.793346",96,48.0,64.0,128.0,"",48,80.0,96.0,144.0,"","add",0.007814506935339131,4,4,0.13337267190217972,2578.1835356319652,0.8428353527012993,0.8050814796896542,0.7955627792021808,-0.5130949791739968,0.11764166504144669,417.2174377441406,0.6093023419380188,0.6195804476737976,0.6301873326301575,0.24495911598205566,0.08016791194677353,362.4300842285156,0.9485180974006653,0.8610023856163025,0.8639351725578308,0.6128828227519989,0.15816344320774078,299.86956787109375,0.9993637800216675,0.9996161460876465,0.8600844144821167,0.3936939835548401,0.1132066547870636,61.23243713378906,1.0,1.0,0.9142737984657288,0.601995438337326,0.09618312120437622,117.26778411865234,1.0,0.8618762493133545,0.781836748123169,0.3601534962654114,0.0916857048869133,57.60940170288086,0.9803314208984375,0.8352680802345276,0.8405042886734009,0.4652663469314575,0.17611657083034515,143.31655883789062,1.0,1.0,0.9716007113456726,0.389095664024353,0.08025198429822922,93.89813232421875,0.9155333042144775,0.8425436615943909,0.8199631571769714,0.45888692140579224,0.10418111830949783,38.51638412475586,0.6581018567085266,0.7158839106559753,0.8113886713981628,0.3349131941795349,0.17393258213996887,2240.7978515625,0.6695435643196106,0.6085233688354492,0.8333280086517334,0.16127490997314453,0.11753599345684052,106.59524536132812,0.8543910384178162,0.7989683747291565,0.8087244629859924,0.305637001991272,0.11299432069063187,48.3282356262207,0.509056568145752,0.6241332292556763,0.7520099878311157,0.312908411026001,0.08038052171468735,29293.560546875,0.8360225558280945,0.7877840995788574,0.7399365901947021,0.38278061151504517,0.09300238639116287,558.116455078125,0.7411802411079407,0.6826773285865784,0.6673341393470764,0.13943129777908325,0.1418834626674652,502.87384033203125,0.7610975503921509,0.7308971285820007,0.7133089900016785,0.26974964141845703,0.4178001582622528,9030.7099609375,0.9292210340499878,0.9511665105819702,0.7580274343490601,-14.570496559143066,0.1122078225016594,456.7801818847656,0.9165376424789429,0.7664642333984375,0.7581233382225037,0.4142530560493469,10.0,0.08879446983337402,0.09217122197151184,0.09723390638828278,"COMPLETE"
