"number","value","datetime_start","datetime_complete","duration","params_decoder_layer_width_0","params_decoder_layer_width_1","params_decoder_layer_width_2","params_decoder_layer_width_3","params_decoder_layer_width_4","params_encoder_layer_width_0","params_encoder_layer_width_1","params_encoder_layer_width_2","params_encoder_layer_width_3","params_encoder_layer_width_4","params_lr","params_n_decoder_layers","params_n_encoder_layers","user_attrs_avg_mae","user_attrs_avg_mape","user_attrs_avg_ndcg10","user_attrs_avg_ndcg20","user_attrs_avg_ndcg50","user_attrs_avg_r2","user_attrs_fold10_mae","user_attrs_fold10_mape","user_attrs_fold10_ndcg10","user_attrs_fold10_ndcg20","user_attrs_fold10_ndcg50","user_attrs_fold10_r2","user_attrs_fold11_mae","user_attrs_fold11_mape","user_attrs_fold11_ndcg10","user_attrs_fold11_ndcg20","user_attrs_fold11_ndcg50","user_attrs_fold11_r2","user_attrs_fold12_mae","user_attrs_fold12_mape","user_attrs_fold12_ndcg10","user_attrs_fold12_ndcg20","user_attrs_fold12_ndcg50","user_attrs_fold12_r2","user_attrs_fold13_mae","user_attrs_fold13_mape","user_attrs_fold13_ndcg10","user_attrs_fold13_ndcg20","user_attrs_fold13_ndcg50","user_attrs_fold13_r2","user_attrs_fold14_mae","user_attrs_fold14_mape","user_attrs_fold14_ndcg10","user_attrs_fold14_ndcg20","user_attrs_fold14_ndcg50","user_attrs_fold14_r2","user_attrs_fold15_mae","user_attrs_fold15_mape","user_attrs_fold15_ndcg10","user_attrs_fold15_ndcg20","user_attrs_fold15_ndcg50","user_attrs_fold15_r2","user_attrs_fold16_mae","user_attrs_fold16_mape","user_attrs_fold16_ndcg10","user_attrs_fold16_ndcg20","user_attrs_fold16_ndcg50","user_attrs_fold16_r2","user_attrs_fold17_mae","user_attrs_fold17_mape","user_attrs_fold17_ndcg10","user_attrs_fold17_ndcg20","user_attrs_fold17_ndcg50","user_attrs_fold17_r2","user_attrs_fold1_mae","user_attrs_fold1_mape","user_attrs_fold1_ndcg10","user_attrs_fold1_ndcg20","user_attrs_fold1_ndcg50","user_attrs_fold1_r2","user_attrs_fold2_mae","user_attrs_fold2_mape","user_attrs_fold2_ndcg10","user_attrs_fold2_ndcg20","user_attrs_fold2_ndcg50","user_attrs_fold2_r2","user_attrs_fold3_mae","user_attrs_fold3_mape","user_attrs_fold3_ndcg10","user_attrs_fold3_ndcg20","user_attrs_fold3_ndcg50","user_attrs_fold3_r2","user_attrs_fold4_mae","user_attrs_fold4_mape","user_attrs_fold4_ndcg10","user_attrs_fold4_ndcg20","user_attrs_fold4_ndcg50","user_attrs_fold4_r2","user_attrs_fold5_mae","user_attrs_fold5_mape","user_attrs_fold5_ndcg10","user_attrs_fold5_ndcg20","user_attrs_fold5_ndcg50","user_attrs_fold5_r2","user_attrs_fold6_mae","user_attrs_fold6_mape","user_attrs_fold6_ndcg10","user_attrs_fold6_ndcg20","user_attrs_fold6_ndcg50","user_attrs_fold6_r2","user_attrs_fold7_mae","user_attrs_fold7_mape","user_attrs_fold7_ndcg10","user_attrs_fold7_ndcg20","user_attrs_fold7_ndcg50","user_attrs_fold7_r2","user_attrs_fold8_mae","user_attrs_fold8_mape","user_attrs_fold8_ndcg10","user_attrs_fold8_ndcg20","user_attrs_fold8_ndcg50","user_attrs_fold8_r2","user_attrs_fold9_mae","user_attrs_fold9_mape","user_attrs_fold9_ndcg10","user_attrs_fold9_ndcg20","user_attrs_fold9_ndcg50","user_attrs_fold9_r2","user_attrs_pca_components","system_attrs_completed_rung_0","system_attrs_completed_rung_1","system_attrs_completed_rung_2","state"
10,0.12325123697519302,"2025-05-16 21:29:53.494209","2025-05-16 21:29:54.027380","0 days 00:00:00.533171",16,16.0,240.0,"","",16,256.0,"","","",0.00019779849440645854,3,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.17605166137218475,57.97893524169922,0.3725140392780304,0.4712922275066376,0.5480459928512573,-0.6943953037261963,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.12325123697519302,"","","PRUNED"
11,0.11330707371234894,"2025-05-16 21:29:54.027694","2025-05-16 21:29:55.348323","0 days 00:00:01.320629",176,176.0,144.0,240.0,"",192,"","","","",0.0006536807003194524,4,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.16751667857170105,61.89986038208008,0.6727588176727295,0.6495062112808228,0.7111663818359375,-0.41042208671569824,0.20420809090137482,1945.688232421875,0.6581273078918457,0.6885311603546143,0.8257685899734497,-0.07612907886505127,0.16798856854438782,80.07219696044922,0.7722846865653992,0.738196611404419,0.738732635974884,-0.48020851612091064,0.12739978730678558,74.12137603759766,0.84340500831604,0.7345760464668274,0.7914993762969971,0.31246089935302734,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.10805158317089081,0.11330707371234894,"","PRUNED"
12,0.11394874006509781,"2025-05-16 21:29:55.348590","2025-05-16 21:29:55.936576","0 days 00:00:00.587986",192,80.0,176.0,16.0,"",80,64.0,"","","",0.023748737012771498,4,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.15784817934036255,53.907562255859375,0.35205772519111633,0.39704641699790955,0.5603340864181519,-0.43257248401641846,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11394874006509781,"","","PRUNED"
13,0.11626826971769333,"2025-05-16 21:29:55.936870","2025-05-16 21:29:56.529705","0 days 00:00:00.592835",256,256.0,112.0,176.0,256.0,192,"","","","",0.0003471805322861585,5,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.16827492415905,60.02384948730469,0.6565605401992798,0.6255527138710022,0.7097802758216858,-0.49101364612579346,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11626826971769333,"","","PRUNED"
14,0.12059713900089264,"2025-05-16 21:29:56.529953","2025-05-16 21:29:57.102982","0 days 00:00:00.573029",144,64.0,128.0,16.0,"",176,16.0,"","","",0.08685958860547395,4,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.18294022977352142,60.811920166015625,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.7854956388473511,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.12059713900089264,"","","PRUNED"
15,0.15128480862168706,"2025-05-16 21:29:57.103319","2025-05-16 21:30:01.225054","0 days 00:00:04.121735",64,176.0,192.0,112.0,48.0,96,"","","","",0.0017404926275067017,5,1,0.15128480862168706,3267.506717906279,0.4718400542350376,0.43882855948279886,0.46632789294509325,-0.16346892539192648,0.11764533072710037,407.54571533203125,0.5582575798034668,0.5296403169631958,0.6120513081550598,0.07580810785293579,0.20262932777404785,5681.80908203125,0.9778169989585876,0.80374675989151,0.7513962984085083,-0.4370124340057373,0.20003849267959595,265.4584655761719,0.44340258836746216,0.3337530195713043,0.2557574510574341,-0.17696213722229004,0.1937006413936615,70.18400573730469,0.2333727329969406,0.1877097487449646,0.2347409427165985,-0.5377693176269531,0.1183377131819725,183.92324829101562,0.0765143558382988,0.08473846316337585,0.0989377424120903,-0.08589339256286621,0.12088633328676224,100.95057678222656,0.2504989206790924,0.2400023341178894,0.23923549056053162,-0.1646723747253418,0.2406761646270752,172.70449829101562,0.3070482313632965,0.2909404933452606,0.3330190181732178,-0.35893940925598145,0.11761138588190079,216.9524383544922,0.2629528045654297,0.2665705680847168,0.3303473889827728,-0.0317080020904541,0.1797853261232376,65.66108703613281,0.5047107338905334,0.5987321138381958,0.6381997466087341,-0.6045742034912109,0.2004726380109787,2005.2001953125,0.6729547381401062,0.6755027770996094,0.8338999152183533,-0.08430075645446777,0.16085968911647797,73.92524719238281,0.7386692762374878,0.6793506145477295,0.7111360430717468,-0.4811544418334961,0.1412801295518875,81.46651458740234,0.7508809566497803,0.6808777451515198,0.7009397149085999,0.1535770297050476,0.10208990424871445,43906.03515625,0.3873019814491272,0.3932757079601288,0.40483301877975464,-0.07280623912811279,0.10841869562864304,284.4490966796875,0.31616976857185364,0.2618241310119629,0.30923569202423096,-0.35846471786499023,0.14718931913375854,407.97540283203125,0.508232593536377,0.49425381422042847,0.5184127688407898,0.07055091857910156,0.08754318952560425,1144.0462646484375,0.35248318314552307,0.33381134271621704,0.2601536512374878,0.09919452667236328,0.13267746567726135,479.32720947265625,0.6800134778022766,0.6053555607795715,0.695277988910675,0.21615511178970337,10.0,0.10913914442062378,0.10427258908748627,0.10455908626317978,"COMPLETE"
16,0.11812902241945267,"2025-05-16 21:30:01.225491","2025-05-16 21:30:01.864225","0 days 00:00:00.638734",112,176.0,96.0,192.0,"",224,256.0,"","","",0.0005523686857940453,4,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.16757984459400177,59.718441009521484,0.348442405462265,0.45219942927360535,0.6244460940361023,-0.47974419593811035,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11812902241945267,"","","PRUNED"
17,0.11390896141529083,"2025-05-16 21:30:01.864499","2025-05-16 21:30:02.299411","0 days 00:00:00.434912",208,80.0,16.0,"","",176,"","","","",0.010008840243681287,3,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.15528495609760284,64.99357604980469,0.6575280427932739,0.5857086777687073,0.6876081824302673,-0.12043356895446777,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11390896141529083,"","","PRUNED"
18,0.1110881045460701,"2025-05-16 21:30:02.299660","2025-05-16 21:30:04.034272","0 days 00:00:01.734612",128,160.0,"","","",240,160.0,208.0,"","",0.002426532735224722,2,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.17436470091342926,62.08377456665039,0.7492664456367493,0.7588423490524292,0.7498482465744019,-0.543590784072876,0.2158297747373581,2006.1578369140625,0.3470418453216553,0.5509082674980164,0.7306272387504578,-0.27556657791137695,0.12764938175678253,71.6441421508789,0.6921477913856506,0.678601861000061,0.7158352732658386,0.10139137506484985,0.1480274498462677,51.99972915649414,0.8132140636444092,0.7408430576324463,0.7527419924736023,-0.24848055839538574,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.10799933224916458,0.1110881045460701,"","PRUNED"
19,0.11795203387737274,"2025-05-16 21:30:04.034545","2025-05-16 21:30:04.862368","0 days 00:00:00.827823",240,256.0,208.0,64.0,256.0,96,80.0,160.0,"","",0.00011099035121859662,5,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1548933982849121,51.34465789794922,0.4625977575778961,0.5631237030029297,0.6186023950576782,-0.40603816509246826,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11795203387737274,"","","PRUNED"
