"number","value","datetime_start","datetime_complete","duration","params_decoder_layer_width_0","params_decoder_layer_width_1","params_decoder_layer_width_2","params_decoder_layer_width_3","params_decoder_layer_width_4","params_lr","params_n_decoder_layers","user_attrs_avg_mae","user_attrs_avg_mape","user_attrs_avg_ndcg10","user_attrs_avg_ndcg20","user_attrs_avg_ndcg50","user_attrs_avg_r2","user_attrs_fold10_mae","user_attrs_fold10_mape","user_attrs_fold10_ndcg10","user_attrs_fold10_ndcg20","user_attrs_fold10_ndcg50","user_attrs_fold10_r2","user_attrs_fold11_mae","user_attrs_fold11_mape","user_attrs_fold11_ndcg10","user_attrs_fold11_ndcg20","user_attrs_fold11_ndcg50","user_attrs_fold11_r2","user_attrs_fold12_mae","user_attrs_fold12_mape","user_attrs_fold12_ndcg10","user_attrs_fold12_ndcg20","user_attrs_fold12_ndcg50","user_attrs_fold12_r2","user_attrs_fold13_mae","user_attrs_fold13_mape","user_attrs_fold13_ndcg10","user_attrs_fold13_ndcg20","user_attrs_fold13_ndcg50","user_attrs_fold13_r2","user_attrs_fold14_mae","user_attrs_fold14_mape","user_attrs_fold14_ndcg10","user_attrs_fold14_ndcg20","user_attrs_fold14_ndcg50","user_attrs_fold14_r2","user_attrs_fold15_mae","user_attrs_fold15_mape","user_attrs_fold15_ndcg10","user_attrs_fold15_ndcg20","user_attrs_fold15_ndcg50","user_attrs_fold15_r2","user_attrs_fold16_mae","user_attrs_fold16_mape","user_attrs_fold16_ndcg10","user_attrs_fold16_ndcg20","user_attrs_fold16_ndcg50","user_attrs_fold16_r2","user_attrs_fold17_mae","user_attrs_fold17_mape","user_attrs_fold17_ndcg10","user_attrs_fold17_ndcg20","user_attrs_fold17_ndcg50","user_attrs_fold17_r2","user_attrs_fold1_mae","user_attrs_fold1_mape","user_attrs_fold1_ndcg10","user_attrs_fold1_ndcg20","user_attrs_fold1_ndcg50","user_attrs_fold1_r2","user_attrs_fold2_mae","user_attrs_fold2_mape","user_attrs_fold2_ndcg10","user_attrs_fold2_ndcg20","user_attrs_fold2_ndcg50","user_attrs_fold2_r2","user_attrs_fold3_mae","user_attrs_fold3_mape","user_attrs_fold3_ndcg10","user_attrs_fold3_ndcg20","user_attrs_fold3_ndcg50","user_attrs_fold3_r2","user_attrs_fold4_mae","user_attrs_fold4_mape","user_attrs_fold4_ndcg10","user_attrs_fold4_ndcg20","user_attrs_fold4_ndcg50","user_attrs_fold4_r2","user_attrs_fold5_mae","user_attrs_fold5_mape","user_attrs_fold5_ndcg10","user_attrs_fold5_ndcg20","user_attrs_fold5_ndcg50","user_attrs_fold5_r2","user_attrs_fold6_mae","user_attrs_fold6_mape","user_attrs_fold6_ndcg10","user_attrs_fold6_ndcg20","user_attrs_fold6_ndcg50","user_attrs_fold6_r2","user_attrs_fold7_mae","user_attrs_fold7_mape","user_attrs_fold7_ndcg10","user_attrs_fold7_ndcg20","user_attrs_fold7_ndcg50","user_attrs_fold7_r2","user_attrs_fold8_mae","user_attrs_fold8_mape","user_attrs_fold8_ndcg10","user_attrs_fold8_ndcg20","user_attrs_fold8_ndcg50","user_attrs_fold8_r2","user_attrs_fold9_mae","user_attrs_fold9_mape","user_attrs_fold9_ndcg10","user_attrs_fold9_ndcg20","user_attrs_fold9_ndcg50","user_attrs_fold9_r2","user_attrs_pca_components","system_attrs_completed_rung_0","system_attrs_completed_rung_1","system_attrs_completed_rung_2","state"
0,0.15051930748364506,"2025-05-16 21:45:56.590288","2025-05-16 21:45:58.690612","0 days 00:00:02.100324",256,16.0,"","","",0.015631589661315178,2,0.15051930748364506,3288.5947236453785,0.2807606915559839,0.28290806020445686,0.34781942078295874,-0.2436089936424704,0.12791568040847778,352.3104248046875,0.6465519666671753,0.34475597739219666,0.44085463881492615,-0.03507101535797119,0.12423412501811981,1179.744384765625,0.024402735754847527,0.028759272769093513,0.04012559354305267,-0.08296656608581543,0.2036328762769699,289.5328369140625,0.17827969789505005,0.1280401051044464,0.11392121762037277,-0.15584158897399902,0.22198930382728577,66.34915924072266,0.38391774892807007,0.4002876281738281,0.3655586540699005,-0.8142666816711426,0.11329441517591476,149.0225830078125,0.2420271635055542,0.3044491410255432,0.33326292037963867,-0.1030280590057373,0.1195002943277359,81.0451889038086,0.31479719281196594,0.37235209345817566,0.4375638961791992,-0.1958634853363037,0.23713418841362,177.01083374023438,0.7863823771476746,0.4967360496520996,0.44272539019584656,-0.3179973363876343,0.10355735570192337,148.53221130371094,0.17476877570152283,0.19618023931980133,0.29999175667762756,-0.03470754623413086,0.16019496321678162,59.22117233276367,0.595064103603363,0.6171297430992126,0.6610939502716064,-0.3198995590209961,0.2221444845199585,1912.43701171875,0.2480204999446869,0.4406251311302185,0.6256209015846252,-0.35401737689971924,0.16780143976211548,82.14962005615234,0.24784493446350098,0.32965853810310364,0.43752336502075195,-0.7672433853149414,0.1517087072134018,53.11266326904297,0.15342895686626434,0.4221362769603729,0.521412193775177,-0.4032607078552246,0.10217239707708359,48701.31640625,0.02055354043841362,0.03525783121585846,0.1918414831161499,-0.1193007230758667,0.10036063194274902,646.1727905273438,0.24190355837345123,0.29438889026641846,0.28598931431770325,-0.0005925893783569336,0.14830636978149414,333.0345153808594,0.32342448830604553,0.23455175757408142,0.37852540612220764,-0.08914697170257568,0.11219500005245209,1381.0374755859375,0.050050683319568634,0.03981640934944153,0.06767512857913971,-0.15155744552612305,0.14268599450588226,294.0810241699219,0.14151333272457123,0.12431193888187408,0.26924434304237366,-0.19659185409545898,10.0,"","","","COMPLETE"
1,0.14580689414459116,"2025-05-16 21:45:58.691015","2025-05-16 21:46:00.882984","0 days 00:00:02.191969",240,128.0,16.0,144.0,"",0.0001683814811980705,4,0.14580689414459116,2091.838208142449,0.3620324240011327,0.38745025501531716,0.4312499428496641,-0.22870792010251215,0.1225949227809906,335.60382080078125,0.22803831100463867,0.376069575548172,0.37497565150260925,-0.06952917575836182,0.12107396870851517,1396.6575927734375,0.5574854612350464,0.6625643372535706,0.7812546491622925,0.14789700508117676,0.19698387384414673,230.43313598632812,0.4179820716381073,0.3593995273113251,0.22485265135765076,-0.1998504400253296,0.20109832286834717,61.94075393676758,0.2992626130580902,0.30073294043540955,0.32541748881340027,-0.6175315380096436,0.11422305554151535,148.26602172851562,0.44836294651031494,0.3572359085083008,0.3528381884098053,-0.11853742599487305,0.12448617070913315,80.94132232666016,0.18825951218605042,0.1630314439535141,0.19852671027183533,-0.2743854522705078,0.24072898924350739,170.5148468017578,0.4610474109649658,0.3369576036930084,0.2907883822917938,-0.368605375289917,0.10265034437179565,106.43657684326172,0.17667289078235626,0.23142200708389282,0.26722264289855957,-0.16327285766601562,0.18273262679576874,65.22140502929688,0.528224527835846,0.575789213180542,0.6423026919364929,-0.6693975925445557,0.2135818898677826,1526.4976806640625,0.3852204978466034,0.4070766270160675,0.6598493456840515,-0.31243765354156494,0.14641928672790527,57.49249267578125,0.2347979098558426,0.45723018050193787,0.5743851065635681,-0.4986460208892822,0.16266386210918427,64.27364349365234,0.752550482749939,0.7243232131004333,0.8002016544342041,-0.35741472244262695,0.0889744907617569,29540.3984375,0.5409696698188782,0.49956679344177246,0.41643181443214417,-0.0329357385635376,0.09735610336065292,358.00408935546875,0.2792268991470337,0.33006715774536133,0.3811168968677521,-0.13911521434783936,0.1422271579504013,196.1129608154297,0.4881788194179535,0.47131070494651794,0.5977891087532043,-0.12495684623718262,0.08629695326089859,1028.022705078125,0.05834897607564926,0.13449586927890778,0.13147085905075073,0.1254480481147766,0.13462518155574799,194.4320526123047,0.10992220789194107,0.19938123226165771,0.3118251860141754,-0.21476364135742188,10.0,0.12532617151737213,0.11715584248304367,0.127538800239563,"COMPLETE"
2,0.14521393574335995,"2025-05-16 21:46:00.883402","2025-05-16 21:46:02.935184","0 days 00:00:02.051782",32,224.0,240.0,"","",0.004030907747638263,3,0.14521393574335995,2228.2222483017867,0.33474406643825416,0.3419133814818719,0.4131641848122372,-0.14767255853204167,0.12716573476791382,409.2254638671875,0.6329034566879272,0.5527390837669373,0.5569908022880554,0.02652686834335327,0.10254155099391937,805.6416625976562,0.3262767791748047,0.5678748488426208,0.6865828037261963,0.2996969223022461,0.19807879626750946,268.2073669433594,0.5348159074783325,0.3820505738258362,0.2537868916988373,-0.1398106813430786,0.19152626395225525,69.889404296875,0.13413479924201965,0.17866948246955872,0.25889256596565247,-0.5043359994888306,0.12360970675945282,223.09828186035156,0.3228875696659088,0.3058464825153351,0.32868295907974243,-0.05058622360229492,0.11895895004272461,82.65753173828125,0.19530922174453735,0.19706539809703827,0.36050328612327576,-0.16860508918762207,0.24088849127292633,196.6820526123047,0.24126911163330078,0.20831862092018127,0.20887286961078644,-0.33200907707214355,0.10421064496040344,162.95672607421875,0.31141775846481323,0.3038182258605957,0.3032318353652954,-0.018627643585205078,0.16245037317276,65.27556610107422,0.4809790551662445,0.5899589657783508,0.5529143810272217,-0.25204551219940186,0.21561497449874878,2208.657958984375,0.4879439175128937,0.4759314954280853,0.7575393915176392,-0.24731957912445068,0.1542498618364334,73.28482818603516,0.48509466648101807,0.49783527851104736,0.5503743290901184,-0.4692704677581787,0.14920774102210999,65.2713394165039,0.6676508784294128,0.6510173678398132,0.6991527080535889,-0.0824195146560669,0.09775745123624802,31223.48046875,0.06372888386249542,0.06815242022275925,0.22396691143512726,-0.10288214683532715,0.10868637263774872,502.27862548828125,0.20976321399211884,0.2104955017566681,0.283304899930954,-0.34247612953186035,0.14586909115314484,141.1499481201172,0.24839384853839874,0.30445319414138794,0.47296956181526184,-0.1256411075592041,0.09126344323158264,1073.4854736328125,0.07046785205602646,0.054783910512924194,0.06985429674386978,0.0760347843170166,0.1365574598312378,308.5355224609375,0.27761220932006836,0.2635166347026825,0.4561706483364105,-0.07666289806365967,10.0,0.11151908338069916,0.10933204740285873,0.10752710700035095,"COMPLETE"
3,0.11395079642534256,"2025-05-16 21:46:02.935599","2025-05-16 21:46:03.325868","0 days 00:00:00.390269",16,"","","","",0.03136449310271147,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1730428785085678,62.812774658203125,0.408468633890152,0.4444454610347748,0.5268623232841492,-0.5215314626693726,0.22114166617393494,2088.23291015625,0.5839061141014099,0.6005679368972778,0.8030829429626465,-0.22086107730865479,0.14527449011802673,74.1371078491211,0.3800310790538788,0.402014821767807,0.5086978673934937,-0.4267674684524536,0.15318478643894196,77.47947692871094,0.6118802428245544,0.622390627861023,0.6462345123291016,-0.05043971538543701,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11145907640457153,0.11395079642534256,"","PRUNED"
4,0.11208859086036682,"2025-05-16 21:46:03.326107","2025-05-16 21:46:04.065345","0 days 00:00:00.739238",256,48.0,176.0,144.0,112.0,0.0037742075034337317,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1565799117088318,63.64894104003906,0.6027588844299316,0.6656497120857239,0.6868599653244019,-0.18398702144622803,0.22595331072807312,2335.8154296875,0.3664398193359375,0.38037702441215515,0.6709157228469849,-0.32899272441864014,0.1517234742641449,75.90209197998047,0.20598582923412323,0.29198265075683594,0.5236886739730835,-0.4802738428115845,0.15207234025001526,66.9233627319336,0.6913025975227356,0.657520055770874,0.6776322722434998,-0.12015402317047119,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.10566096007823944,0.11208859086036682,"","PRUNED"
5,0.10786470770835876,"2025-05-16 21:46:04.065611","2025-05-16 21:46:04.301344","0 days 00:00:00.235733",192,224.0,"","","",0.003795464914462554,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1661222130060196,58.969669342041016,0.6205153465270996,0.5992676019668579,0.609889566898346,-0.4400852918624878,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.10786470770835876,"","","PRUNED"
6,0.11129338294267654,"2025-05-16 21:46:04.301569","2025-05-16 21:46:04.544894","0 days 00:00:00.243325",208,208.0,"","","",0.012056084440699492,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1523769050836563,56.24413299560547,0.6368768215179443,0.636493444442749,0.709143340587616,-0.23879718780517578,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11129338294267654,"","","PRUNED"
7,0.11904620379209518,"2025-05-16 21:46:04.545122","2025-05-16 21:46:04.789894","0 days 00:00:00.244772",64,32.0,192.0,80.0,"",0.00010692067264960557,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.19281315803527832,69.0579833984375,0.5177397131919861,0.460140585899353,0.6066198348999023,-0.8228353261947632,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11904620379209518,"","","PRUNED"
8,0.11729627102613449,"2025-05-16 21:46:04.790137","2025-05-16 21:46:04.987608","0 days 00:00:00.197471",128,64.0,"","","",0.00014080598221254185,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.17290610074996948,63.37501907348633,0.6550495624542236,0.6560390591621399,0.6949387192726135,-0.503665566444397,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11729627102613449,"","","PRUNED"
9,0.10849034041166306,"2025-05-16 21:46:04.987839","2025-05-16 21:46:05.268497","0 days 00:00:00.280658",208,192.0,256.0,"","",0.0004464147296733276,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.15446890890598297,55.756324768066406,0.6682903170585632,0.6493874788284302,0.6445711851119995,-0.266676664352417,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.10849034041166306,"","","PRUNED"
