"number","value","datetime_start","datetime_complete","duration","params_decoder_layer_width_0","params_decoder_layer_width_1","params_decoder_layer_width_2","params_decoder_layer_width_3","params_decoder_layer_width_4","params_encoder_layer_width_0","params_encoder_layer_width_1","params_encoder_layer_width_2","params_encoder_layer_width_3","params_encoder_layer_width_4","params_gatv2_dropout","params_gatv2_heads","params_lr","params_n_decoder_layers","params_n_encoder_layers","user_attrs_avg_mae","user_attrs_avg_mape","user_attrs_avg_ndcg10","user_attrs_avg_ndcg20","user_attrs_avg_ndcg50","user_attrs_avg_r2","user_attrs_fold10_mae","user_attrs_fold10_mape","user_attrs_fold10_ndcg10","user_attrs_fold10_ndcg20","user_attrs_fold10_ndcg50","user_attrs_fold10_r2","user_attrs_fold11_mae","user_attrs_fold11_mape","user_attrs_fold11_ndcg10","user_attrs_fold11_ndcg20","user_attrs_fold11_ndcg50","user_attrs_fold11_r2","user_attrs_fold12_mae","user_attrs_fold12_mape","user_attrs_fold12_ndcg10","user_attrs_fold12_ndcg20","user_attrs_fold12_ndcg50","user_attrs_fold12_r2","user_attrs_fold13_mae","user_attrs_fold13_mape","user_attrs_fold13_ndcg10","user_attrs_fold13_ndcg20","user_attrs_fold13_ndcg50","user_attrs_fold13_r2","user_attrs_fold14_mae","user_attrs_fold14_mape","user_attrs_fold14_ndcg10","user_attrs_fold14_ndcg20","user_attrs_fold14_ndcg50","user_attrs_fold14_r2","user_attrs_fold15_mae","user_attrs_fold15_mape","user_attrs_fold15_ndcg10","user_attrs_fold15_ndcg20","user_attrs_fold15_ndcg50","user_attrs_fold15_r2","user_attrs_fold16_mae","user_attrs_fold16_mape","user_attrs_fold16_ndcg10","user_attrs_fold16_ndcg20","user_attrs_fold16_ndcg50","user_attrs_fold16_r2","user_attrs_fold17_mae","user_attrs_fold17_mape","user_attrs_fold17_ndcg10","user_attrs_fold17_ndcg20","user_attrs_fold17_ndcg50","user_attrs_fold17_r2","user_attrs_fold1_mae","user_attrs_fold1_mape","user_attrs_fold1_ndcg10","user_attrs_fold1_ndcg20","user_attrs_fold1_ndcg50","user_attrs_fold1_r2","user_attrs_fold2_mae","user_attrs_fold2_mape","user_attrs_fold2_ndcg10","user_attrs_fold2_ndcg20","user_attrs_fold2_ndcg50","user_attrs_fold2_r2","user_attrs_fold3_mae","user_attrs_fold3_mape","user_attrs_fold3_ndcg10","user_attrs_fold3_ndcg20","user_attrs_fold3_ndcg50","user_attrs_fold3_r2","user_attrs_fold4_mae","user_attrs_fold4_mape","user_attrs_fold4_ndcg10","user_attrs_fold4_ndcg20","user_attrs_fold4_ndcg50","user_attrs_fold4_r2","user_attrs_fold5_mae","user_attrs_fold5_mape","user_attrs_fold5_ndcg10","user_attrs_fold5_ndcg20","user_attrs_fold5_ndcg50","user_attrs_fold5_r2","user_attrs_fold6_mae","user_attrs_fold6_mape","user_attrs_fold6_ndcg10","user_attrs_fold6_ndcg20","user_attrs_fold6_ndcg50","user_attrs_fold6_r2","user_attrs_fold7_mae","user_attrs_fold7_mape","user_attrs_fold7_ndcg10","user_attrs_fold7_ndcg20","user_attrs_fold7_ndcg50","user_attrs_fold7_r2","user_attrs_fold8_mae","user_attrs_fold8_mape","user_attrs_fold8_ndcg10","user_attrs_fold8_ndcg20","user_attrs_fold8_ndcg50","user_attrs_fold8_r2","user_attrs_fold9_mae","user_attrs_fold9_mape","user_attrs_fold9_ndcg10","user_attrs_fold9_ndcg20","user_attrs_fold9_ndcg50","user_attrs_fold9_r2","user_attrs_pca_components","system_attrs_completed_rung_0","system_attrs_completed_rung_1","system_attrs_completed_rung_2","state"
0,141.840665102005,"2025-05-16 21:08:28.327789","2025-05-16 21:09:48.786363","0 days 00:01:20.458574",192,80.0,144.0,"","",176,224.0,256.0,144.0,"",0.0,12,0.04926969183285308,3,4,141.840665102005,550063.9126470229,0.3141380559433909,0.34452998046489325,0.3725384163177189,-6481571.547942702,109.39422607421875,282189.90625,0.202093705534935,0.23414665460586548,0.33038583397865295,-18503681.0,0.12333188951015472,1117.936767578125,0.024402735754847527,0.028759272769093513,0.04012559354305267,-0.0904463529586792,0.2010543793439865,121.84785461425781,0.37938931584358215,0.4339168965816498,0.3819175958633423,-0.3930131196975708,0.2111208587884903,62.49236297607422,0.38391774892807007,0.4002876281738281,0.3655586540699005,-0.7182035446166992,0.11326972395181656,147.63818359375,0.18742690980434418,0.28259921073913574,0.2967640161514282,-0.10728943347930908,211.32754516601562,248418.28125,0.6299816966056824,0.6618778705596924,0.6288433074951172,-1351724.625,111.7756118774414,211589.375,1.0,0.9984151721000671,0.8071911334991455,-127459.0390625,0.5037462115287781,659.5902099609375,0.16633036732673645,0.3710179030895233,0.43047839403152466,-9.984596252441406,0.18652473390102386,63.14131546020508,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.8165789842605591,0.2143552154302597,2462.6630859375,0.5616838932037354,0.40270331501960754,0.723856508731842,-0.1272348165512085,0.15173277258872986,56.34840774536133,0.15729229152202606,0.44170698523521423,0.5248095989227295,-0.6165950298309326,12.646483421325684,8203.962890625,0.6449068784713745,0.5346023440361023,0.5778706073760986,-18736.76171875,0.6810597777366638,304881.3125,0.16561420261859894,0.14103548228740692,0.14870013296604156,-17.943309783935547,0.10383574664592743,582.1707763671875,0.10077051818370819,0.16893522441387177,0.19974727928638458,-0.13905882835388184,0.5337148308753967,1898.3997802734375,0.2870215177536011,0.26478341221809387,0.28005680441856384,-4.916708469390869,0.1101442500948906,1671.4483642578125,0.01697789691388607,0.00923118181526661,0.01368717197328806,-0.036210060119628906,1963.0135498046875,8286960.0,0.124601349234581,0.14375437796115875,0.19815196096897125,-90185079.0,5.0,"","","","COMPLETE"
1,0.1539099939605769,"2025-05-16 21:09:48.786834","2025-05-16 21:10:39.017939","0 days 00:00:50.231105",128,160.0,208.0,16.0,"",144,240.0,"","","",0.5,16,0.0877182992852083,4,2,0.1539099939605769,2726.8413523505715,0.2438618297524312,0.2883636979934047,0.3469001909937052,-0.3445127080468571,0.12512265145778656,356.7932434082031,0.17855799198150635,0.1929423213005066,0.3449734151363373,-0.0987396240234375,0.1337715983390808,1696.8681640625,0.024402735754847527,0.028759272769093513,0.04012559354305267,-0.03327453136444092,0.20254141092300415,113.73678588867188,0.37938931584358215,0.4339168965816498,0.3819175958633423,-0.4157378673553467,0.23096424341201782,70.53897094726562,0.38391774892807007,0.4002876281738281,0.3655586540699005,-0.8919236660003662,0.12263335287570953,85.58428192138672,0.18742690980434418,0.28259921073913574,0.2967640161514282,-0.3697739839553833,0.13174670934677124,63.72574996948242,0.42674726247787476,0.3965179920196533,0.4997186064720154,-0.430344820022583,0.24973838031291962,99.73109436035156,0.4681253135204315,0.6776140928268433,0.5763584971427917,-0.5550682544708252,0.11617899686098099,72.18663787841797,0.16633036732673645,0.3710179030895233,0.43047839403152466,-0.4529743194580078,0.18481214344501495,62.02838897705078,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.8016529083251953,0.21822990477085114,3122.228515625,0.5616838932037354,0.40270331501960754,0.723856508731842,-0.0501096248626709,0.1579928696155548,59.21405029296875,0.15729229152202606,0.44170698523521423,0.5248095989227295,-0.6888455152511597,0.1658000946044922,55.517356872558594,0.14052796363830566,0.1728532761335373,0.4216603934764862,-0.5655208826065063,0.09282153844833374,37907.24609375,0.16561420261859894,0.14103548228740692,0.14870013296604156,-0.02243494987487793,0.10366316884756088,473.0452880859375,0.10077051818370819,0.16893522441387177,0.19974727928638458,-0.2052922248840332,0.1526934802532196,362.77642822265625,0.2870215177536011,0.26478341221809387,0.28005680441856384,-0.12546813488006592,0.1014614924788475,1447.6285400390625,0.01697789691388607,0.00923118181526661,0.01368717197328806,-0.01170361042022705,0.12629786133766174,307.4533996582031,0.1929292529821396,0.17804193496704102,0.2638821005821228,-0.13785111904144287,5.0,0.14730304479599,0.13157697021961212,0.13059768080711365,"COMPLETE"
2,0.15201742508832147,"2025-05-16 21:10:39.018402","2025-05-16 21:11:02.174667","0 days 00:00:23.156265",256,"","","","",208,32.0,"","","",0.30000000000000004,16,0.0017876843527039458,1,2,0.15201742508832147,1935.2269336476045,0.33515072898829684,0.34177420244497414,0.3643858917057514,-0.3542214772280525,0.12194863706827164,249.96197509765625,0.30842897295951843,0.27568790316581726,0.2856774926185608,-0.16583001613616943,0.11255112290382385,308.5945129394531,0.9513977766036987,0.8824933171272278,0.8583097457885742,-0.037922024726867676,0.19823870062828064,199.74520874023438,0.2497607171535492,0.29846474528312683,0.2508404850959778,-0.28312385082244873,0.26328396797180176,92.79326629638672,0.31026509404182434,0.3596750497817993,0.2856588363647461,-1.170177698135376,0.12586063146591187,83.61896514892578,0.1307877153158188,0.1268639713525772,0.1469772309064865,-0.4279388189315796,0.13215573132038116,64.80081939697266,0.25626441836357117,0.24485309422016144,0.246071919798851,-0.44902873039245605,0.24613800644874573,143.26649475097656,0.07994269579648972,0.1120685338973999,0.11610304564237595,-0.4801872968673706,0.10474298894405365,100.2132568359375,0.21278968453407288,0.2314591109752655,0.2141263484954834,-0.23348450660705566,0.17923858761787415,67.65045166015625,0.8004007339477539,0.7113990783691406,0.6673592329025269,-0.5193178653717041,0.2085672914981842,1122.9337158203125,0.263277143239975,0.47074198722839355,0.6375856399536133,-0.3331829309463501,0.1588221788406372,59.70378112792969,0.1479513943195343,0.1693142056465149,0.26293134689331055,-0.7006700038909912,0.14413492381572723,52.78687286376953,0.7641015648841858,0.7187337279319763,0.7906864881515503,-0.23469328880310059,0.08888546377420425,28131.24609375,0.2596481740474701,0.27081459760665894,0.24079033732414246,-0.08334362506866455,0.10423673689365387,369.7519226074219,0.2580687403678894,0.2121640145778656,0.22163453698158264,-0.2902348041534424,0.1461952030658722,128.8282470703125,0.5297026038169861,0.463058739900589,0.43353503942489624,-0.25299620628356934,0.10858698189258575,1630.5233154296875,0.018016058951616287,0.034188032150268555,0.043178703635931015,-0.034198641777038574,0.1407090723514557,92.43897247314453,0.15675890445709229,0.22818133234977722,0.49309372901916504,-0.3254348039627075,5.0,0.12092320621013641,0.12720339000225067,0.11944026499986649,"COMPLETE"
3,0.1484325234504307,"2025-05-16 21:11:02.175081","2025-05-16 21:11:06.477844","0 days 00:00:04.302763",64,240.0,"","","",80,"","","","",0.2,3,0.00023593992164015157,2,1,0.1484325234504307,813.7298705157111,0.40210109532755967,0.40234104105654883,0.4719742996727719,-0.2943054788252887,0.12272624671459198,248.88243103027344,0.2587694823741913,0.33717280626296997,0.4970252811908722,-0.10783016681671143,0.10809808224439621,241.8893280029297,0.50813889503479,0.5265077352523804,0.7433903217315674,-0.022322893142700195,0.19970349967479706,245.44789123535156,0.14959748089313507,0.12934638559818268,0.12671761214733124,-0.22185051441192627,0.19561757147312164,62.68560791015625,0.2067069262266159,0.20249272882938385,0.19693365693092346,-0.5881798267364502,0.11455215513706207,160.41470336914062,0.42185449600219727,0.350350022315979,0.4106958508491516,-0.09632790088653564,0.12509499490261078,74.30703735351562,0.4109051823616028,0.3692002296447754,0.3307338058948517,-0.32932472229003906,0.24448131024837494,192.3475341796875,0.05922338739037514,0.07269272953271866,0.09509875625371933,-0.3864870071411133,0.1026267558336258,120.85208892822266,0.14612524211406708,0.17039331793785095,0.27338874340057373,-0.13817048072814941,0.191658616065979,71.7896499633789,0.5611666440963745,0.5599424839019775,0.6713836193084717,-0.7296873331069946,0.21201170980930328,1240.6060791015625,0.5157644748687744,0.6546849012374878,0.7713793516159058,-0.326693058013916,0.1780867725610733,80.26435089111328,0.8530136346817017,0.8018210530281067,0.7744908928871155,-0.7523947954177856,0.16012181341648102,63.40301513671875,0.753200113773346,0.7007721066474915,0.7080803513526917,-0.3170664310455322,0.0864710658788681,9399.9521484375,0.6659271121025085,0.6535458564758301,0.5830013155937195,-0.17121541500091553,0.10661729425191879,146.32725524902344,0.25329187512397766,0.3067079186439514,0.404060959815979,-0.41428112983703613,0.14340130984783173,123.37175750732422,0.44304075837135315,0.46719852089881897,0.6534311175346375,-0.18271899223327637,0.09304877370595932,1246.06201171875,0.3078033924102783,0.2168927639722824,0.20543476939201355,0.04491102695465088,0.1390349268913269,114.8049087524414,0.3211895227432251,0.3200761377811432,0.5783166885375977,-0.2635535001754761,5.0,0.11824049055576324,0.11819011718034744,0.11707524210214615,"COMPLETE"
4,0.11878244578838348,"2025-05-16 21:11:06.478254","2025-05-16 21:11:07.828596","0 days 00:00:01.350342",144,128.0,64.0,128.0,"",48,240.0,"","","",0.2,4,0.015119884587069048,4,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.16129326820373535,58.32246398925781,0.7894634008407593,0.7060701847076416,0.6838243007659912,-0.3274054527282715,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11878244578838348,"","","PRUNED"
5,0.12878981232643127,"2025-05-16 21:11:07.828877","2025-05-16 21:11:12.977145","0 days 00:00:05.148268",32,"","","","",240,64.0,128.0,"","",0.4,15,0.02219412149045728,1,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1900513619184494,65.43310546875,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.8477487564086914,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.12878981232643127,"","","PRUNED"
6,0.13806793093681335,"2025-05-16 21:11:12.977416","2025-05-16 21:11:16.516286","0 days 00:00:03.538870",128,112.0,176.0,"","",16,144.0,208.0,"","",0.30000000000000004,10,0.02771375448582209,3,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.2033931016921997,75.00628662109375,0.639073371887207,0.6292852163314819,0.6246852278709412,-1.0509545803070068,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13806793093681335,"","","PRUNED"
7,0.11888991296291351,"2025-05-16 21:11:16.516579","2025-05-16 21:11:20.501268","0 days 00:00:03.984689",176,"","","","",256,80.0,64.0,112.0,176.0,0.0,7,0.00024525106547042795,1,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.16632519662380219,52.974510192871094,0.31470224261283875,0.373404324054718,0.44192543625831604,-0.6375970840454102,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11888991296291351,"","","PRUNED"
8,0.1302567720413208,"2025-05-16 21:11:20.501573","2025-05-16 21:12:15.968544","0 days 00:00:55.466971",16,32.0,64.0,208.0,160.0,64,192.0,112.0,96.0,176.0,0.0,12,0.007504814650500873,5,5,"","","","","","",0.12544924020767212,444.67645263671875,0.40011847019195557,0.36188316345214844,0.4214134216308594,-0.020506978034973145,0.1282259076833725,1660.7034912109375,0.8512656092643738,0.6988213658332825,0.6530472040176392,0.06944996118545532,0.2055506855249405,355.7790222167969,0.45425477623939514,0.39596492052078247,0.33177193999290466,-0.06604111194610596,0.18063804507255554,62.03481674194336,0.8626689314842224,0.7248754501342773,0.5870189666748047,-0.3768119812011719,0.12235553562641144,238.77444458007812,0.563127338886261,0.4631217420101166,0.40753600001335144,0.010336339473724365,0.1536848098039627,67.94483947753906,0.6288018822669983,0.609184980392456,0.5942442417144775,-0.6900539398193359,0.23796722292900085,179.2965545654297,0.3340844511985779,0.30043232440948486,0.2390989363193512,-0.3263247013092041,"","","","","","",0.1606457382440567,50.783817291259766,0.5929765701293945,0.49777352809906006,0.565818727016449,-0.5597548484802246,0.20955078303813934,1498.8365478515625,0.5128229856491089,0.6077329516410828,0.8004342913627625,-0.2907369136810303,0.14223821461200714,55.58198547363281,0.4041954278945923,0.41938722133636475,0.4343079924583435,-0.5292820930480957,0.15381529927253723,118.04835510253906,0.6694723963737488,0.7014679312705994,0.6859112977981567,0.11478441953659058,0.09695607423782349,44130.3671875,0.514360785484314,0.512051522731781,0.452050119638443,0.029736816883087158,0.10394610464572906,605.1377563476562,0.10077051818370819,0.16893522441387177,0.183878093957901,-0.1269911527633667,0.15099993348121643,175.4482879638672,0.6426296234130859,0.6404977440834045,0.5455125570297241,-0.2829958200454712,0.1247241348028183,2028.542724609375,0.024164250120520592,0.2553160786628723,0.2849518954753876,-0.10759544372558594,0.12469102442264557,222.3717498779297,0.5209570527076721,0.4707498252391815,0.5220223069190979,-0.02449345588684082,"",0.11596943438053131,0.11665911227464676,0.1302567720413208,"PRUNED"
9,0.1288071572780609,"2025-05-16 21:12:15.968911","2025-05-16 21:12:17.015143","0 days 00:00:01.046232",32,"","","","",160,"","","","",0.0,7,0.040620158555649745,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.18145830929279327,76.0941162109375,0.679472804069519,0.6784215569496155,0.748593807220459,-0.3712007999420166,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1288071572780609,"","","PRUNED"
