"number","value","datetime_start","datetime_complete","duration","params_decoder_layer_width_0","params_decoder_layer_width_1","params_decoder_layer_width_2","params_decoder_layer_width_3","params_decoder_layer_width_4","params_lr","params_n_decoder_layers","user_attrs_avg_mae","user_attrs_avg_mape","user_attrs_avg_ndcg10","user_attrs_avg_ndcg20","user_attrs_avg_ndcg50","user_attrs_avg_r2","user_attrs_fold10_mae","user_attrs_fold10_mape","user_attrs_fold10_ndcg10","user_attrs_fold10_ndcg20","user_attrs_fold10_ndcg50","user_attrs_fold10_r2","user_attrs_fold11_mae","user_attrs_fold11_mape","user_attrs_fold11_ndcg10","user_attrs_fold11_ndcg20","user_attrs_fold11_ndcg50","user_attrs_fold11_r2","user_attrs_fold12_mae","user_attrs_fold12_mape","user_attrs_fold12_ndcg10","user_attrs_fold12_ndcg20","user_attrs_fold12_ndcg50","user_attrs_fold12_r2","user_attrs_fold13_mae","user_attrs_fold13_mape","user_attrs_fold13_ndcg10","user_attrs_fold13_ndcg20","user_attrs_fold13_ndcg50","user_attrs_fold13_r2","user_attrs_fold14_mae","user_attrs_fold14_mape","user_attrs_fold14_ndcg10","user_attrs_fold14_ndcg20","user_attrs_fold14_ndcg50","user_attrs_fold14_r2","user_attrs_fold15_mae","user_attrs_fold15_mape","user_attrs_fold15_ndcg10","user_attrs_fold15_ndcg20","user_attrs_fold15_ndcg50","user_attrs_fold15_r2","user_attrs_fold16_mae","user_attrs_fold16_mape","user_attrs_fold16_ndcg10","user_attrs_fold16_ndcg20","user_attrs_fold16_ndcg50","user_attrs_fold16_r2","user_attrs_fold17_mae","user_attrs_fold17_mape","user_attrs_fold17_ndcg10","user_attrs_fold17_ndcg20","user_attrs_fold17_ndcg50","user_attrs_fold17_r2","user_attrs_fold1_mae","user_attrs_fold1_mape","user_attrs_fold1_ndcg10","user_attrs_fold1_ndcg20","user_attrs_fold1_ndcg50","user_attrs_fold1_r2","user_attrs_fold2_mae","user_attrs_fold2_mape","user_attrs_fold2_ndcg10","user_attrs_fold2_ndcg20","user_attrs_fold2_ndcg50","user_attrs_fold2_r2","user_attrs_fold3_mae","user_attrs_fold3_mape","user_attrs_fold3_ndcg10","user_attrs_fold3_ndcg20","user_attrs_fold3_ndcg50","user_attrs_fold3_r2","user_attrs_fold4_mae","user_attrs_fold4_mape","user_attrs_fold4_ndcg10","user_attrs_fold4_ndcg20","user_attrs_fold4_ndcg50","user_attrs_fold4_r2","user_attrs_fold5_mae","user_attrs_fold5_mape","user_attrs_fold5_ndcg10","user_attrs_fold5_ndcg20","user_attrs_fold5_ndcg50","user_attrs_fold5_r2","user_attrs_fold6_mae","user_attrs_fold6_mape","user_attrs_fold6_ndcg10","user_attrs_fold6_ndcg20","user_attrs_fold6_ndcg50","user_attrs_fold6_r2","user_attrs_fold7_mae","user_attrs_fold7_mape","user_attrs_fold7_ndcg10","user_attrs_fold7_ndcg20","user_attrs_fold7_ndcg50","user_attrs_fold7_r2","user_attrs_fold8_mae","user_attrs_fold8_mape","user_attrs_fold8_ndcg10","user_attrs_fold8_ndcg20","user_attrs_fold8_ndcg50","user_attrs_fold8_r2","user_attrs_fold9_mae","user_attrs_fold9_mape","user_attrs_fold9_ndcg10","user_attrs_fold9_ndcg20","user_attrs_fold9_ndcg50","user_attrs_fold9_r2","user_attrs_pca_components","system_attrs_completed_rung_0","system_attrs_completed_rung_1","system_attrs_completed_rung_2","state"
0,0.15337231360814152,"2025-05-16 21:28:17.448004","2025-05-16 21:28:19.453478","0 days 00:00:02.005474",32,128.0,112.0,96.0,"",0.044655445378513285,4,0.15337231360814152,2291.504836138557,0.24768843863378553,0.2995332761065048,0.376707962823703,-0.2818580094505759,0.12648771703243256,371.9566650390625,0.5039326548576355,0.5253198742866516,0.5421336889266968,0.01709228754043579,0.11632554978132248,1136.8621826171875,0.4957940876483917,0.44200268387794495,0.624379575252533,0.12029558420181274,0.19535048305988312,194.4160614013672,0.10572527348995209,0.06551296263933182,0.24586221575737,-0.23819339275360107,0.21718275547027588,64.50001525878906,0.38391774892807007,0.4002876281738281,0.3655586540699005,-0.7720099687576294,0.11812982708215714,98.05890655517578,0.23125651478767395,0.32527974247932434,0.3183625638484955,-0.28902363777160645,0.12247131764888763,111.03687286376953,0.32626500725746155,0.4852406978607178,0.43483689427375793,-0.05866658687591553,0.24756312370300293,105.07855224609375,0.4681253135204315,0.6776140928268433,0.5763584971427917,-0.5311645269393921,0.11554465442895889,196.95689392089844,0.15851423144340515,0.17926669120788574,0.27362367510795593,-0.05171799659729004,0.18231303989887238,67.49037170410156,0.2589576840400696,0.43368059396743774,0.5349316000938416,-0.6508979797363281,0.23768819868564606,1837.590087890625,0.35457468032836914,0.41591206192970276,0.6467023491859436,-0.512917160987854,0.15362116694450378,66.66598510742188,0.1848340779542923,0.28866612911224365,0.5235589146614075,-0.5471975803375244,0.17234881222248077,75.96192932128906,0.16167548298835754,0.19824184477329254,0.3091866672039032,-0.648301362991333,0.08980319648981094,31755.49609375,0.16561420261859894,0.14103548228740692,0.14870013296604156,-0.049816131591796875,0.10533548891544342,589.1966552734375,0.022033099085092545,0.04690837115049362,0.17960678040981293,-0.20800137519836426,0.14990542829036713,237.43206787109375,0.2870215177536011,0.26478341221809387,0.28005680441856384,-0.2222731113433838,0.11014727503061295,1671.522705078125,0.01697789691388607,0.00923118181526661,0.01368717197328806,-0.03622031211853027,0.14711129665374756,375.36016845703125,0.08548398315906525,0.19308224320411682,0.3864891827106476,-0.11257290840148926,5.0,"","","","COMPLETE"
1,0.1455639776061563,"2025-05-16 21:28:19.453861","2025-05-16 21:28:21.397654","0 days 00:00:01.943793",144,224.0,"","","",0.0001195336544848587,2,0.1455639776061563,1857.6023371079389,0.3121751853648354,0.33747674875399647,0.41484492798061934,-0.19807090478784897,0.12707945704460144,368.07049560546875,0.15094897150993347,0.18501105904579163,0.29641255736351013,-0.08103799819946289,0.10761060565710068,615.5869750976562,0.5995635986328125,0.697668194770813,0.7125774621963501,0.11337858438491821,0.19833287596702576,235.07257080078125,0.19119003415107727,0.14106647670269012,0.13302385807037354,-0.20895719528198242,0.18846984207630157,62.96579360961914,0.3041824698448181,0.30356746912002563,0.2940492331981659,-0.49070823192596436,0.1158398911356926,178.1073760986328,0.0836658626794815,0.08572691679000854,0.12287189811468124,-0.06315946578979492,0.1222410723567009,95.75567626953125,0.09089036285877228,0.10530530661344528,0.13982079923152924,-0.19497358798980713,0.24113121628761292,209.54270935058594,0.12615524232387543,0.12605266273021698,0.15505553781986237,-0.30282485485076904,0.10285310447216034,137.6634521484375,0.08048958331346512,0.15428897738456726,0.20906546711921692,-0.07514429092407227,0.17942437529563904,64.27692413330078,0.3493218719959259,0.43097352981567383,0.5769845247268677,-0.6269440650939941,0.2217864990234375,2104.830810546875,0.5199412703514099,0.49415069818496704,0.7670464515686035,-0.3249945640563965,0.14761929214000702,62.2490348815918,0.851226270198822,0.773770809173584,0.7721455097198486,-0.4244391918182373,0.17256948351860046,71.5753402709961,0.29771745204925537,0.36173099279403687,0.5707152485847473,-0.4466639757156372,0.08561259508132935,25263.1015625,0.30989697575569153,0.41845008730888367,0.4761410355567932,-0.059175848960876465,0.09689535200595856,462.13031005859375,0.28399235010147095,0.33634859323501587,0.4737226366996765,-0.0643686056137085,0.1432620882987976,149.74185180664062,0.46206581592559814,0.48402464389801025,0.5992937088012695,-0.13195693492889404,0.09422052651643753,1259.5103759765625,0.061179302632808685,0.05853446573019028,0.12179461121559143,0.10379236936569214,0.12963934242725372,239.0584716796875,0.5445507168769836,0.5804338455200195,0.6316432356834412,-0.0890275239944458,5.0,0.11506376415491104,0.11823874711990356,0.11654418706893921,"COMPLETE"
2,0.12775664031505585,"2025-05-16 21:28:21.398023","2025-05-16 21:28:21.619642","0 days 00:00:00.221619",80,16.0,48.0,160.0,"",0.00012440506252060473,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.18496374785900116,65.34921264648438,0.37353724241256714,0.4999123513698578,0.6231077313423157,-0.7169805765151978,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.12775664031505585,"","","PRUNED"
3,0.11586719751358032,"2025-05-16 21:28:21.619885","2025-05-16 21:28:21.912402","0 days 00:00:00.292517",96,64.0,160.0,256.0,64.0,0.00017746960457414032,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.18021203577518463,64.16212463378906,0.5342193841934204,0.5804822444915771,0.6461777687072754,-0.612258791923523,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11586719751358032,"","","PRUNED"
4,0.1337825357913971,"2025-05-16 21:28:21.912645","2025-05-16 21:28:22.068665","0 days 00:00:00.156020",64,"","","","",0.0002929742621548413,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.17827138304710388,61.930816650390625,0.48348310589790344,0.45602211356163025,0.4569299817085266,-0.6787773370742798,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1337825357913971,"","","PRUNED"
5,0.12042880803346634,"2025-05-16 21:28:22.068886","2025-05-16 21:28:22.271646","0 days 00:00:00.202760",224,64.0,"","","",0.000114755127161482,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1778932362794876,62.66643524169922,0.5979712009429932,0.5857250094413757,0.697051465511322,-0.6088005304336548,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.12042880803346634,"","","PRUNED"
6,0.11936387419700623,"2025-05-16 21:28:22.271878","2025-05-16 21:28:22.962952","0 days 00:00:00.691074",64,144.0,224.0,16.0,112.0,0.0007631678687970814,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.19475410878658295,74.65505981445312,0.5790961980819702,0.6578066945075989,0.6984922885894775,-0.7221314907073975,0.21434856951236725,1899.8785400390625,0.5975322127342224,0.6199201941490173,0.8129976391792297,-0.2576866149902344,0.14979979395866394,63.695491790771484,0.7819018363952637,0.7961850166320801,0.7772336602210999,-0.436116099357605,0.1652860790491104,68.9937744140625,0.49701210856437683,0.5905689001083374,0.677883505821228,-0.34481585025787354,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11123226583003998,0.11936387419700623,"","PRUNED"
7,0.11212359368801117,"2025-05-16 21:28:22.963214","2025-05-16 21:28:23.219049","0 days 00:00:00.255835",192,48.0,144.0,176.0,"",0.0010911819324818412,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.14468760788440704,50.57493591308594,0.659318208694458,0.6601540446281433,0.6397439241409302,-0.20100414752960205,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11212359368801117,"","","PRUNED"
8,0.1131986454129219,"2025-05-16 21:28:23.219291","2025-05-16 21:28:23.445360","0 days 00:00:00.226069",144,240.0,"","","",0.0005558691820682837,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.15502652525901794,53.77217102050781,0.4876853823661804,0.5882343649864197,0.6392841339111328,-0.29816174507141113,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1131986454129219,"","","PRUNED"
9,0.14301173169823253,"2025-05-16 21:28:23.445590","2025-05-16 21:28:25.985955","0 days 00:00:02.540365",144,144.0,224.0,224.0,"",0.0023160976132689014,4,0.14301173169823253,2808.7540622038,0.36489176443394494,0.38550632797619877,0.4550255642217748,-0.07803602078381706,0.13744448125362396,720.3731079101562,0.15154214203357697,0.15427330136299133,0.28546491265296936,-0.03701615333557129,0.10941910743713379,845.2966918945312,0.35883474349975586,0.36140570044517517,0.6380179524421692,0.1390581727027893,0.19850048422813416,222.64697265625,0.3106697201728821,0.3137442469596863,0.2604459226131439,-0.1948835849761963,0.18126335740089417,64.67976379394531,0.465703547000885,0.38107308745384216,0.35739272832870483,-0.38496696949005127,0.12083712220191956,229.3206024169922,0.20108909904956818,0.24005328118801117,0.2843194007873535,0.05259627103805542,0.11567169427871704,102.93595886230469,0.3289158046245575,0.4354792535305023,0.3949536681175232,-0.03258645534515381,0.23402981460094452,170.02760314941406,0.6260126233100891,0.5038350820541382,0.5592915415763855,-0.29026269912719727,0.13372206687927246,263.37139892578125,0.4893999695777893,0.39942610263824463,0.3794861435890198,-0.13817858695983887,0.1358729898929596,61.35319519042969,0.49450844526290894,0.5809614062309265,0.6265493035316467,0.0002925395965576172,0.22446757555007935,2336.5009765625,0.38999661803245544,0.43817341327667236,0.6908677220344543,-0.3732997179031372,0.13655368983745575,58.09419631958008,0.5927299857139587,0.6918836832046509,0.6901338696479797,-0.22578895092010498,0.13099007308483124,79.2638168334961,0.5755507349967957,0.6741839051246643,0.6641279458999634,0.2110046148300171,0.09051520377397537,40218.6015625,0.42185017466545105,0.4071473479270935,0.4192848801612854,0.002298295497894287,0.10403524339199066,614.0829467773438,0.20674248039722443,0.23938784003257751,0.3350975215435028,-0.15834498405456543,0.14080969989299774,185.01519775390625,0.32610106468200684,0.40095654129981995,0.5544189810752869,0.013141453266143799,0.09968326985836029,1256.8565673828125,0.08004767447710037,0.11337506026029587,0.133761465549469,0.06389063596725464,0.1373835653066635,320.39849853515625,0.1834651678800583,0.21824832260608673,0.4618206322193146,0.02643376588821411,5.0,0.10749778896570206,0.10799551010131836,0.10607914626598358,"COMPLETE"
