"number","value","datetime_start","datetime_complete","duration","params_decoder_layer_width_0","params_decoder_layer_width_1","params_decoder_layer_width_2","params_decoder_layer_width_3","params_decoder_layer_width_4","params_encoder_layer_width_0","params_encoder_layer_width_1","params_encoder_layer_width_2","params_encoder_layer_width_3","params_lr","params_n_decoder_layers","params_n_encoder_layers","params_transformer_dropout","params_transformer_heads","user_attrs_avg_mae","user_attrs_avg_mape","user_attrs_avg_ndcg10","user_attrs_avg_ndcg20","user_attrs_avg_ndcg50","user_attrs_avg_r2","user_attrs_fold10_mae","user_attrs_fold10_mape","user_attrs_fold10_ndcg10","user_attrs_fold10_ndcg20","user_attrs_fold10_ndcg50","user_attrs_fold10_r2","user_attrs_fold11_mae","user_attrs_fold11_mape","user_attrs_fold11_ndcg10","user_attrs_fold11_ndcg20","user_attrs_fold11_ndcg50","user_attrs_fold11_r2","user_attrs_fold12_mae","user_attrs_fold12_mape","user_attrs_fold12_ndcg10","user_attrs_fold12_ndcg20","user_attrs_fold12_ndcg50","user_attrs_fold12_r2","user_attrs_fold13_mae","user_attrs_fold13_mape","user_attrs_fold13_ndcg10","user_attrs_fold13_ndcg20","user_attrs_fold13_ndcg50","user_attrs_fold13_r2","user_attrs_fold14_mae","user_attrs_fold14_mape","user_attrs_fold14_ndcg10","user_attrs_fold14_ndcg20","user_attrs_fold14_ndcg50","user_attrs_fold14_r2","user_attrs_fold15_mae","user_attrs_fold15_mape","user_attrs_fold15_ndcg10","user_attrs_fold15_ndcg20","user_attrs_fold15_ndcg50","user_attrs_fold15_r2","user_attrs_fold1_mae","user_attrs_fold1_mape","user_attrs_fold1_ndcg10","user_attrs_fold1_ndcg20","user_attrs_fold1_ndcg50","user_attrs_fold1_r2","user_attrs_fold2_mae","user_attrs_fold2_mape","user_attrs_fold2_ndcg10","user_attrs_fold2_ndcg20","user_attrs_fold2_ndcg50","user_attrs_fold2_r2","user_attrs_fold3_mae","user_attrs_fold3_mape","user_attrs_fold3_ndcg10","user_attrs_fold3_ndcg20","user_attrs_fold3_ndcg50","user_attrs_fold3_r2","user_attrs_fold4_mae","user_attrs_fold4_mape","user_attrs_fold4_ndcg10","user_attrs_fold4_ndcg20","user_attrs_fold4_ndcg50","user_attrs_fold4_r2","user_attrs_fold5_mae","user_attrs_fold5_mape","user_attrs_fold5_ndcg10","user_attrs_fold5_ndcg20","user_attrs_fold5_ndcg50","user_attrs_fold5_r2","user_attrs_fold6_mae","user_attrs_fold6_mape","user_attrs_fold6_ndcg10","user_attrs_fold6_ndcg20","user_attrs_fold6_ndcg50","user_attrs_fold6_r2","user_attrs_fold7_mae","user_attrs_fold7_mape","user_attrs_fold7_ndcg10","user_attrs_fold7_ndcg20","user_attrs_fold7_ndcg50","user_attrs_fold7_r2","user_attrs_fold8_mae","user_attrs_fold8_mape","user_attrs_fold8_ndcg10","user_attrs_fold8_ndcg20","user_attrs_fold8_ndcg50","user_attrs_fold8_r2","user_attrs_fold9_mae","user_attrs_fold9_mape","user_attrs_fold9_ndcg10","user_attrs_fold9_ndcg20","user_attrs_fold9_ndcg50","user_attrs_fold9_r2","user_attrs_pca_components","system_attrs_completed_rung_0","system_attrs_completed_rung_1","state"
0,0.15369124412536622,"2025-05-16 15:23:50.347978","2025-05-16 15:24:00.204356","0 days 00:00:09.856378",208,32.0,112.0,192.0,"",112,"","","",0.026175449129870028,4,1,0.5,9,0.15369124412536622,424.79652913411456,0.33616589729984603,0.37282957856853804,0.41911183651536704,-0.3165245254834493,0.20241981744766235,114.40003204345703,0.37938931584358215,0.4339168965816498,0.3819175958633423,-0.4138556718826294,0.21944239735603333,65.36933135986328,0.38391774892807007,0.4002876281738281,0.3655586540699005,-0.7917354106903076,0.09548664093017578,134.11769104003906,0.9292530417442322,0.8707862496376038,0.8051605820655823,0.3624590039253235,0.1352747231721878,62.7202262878418,0.42674726247787476,0.3965179920196533,0.4997186064720154,-0.47877418994903564,0.23695108294487,177.28378295898438,0.4681253135204315,0.6776140928268433,0.5763584971427917,-0.3171199560165405,0.11445439606904984,73.8731918334961,0.16633036732673645,0.3710179030895233,0.43047839403152466,-0.4235008955001831,0.17910614609718323,58.62138748168945,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.7502539157867432,0.2143440693616867,1243.1466064453125,0.5616838932037354,0.40270331501960754,0.723856508731842,-0.3644765615463257,0.14953981339931488,56.069149017333984,0.15729229152202606,0.44170698523521423,0.5248095989227295,-0.58707594871521,0.16329100728034973,54.928707122802734,0.14052796363830566,0.1728532761335373,0.4216603934764862,-0.5389370918273926,0.10389640182256699,598.325927734375,0.10077051818370819,0.16893522441387177,0.19974727928638458,-0.13037800788879395,0.12051545828580856,1922.978271484375,0.01697789691388607,0.00923118181526661,0.01368717197328806,-0.07970976829528809,0.12708252668380737,245.9838104248047,0.1929292529821396,0.17804193496704102,0.2638821005821228,-0.1919116973876953,0.11842166632413864,329.91204833984375,0.7862049341201782,0.7008349895477295,0.6547080874443054,0.034065961837768555,0.12514251470565796,1234.2177734375,0.024402735754847527,0.028759272769093513,0.04012559354305267,-0.07666373252868652,0.0,"","","COMPLETE"
1,0.12293339421351751,"2025-05-16 15:24:00.204787","2025-05-16 15:24:09.329353","0 days 00:00:09.124566",64,128.0,176.0,256.0,224.0,128,80.0,144.0,144.0,0.026770849462997796,5,4,0.1,2,0.12293339421351751,402.3986722310384,0.7121997435887655,0.7367606103420258,0.733556592464447,0.18744588494300843,0.15721075236797333,210.14695739746094,1.0,1.0,0.8183000087738037,0.3428068161010742,0.11870387941598892,44.26106643676758,1.0,1.0,0.9091806411743164,0.4563068747520447,0.09640643000602722,122.97803497314453,1.0,0.8689864277839661,0.7630838751792908,0.38811010122299194,0.08786455541849136,89.44723510742188,0.9191439151763916,0.8537607789039612,0.8430092334747314,0.5870771110057831,0.1696270853281021,182.28140258789062,1.0,1.0,0.963016152381897,0.49940764904022217,0.10259709507226944,115.93339538574219,0.2402380257844925,0.22896909713745117,0.26086729764938354,-0.13860750198364258,0.12264639884233475,47.316383361816406,0.7117919921875,0.7569941282272339,0.7876226902008057,0.21351337432861328,0.1689814031124115,1852.982666015625,0.6714576482772827,0.6256206035614014,0.8499036431312561,0.09388113021850586,0.14967863261699677,56.08682632446289,0.15729229152202606,0.44170698523521423,0.5248095989227295,-0.5889229774475098,0.13914184272289276,61.0797004699707,0.7228209972381592,0.7510879635810852,0.8200104236602783,0.15021854639053345,0.08621186763048172,397.994384765625,0.6052263975143433,0.6338216662406921,0.6491310596466064,0.1182820200920105,0.08146879822015762,1127.9683837890625,1.0,0.995047390460968,0.8233181238174438,0.36016905307769775,0.12370205670595169,191.9865264892578,0.2925405502319336,0.45050787925720215,0.5680787563323975,0.1810464859008789,0.11673644930124283,317.3175354003906,0.43267393112182617,0.5755580067634583,0.5821166038513184,0.1651371717453003,0.12302366644144058,1218.1995849609375,0.9298104047775269,0.8693482279777527,0.8409007787704468,-0.01673758029937744,0.0,0.11148086935281754,0.08959396183490753,"COMPLETE"
2,0.10300252834955852,"2025-05-16 15:24:09.329835","2025-05-16 15:24:15.477709","0 days 00:00:06.147874",48,32.0,192.0,"","",128,208.0,"","",0.0004878786398723811,3,2,0.1,2,0.10300252834955852,367.01169459025067,0.8103217919667561,0.8077425559361776,0.8011871218681336,0.3870742360750834,0.14467939734458923,171.3528289794922,1.0,1.0,0.8329339027404785,0.306870698928833,0.10522004961967468,55.38634490966797,1.0,1.0,0.9084408283233643,0.6080332100391388,0.09362254291772842,126.99563598632812,1.0,0.8361056447029114,0.7686710357666016,0.3865056037902832,0.0816691592335701,62.801849365234375,0.9191439151763916,0.8676357865333557,0.8511507511138916,0.55096834897995,0.13805042207241058,108.100830078125,1.0,1.0,0.9670004844665527,0.5336365401744843,0.07293965667486191,79.7110824584961,0.8927795886993408,0.8411116003990173,0.8232786655426025,0.48149925470352173,0.0934310182929039,36.673179626464844,0.7419900894165039,0.7818455100059509,0.7968171834945679,0.415008008480072,0.1711321622133255,2385.632568359375,0.6767438054084778,0.654236376285553,0.8492831587791443,0.1629846692085266,0.0916685089468956,51.6494140625,0.8766089677810669,0.9096609354019165,0.8838459253311157,0.5348876416683197,0.10073921084403992,41.7999382019043,0.6461806893348694,0.7866433262825012,0.7680222392082214,0.36855292320251465,0.09273148328065872,558.1110229492188,0.37648072838783264,0.4575823247432709,0.5696091055870056,0.06916683912277222,0.059955134987831116,553.4774780273438,1.0,0.897460401058197,0.8307655453681946,0.3830309510231018,0.11228959262371063,285.1882629394531,0.6550290584564209,0.7226109504699707,0.6717245578765869,0.23107725381851196,0.11424987763166428,326.24591064453125,0.4578152000904083,0.48012426495552063,0.6147497892379761,0.12267208099365234,0.07265970855951309,662.049072265625,0.9120548367500305,0.8811212182044983,0.8815136551856995,0.651219516992569,0.0,0.081174835562706,0.08315109461545944,"COMPLETE"
3,0.10150943150122961,"2025-05-16 15:24:15.478150","2025-05-16 15:24:33.417989","0 days 00:00:17.939839",224,224.0,256.0,16.0,128.0,176,208.0,160.0,96.0,0.0008093535097571546,5,4,0.1,4,0.10150943150122961,346.5613805135091,0.8308996737003327,0.8046207308769227,0.7968769749005635,0.3711822271347046,0.14218845963478088,168.37506103515625,1.0,1.0,0.8320954442024231,0.299930214881897,0.0998038500547409,52.838714599609375,1.0,1.0,0.9083839058876038,0.615516871213913,0.08929645270109177,114.39910125732422,1.0,0.8336783051490784,0.7687464952468872,0.3953951597213745,0.08062588423490524,57.85281753540039,0.9191439151763916,0.8604516983032227,0.8398114442825317,0.5459035038948059,0.12296897172927856,91.02069854736328,1.0,1.0,0.9662235379219055,0.5597704350948334,0.07357984781265259,84.88304138183594,0.8925358057022095,0.8546393513679504,0.8084241151809692,0.46637094020843506,0.09606053680181503,36.890838623046875,0.7364615201950073,0.725805938243866,0.7918460965156555,0.32425469160079956,0.17463432252407074,2265.070068359375,0.710798978805542,0.6513366103172302,0.8524814248085022,0.12521791458129883,0.08648966997861862,49.73980712890625,0.8641907572746277,0.8810030817985535,0.8648495078086853,0.5472442805767059,0.1045314148068428,45.77048110961914,0.7767390012741089,0.7791712880134583,0.7996560335159302,0.3901302218437195,0.08951134234666824,388.6401062011719,0.4119684398174286,0.4645068645477295,0.5389814376831055,0.010506689548492432,0.0678185224533081,836.8441772460938,0.9920474886894226,0.8950408101081848,0.7449297308921814,0.35685545206069946,0.11288199573755264,224.6248779296875,0.5135084986686707,0.576614260673523,0.6602112650871277,0.051897525787353516,0.11160095036029816,365.72552490234375,0.7340458631515503,0.6771265864372253,0.6722015142440796,0.2307109832763672,0.07064925134181976,415.7453918457031,0.9120548367500305,0.8699361681938171,0.9043126702308655,0.6480285227298737,0.0,0.07700398564338684,0.07872792333364487,"COMPLETE"
4,0.08183068782091141,"2025-05-16 15:24:33.418539","2025-05-16 15:24:36.370762","0 days 00:00:02.952223",208,"","","","",144,64.0,96.0,"",0.00199071031463005,1,3,0.1,10,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.10376135259866714,45.26752471923828,0.6689761281013489,0.7598004937171936,0.8004040122032166,0.4384506344795227,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.08183068782091141,"","PRUNED"
5,0.08388645946979523,"2025-05-16 15:24:36.371036","2025-05-16 15:24:37.217162","0 days 00:00:00.846126",64,256.0,224.0,96.0,176.0,144,112.0,160.0,"",0.012115967654915365,5,3,0.0,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0963795855641365,38.7613410949707,0.7605562806129456,0.8011759519577026,0.8363534808158875,0.4698101878166199,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.08388645946979523,"","PRUNED"
6,0.07773033529520035,"2025-05-16 15:24:37.217478","2025-05-16 15:24:37.789946","0 days 00:00:00.572468",208,240.0,16.0,48.0,16.0,32,"","","",0.02115842206433344,5,1,0.0,6,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1852857619524002,62.336181640625,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.8057670593261719,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.07773033529520035,"","PRUNED"
7,0.10161665330330531,"2025-05-16 15:24:37.790241","2025-05-16 15:24:48.848975","0 days 00:00:11.058734",64,240.0,80.0,16.0,"",192,"","","",0.0036135015759398677,4,1,0.0,7,0.10161665330330531,320.94603576660154,0.8451834122339884,0.83119056224823,0.8101969977219899,0.42296032309532167,0.1363362967967987,184.326416015625,1.0,1.0,0.8465180993080139,0.40123164653778076,0.10009002685546875,58.69887924194336,1.0,1.0,0.9298413991928101,0.6502825319766998,0.0848786011338234,102.82974243164062,1.0,0.8898639678955078,0.8211384415626526,0.45625561475753784,0.0759534239768982,62.90556335449219,0.9313541054725647,0.8797194361686707,0.881692111492157,0.6422125995159149,0.12817981839179993,97.19795227050781,1.0,1.0,0.9703523516654968,0.5566254258155823,0.07685308903455734,100.23157501220703,0.93682461977005,0.8679997324943542,0.8240979313850403,0.5178937017917633,0.10050330311059952,40.60670852661133,0.7534474730491638,0.773075520992279,0.7993074059486389,0.3729698657989502,0.1727292686700821,1516.07080078125,0.5756003856658936,0.7290192246437073,0.843801736831665,0.08707505464553833,0.08812237530946732,57.60480880737305,0.9260967373847961,0.8729454874992371,0.8770076632499695,0.5966224074363708,0.09788176417350769,52.334285736083984,0.8070079684257507,0.8260439038276672,0.8551434874534607,0.5046336054801941,0.09676168113946915,630.9102172851562,0.3477720618247986,0.38396191596984863,0.4757605493068695,0.024238765239715576,0.06310570240020752,712.1538696289062,1.0,0.9813383221626282,0.7984763979911804,0.33440732955932617,0.10262078791856766,207.0984344482422,0.9004436731338501,0.7832417488098145,0.7540393471717834,0.3472501039505005,0.1307346224784851,370.3938903808594,0.5802906155586243,0.6069676280021667,0.5766853094100952,0.17327702045440674,0.06949903815984726,620.827392578125,0.9189135432243347,0.8736815452575684,0.8990927338600159,0.6794291734695435,0.0,0.06950075924396515,0.07161681354045868,"COMPLETE"
8,0.11021066457033157,"2025-05-16 15:24:48.849435","2025-05-16 15:24:49.398438","0 days 00:00:00.549003",128,240.0,192.0,"","",48,"","","",0.027697361090209736,3,1,0.4,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.17986290156841278,58.9739990234375,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.7578532695770264,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11021066457033157,"","PRUNED"
9,0.09077581018209457,"2025-05-16 15:24:49.398726","2025-05-16 15:24:49.833933","0 days 00:00:00.435207",240,192.0,"","","",16,"","","",0.0001685389256021838,2,1,0.30000000000000004,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.10413909703493118,40.91215896606445,0.7587148547172546,0.7996973991394043,0.8218936324119568,0.4006298780441284,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.09077581018209457,"","PRUNED"
