"number","value","datetime_start","datetime_complete","duration","params_decoder_layer_width_0","params_decoder_layer_width_1","params_decoder_layer_width_2","params_decoder_layer_width_3","params_decoder_layer_width_4","params_encoder_layer_width_0","params_encoder_layer_width_1","params_encoder_layer_width_2","params_encoder_layer_width_3","params_encoder_layer_width_4","params_gatv2_dropout","params_gatv2_heads","params_lr","params_n_decoder_layers","params_n_encoder_layers","user_attrs_avg_mae","user_attrs_avg_mape","user_attrs_avg_ndcg10","user_attrs_avg_ndcg20","user_attrs_avg_ndcg50","user_attrs_avg_r2","user_attrs_fold10_mae","user_attrs_fold10_mape","user_attrs_fold10_ndcg10","user_attrs_fold10_ndcg20","user_attrs_fold10_ndcg50","user_attrs_fold10_r2","user_attrs_fold11_mae","user_attrs_fold11_mape","user_attrs_fold11_ndcg10","user_attrs_fold11_ndcg20","user_attrs_fold11_ndcg50","user_attrs_fold11_r2","user_attrs_fold12_mae","user_attrs_fold12_mape","user_attrs_fold12_ndcg10","user_attrs_fold12_ndcg20","user_attrs_fold12_ndcg50","user_attrs_fold12_r2","user_attrs_fold13_mae","user_attrs_fold13_mape","user_attrs_fold13_ndcg10","user_attrs_fold13_ndcg20","user_attrs_fold13_ndcg50","user_attrs_fold13_r2","user_attrs_fold14_mae","user_attrs_fold14_mape","user_attrs_fold14_ndcg10","user_attrs_fold14_ndcg20","user_attrs_fold14_ndcg50","user_attrs_fold14_r2","user_attrs_fold15_mae","user_attrs_fold15_mape","user_attrs_fold15_ndcg10","user_attrs_fold15_ndcg20","user_attrs_fold15_ndcg50","user_attrs_fold15_r2","user_attrs_fold1_mae","user_attrs_fold1_mape","user_attrs_fold1_ndcg10","user_attrs_fold1_ndcg20","user_attrs_fold1_ndcg50","user_attrs_fold1_r2","user_attrs_fold2_mae","user_attrs_fold2_mape","user_attrs_fold2_ndcg10","user_attrs_fold2_ndcg20","user_attrs_fold2_ndcg50","user_attrs_fold2_r2","user_attrs_fold3_mae","user_attrs_fold3_mape","user_attrs_fold3_ndcg10","user_attrs_fold3_ndcg20","user_attrs_fold3_ndcg50","user_attrs_fold3_r2","user_attrs_fold4_mae","user_attrs_fold4_mape","user_attrs_fold4_ndcg10","user_attrs_fold4_ndcg20","user_attrs_fold4_ndcg50","user_attrs_fold4_r2","user_attrs_fold5_mae","user_attrs_fold5_mape","user_attrs_fold5_ndcg10","user_attrs_fold5_ndcg20","user_attrs_fold5_ndcg50","user_attrs_fold5_r2","user_attrs_fold6_mae","user_attrs_fold6_mape","user_attrs_fold6_ndcg10","user_attrs_fold6_ndcg20","user_attrs_fold6_ndcg50","user_attrs_fold6_r2","user_attrs_fold7_mae","user_attrs_fold7_mape","user_attrs_fold7_ndcg10","user_attrs_fold7_ndcg20","user_attrs_fold7_ndcg50","user_attrs_fold7_r2","user_attrs_fold8_mae","user_attrs_fold8_mape","user_attrs_fold8_ndcg10","user_attrs_fold8_ndcg20","user_attrs_fold8_ndcg50","user_attrs_fold8_r2","user_attrs_fold9_mae","user_attrs_fold9_mape","user_attrs_fold9_ndcg10","user_attrs_fold9_ndcg20","user_attrs_fold9_ndcg50","user_attrs_fold9_r2","user_attrs_pca_components","system_attrs_completed_rung_0","system_attrs_completed_rung_1","state"
0,0.16253181298573813,"2025-05-16 15:10:58.815056","2025-05-16 15:11:29.220572","0 days 00:00:30.405516",96,64.0,"","","",224,160.0,32.0,192.0,112.0,0.4,7,0.0030165822727120897,2,5,0.16253181298573813,309.97734349568685,0.49419821488360566,0.5025352239608765,0.5288821369409561,-0.4305886745452881,0.19703412055969238,108.097900390625,0.8043975234031677,0.7940184473991394,0.6813416481018066,-0.22323274612426758,0.1922486126422882,66.58331298828125,0.8455809950828552,0.7992233633995056,0.6995468139648438,-0.3618115186691284,0.1260243058204651,72.84474182128906,0.6722133755683899,0.6668035387992859,0.6909254789352417,-0.3592478036880493,0.11665669083595276,63.63323211669922,0.809135913848877,0.771914005279541,0.7744459509849548,0.10640454292297363,0.2068273276090622,75.4586181640625,1.0,0.8463912606239319,0.6736558079719543,-0.007581114768981934,0.1333254724740982,90.37873077392578,0.708027184009552,0.5683331489562988,0.5406144857406616,-0.4779564142227173,0.2234496772289276,87.3001480102539,0.3805636763572693,0.4387935996055603,0.4515000581741333,-1.1728105545043945,0.22663992643356323,875.4718017578125,0.21481887996196747,0.4653126299381256,0.6261581778526306,-0.5452781915664673,0.18473486602306366,85.20820617675781,0.40816816687583923,0.47846123576164246,0.6407181024551392,-0.8906694650650024,0.1728471964597702,62.15151596069336,0.1695622354745865,0.19874249398708344,0.2800467908382416,-0.6707556247711182,0.10682062059640884,214.1124725341797,0.3715633153915405,0.35612818598747253,0.41658011078834534,-0.4286465644836426,0.1482354998588562,2447.227294921875,0.018930552527308464,0.06614814698696136,0.1453583985567093,-0.46729302406311035,0.15870040655136108,110.84896087646484,0.25978150963783264,0.2989414930343628,0.3498966097831726,-0.5000576972961426,0.12479761987924576,158.6799774169922,0.4223853051662445,0.4349876642227173,0.4499404728412628,-0.24575591087341309,0.11963485181331635,131.66323852539062,0.3278445899486542,0.35382914543151855,0.5125031471252441,-0.21413803100585938,0.0,"","","COMPLETE"
1,0.15646485835313798,"2025-05-16 15:11:29.221030","2025-05-16 15:11:46.203686","0 days 00:00:16.982656",16,128.0,"","","",160,"","","","",0.0,16,0.0022067423663603303,2,1,0.15646485835313798,1344.6849990844726,0.7105212447543939,0.6861943217615286,0.694904678563277,-0.7698692858219147,0.163675457239151,198.79824829101562,0.8261834383010864,0.790094792842865,0.6949740052223206,0.17734235525131226,0.1345650553703308,67.61121368408203,1.0,0.887475311756134,0.8446895480155945,0.35075610876083374,0.09167883545160294,122.21569061279297,0.8910967707633972,0.829962968826294,0.7658334374427795,0.3918478488922119,0.09162673354148865,64.950439453125,0.8864054679870605,0.8371517062187195,0.8042386770248413,0.4218013882637024,0.15552647411823273,157.78298950195312,0.7887119650840759,0.8623040318489075,0.8199649453163147,0.42933928966522217,0.08349453657865524,111.59606170654297,0.8431062698364258,0.7822297811508179,0.7442522644996643,0.37231600284576416,0.1415216326713562,58.81593322753906,0.7357521057128906,0.771864116191864,0.7895748019218445,0.028267383575439453,0.2512269616127014,4751.30322265625,0.5502947568893433,0.5098502039909363,0.7642702460289001,-0.2478569746017456,0.113118477165699,67.62474822998047,0.8047914505004883,0.8168888092041016,0.8101949691772461,0.3502318263053894,0.1420336812734604,85.56246185302734,0.7548097372055054,0.7118809819221497,0.734680712223053,0.14194977283477783,0.1022234633564949,760.5905151367188,0.24561482667922974,0.37672534584999084,0.46115002036094666,0.06312519311904907,0.540124237537384,11458.6142578125,0.05118211731314659,0.057030726224184036,0.04084401577711105,-15.055145263671875,0.1154152899980545,361.8730163574219,0.9157068729400635,0.778340756893158,0.6983622312545776,0.3204609751701355,0.12527185678482056,493.5626525878906,0.419584721326828,0.4430888891220093,0.539509654045105,0.10798317193984985,0.09547018259763718,1409.37353515625,0.9445781707763672,0.8380264043807983,0.911030650138855,0.5995416343212128,0.0,0.08483855426311493,0.08640754222869873,"COMPLETE"
2,0.13002465665340424,"2025-05-16 15:11:46.204082","2025-05-16 15:11:52.333921","0 days 00:00:06.129839",176,256.0,48.0,112.0,128.0,208,192.0,112.0,128.0,240.0,0.2,8,0.013204630202104415,5,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.18541614711284637,63.627960205078125,0.6553179025650024,0.6609982848167419,0.6425055265426636,-0.7630327939987183,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13002465665340424,"","PRUNED"
3,0.11073413491249084,"2025-05-16 15:11:52.334223","2025-05-16 15:11:57.314671","0 days 00:00:04.980448",32,96.0,176.0,32.0,128.0,48,144.0,16.0,176.0,128.0,0.5,12,0.0019769748467412915,5,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.18749189376831055,66.82789611816406,0.5392199158668518,0.47711020708084106,0.5260037183761597,-0.7783783674240112,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11073413491249084,"","PRUNED"
4,0.09544273465871811,"2025-05-16 15:11:57.315006","2025-05-16 15:11:58.845895","0 days 00:00:01.530889",176,48.0,64.0,256.0,112.0,176,64.0,"","","",0.5,6,0.008412650291802493,5,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.14577196538448334,49.56745529174805,0.6368803381919861,0.7113646864891052,0.7248834371566772,-0.21340608596801758,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.09544273465871811,"","PRUNED"
5,0.09361222386360168,"2025-05-16 15:11:58.846168","2025-05-16 15:12:03.227142","0 days 00:00:04.380974",240,256.0,240.0,144.0,"",96,208.0,256.0,"","",0.0,8,0.0008431379674660178,4,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11959464848041534,46.368648529052734,0.7388278841972351,0.7786480784416199,0.7877898216247559,0.1814773678779602,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.09361222386360168,"","PRUNED"
6,0.10076458752155304,"2025-05-16 15:12:03.227439","2025-05-16 15:12:03.990423","0 days 00:00:00.762984",240,128.0,256.0,32.0,128.0,192,"","","","",0.30000000000000004,2,0.015335174323271403,5,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.18662135303020477,63.20410919189453,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.817425012588501,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.10076458752155304,"","PRUNED"
7,0.12014976888895035,"2025-05-16 15:12:03.990708","2025-05-16 15:12:07.439911","0 days 00:00:03.449203",144,112.0,208.0,"","",128,16.0,208.0,64.0,16.0,0.5,10,0.0001477963896643909,3,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.22551167011260986,88.55850219726562,0.4012579321861267,0.35130488872528076,0.5528661012649536,-1.1911640167236328,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.12014976888895035,"","PRUNED"
8,0.1181948110461235,"2025-05-16 15:12:07.440207","2025-05-16 15:12:09.897097","0 days 00:00:02.456890",96,256.0,176.0,16.0,176.0,80,32.0,16.0,32.0,96.0,0.30000000000000004,10,0.008322392651193422,5,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.17761631309986115,57.92718505859375,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.735404372215271,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1181948110461235,"","PRUNED"
9,0.10891877859830856,"2025-05-16 15:12:09.897391","2025-05-16 15:12:10.782345","0 days 00:00:00.884954",224,112.0,112.0,64.0,"",16,128.0,256.0,"","",0.30000000000000004,1,0.005265245918777738,4,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.16641125082969666,54.388267517089844,0.8277817368507385,0.7716262340545654,0.770208477973938,-0.5604768991470337,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.10891877859830856,"","PRUNED"
