"number","value","datetime_start","datetime_complete","duration","params_decoder_layer_width_0","params_decoder_layer_width_1","params_decoder_layer_width_2","params_decoder_layer_width_3","params_decoder_layer_width_4","params_encoder_layer_width_0","params_encoder_layer_width_1","params_encoder_layer_width_2","params_encoder_layer_width_3","params_encoder_layer_width_4","params_graphsage_aggregator","params_lr","params_n_decoder_layers","params_n_encoder_layers","user_attrs_avg_mae","user_attrs_avg_mape","user_attrs_avg_ndcg10","user_attrs_avg_ndcg20","user_attrs_avg_ndcg50","user_attrs_avg_r2","user_attrs_fold10_mae","user_attrs_fold10_mape","user_attrs_fold10_ndcg10","user_attrs_fold10_ndcg20","user_attrs_fold10_ndcg50","user_attrs_fold10_r2","user_attrs_fold11_mae","user_attrs_fold11_mape","user_attrs_fold11_ndcg10","user_attrs_fold11_ndcg20","user_attrs_fold11_ndcg50","user_attrs_fold11_r2","user_attrs_fold12_mae","user_attrs_fold12_mape","user_attrs_fold12_ndcg10","user_attrs_fold12_ndcg20","user_attrs_fold12_ndcg50","user_attrs_fold12_r2","user_attrs_fold13_mae","user_attrs_fold13_mape","user_attrs_fold13_ndcg10","user_attrs_fold13_ndcg20","user_attrs_fold13_ndcg50","user_attrs_fold13_r2","user_attrs_fold14_mae","user_attrs_fold14_mape","user_attrs_fold14_ndcg10","user_attrs_fold14_ndcg20","user_attrs_fold14_ndcg50","user_attrs_fold14_r2","user_attrs_fold15_mae","user_attrs_fold15_mape","user_attrs_fold15_ndcg10","user_attrs_fold15_ndcg20","user_attrs_fold15_ndcg50","user_attrs_fold15_r2","user_attrs_fold1_mae","user_attrs_fold1_mape","user_attrs_fold1_ndcg10","user_attrs_fold1_ndcg20","user_attrs_fold1_ndcg50","user_attrs_fold1_r2","user_attrs_fold2_mae","user_attrs_fold2_mape","user_attrs_fold2_ndcg10","user_attrs_fold2_ndcg20","user_attrs_fold2_ndcg50","user_attrs_fold2_r2","user_attrs_fold3_mae","user_attrs_fold3_mape","user_attrs_fold3_ndcg10","user_attrs_fold3_ndcg20","user_attrs_fold3_ndcg50","user_attrs_fold3_r2","user_attrs_fold4_mae","user_attrs_fold4_mape","user_attrs_fold4_ndcg10","user_attrs_fold4_ndcg20","user_attrs_fold4_ndcg50","user_attrs_fold4_r2","user_attrs_fold5_mae","user_attrs_fold5_mape","user_attrs_fold5_ndcg10","user_attrs_fold5_ndcg20","user_attrs_fold5_ndcg50","user_attrs_fold5_r2","user_attrs_fold6_mae","user_attrs_fold6_mape","user_attrs_fold6_ndcg10","user_attrs_fold6_ndcg20","user_attrs_fold6_ndcg50","user_attrs_fold6_r2","user_attrs_fold7_mae","user_attrs_fold7_mape","user_attrs_fold7_ndcg10","user_attrs_fold7_ndcg20","user_attrs_fold7_ndcg50","user_attrs_fold7_r2","user_attrs_fold8_mae","user_attrs_fold8_mape","user_attrs_fold8_ndcg10","user_attrs_fold8_ndcg20","user_attrs_fold8_ndcg50","user_attrs_fold8_r2","user_attrs_fold9_mae","user_attrs_fold9_mape","user_attrs_fold9_ndcg10","user_attrs_fold9_ndcg20","user_attrs_fold9_ndcg50","user_attrs_fold9_r2","user_attrs_pca_components","system_attrs_completed_rung_0","system_attrs_completed_rung_1","state"
0,0.13662080764770507,"2025-05-16 15:09:10.950214","2025-05-16 15:09:13.868655","0 days 00:00:02.918441",128,"","","","",160,240.0,"","","","add",0.0070692857204752695,1,2,0.13662080764770507,580.7178881327311,0.5777811594928305,0.5755466437277694,0.6201887163333595,0.0012146870295206705,0.16515174508094788,224.0867156982422,0.5931912660598755,0.6166955828666687,0.6122892498970032,0.24461668729782104,0.12246902287006378,58.60309600830078,0.9684534668922424,0.9160272479057312,0.8905468583106995,0.5156236290931702,0.10926715284585953,157.49404907226562,0.8887250423431396,0.6035063862800598,0.5965504050254822,0.05620449781417847,0.10836171358823776,83.0982666015625,0.2757711708545685,0.31383439898490906,0.44114840030670166,0.052155375480651855,0.21976400911808014,149.50970458984375,0.44931283593177795,0.5230705142021179,0.5404415130615234,-0.16793620586395264,0.08406367152929306,89.75861358642578,0.8769341111183167,0.8106482028961182,0.7834571599960327,0.40203857421875,0.1483115702867508,50.93978500366211,0.6495818495750427,0.6501144766807556,0.7053022384643555,-0.24277615547180176,0.22394637763500214,2052.9912109375,0.19932301342487335,0.2733899652957916,0.5782639980316162,-0.36877238750457764,0.10458071529865265,59.03492736816406,0.8744117021560669,0.8601161241531372,0.8251421451568604,0.43845629692077637,0.14689293503761292,50.9019775390625,0.41896602511405945,0.48473814129829407,0.6574645042419434,-0.28205108642578125,0.09842429310083389,722.9820556640625,0.5623334646224976,0.5673556327819824,0.542279064655304,0.06006336212158203,0.187034010887146,3780.901611328125,0.006718483753502369,0.006109052803367376,0.005874742288142443,-1.3592274188995361,0.11958295106887817,298.5243225097656,0.6207758188247681,0.6480019688606262,0.6418212056159973,0.03053230047225952,0.1190747618675232,259.9118957519531,0.32973650097846985,0.5280248522758484,0.6176636815071106,0.14992952346801758,0.09238718450069427,672.0300903320312,0.9524826407432556,0.831567108631134,0.8645855784416199,0.48936331272125244,0.0,"","","COMPLETE"
1,0.1491291865706444,"2025-05-16 15:09:13.869041","2025-05-16 15:09:16.559109","0 days 00:00:02.690068",16,"","","","",80,208.0,"","","","mean",0.02050091648778874,1,2,0.1491291865706444,581.3159520467123,0.46183078922331333,0.4694057227422794,0.5137517239277561,-0.1278250992298126,0.2002362608909607,126.68791961669922,0.37938931584358215,0.4339168965816498,0.3819175958633423,-0.3799971342086792,0.22065134346485138,65.83442687988281,0.38391774892807007,0.4002876281738281,0.3655586540699005,-0.8023910522460938,0.11957258731126785,205.8186798095703,0.607207179069519,0.518323540687561,0.5612488389015198,0.013119637966156006,0.10432673990726471,82.9057846069336,0.749578058719635,0.6937230825424194,0.713432788848877,0.24279218912124634,0.2205674648284912,175.0061798095703,0.530982494354248,0.5460677742958069,0.5212427973747253,-0.11915135383605957,0.09181039780378342,104.69574737548828,0.6638690829277039,0.603122353553772,0.5771405100822449,0.0867757797241211,0.19054685533046722,65.75509643554688,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.8521749973297119,0.22301159799098969,2679.7392578125,0.45526614785194397,0.4737941324710846,0.7941057682037354,-0.2310725450515747,0.1339932382106781,77.82784271240234,0.7157778739929199,0.7728476524353027,0.8118595480918884,0.0042264461517333984,0.1468193680047989,51.06432342529297,0.14052796363830566,0.1728532761335373,0.4216603934764862,-0.38031017780303955,0.10821234434843063,957.4625854492188,0.1468789130449295,0.24492107331752777,0.22623485326766968,0.006551682949066162,0.12099152058362961,1934.3990478515625,0.01697789691388607,0.00923118181526661,0.01368717197328806,-0.08208596706390381,0.1260654628276825,296.6421203613281,0.7177053689956665,0.7483258843421936,0.684160590171814,0.21869230270385742,0.12225930392742157,270.317138671875,0.17855799198150635,0.1929423213005066,0.3449734151363373,-0.15198898315429688,0.10787331312894821,1625.5831298828125,0.9328898787498474,0.8914923071861267,0.9040444493293762,0.5096376836299896,0.0,0.10202924907207489,0.1179579496383667,"COMPLETE"
2,0.11801199615001678,"2025-05-16 15:09:16.559547","2025-05-16 15:09:17.112802","0 days 00:00:00.553255",32,256.0,48.0,64.0,32.0,48,128.0,208.0,128.0,"","mean",0.0006710968871445105,5,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.19955861568450928,78.75836181640625,0.7171583771705627,0.7528496980667114,0.7453059554100037,-0.7585666179656982,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11801199615001678,"","PRUNED"
3,0.12443455308675766,"2025-05-16 15:09:17.113126","2025-05-16 15:09:17.533651","0 days 00:00:00.420525",224,16.0,"","","",176,48.0,"","","","max",0.013912024255981363,2,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11624827235937119,49.112545013427734,0.7779785394668579,0.7623543739318848,0.7977045774459839,0.26206934452056885,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.12443455308675766,"","PRUNED"
4,0.4944576621055603,"2025-05-16 15:09:17.533903","2025-05-16 15:09:18.004765","0 days 00:00:00.470862",64,"","","","",112,64.0,80.0,208.0,48.0,"add",0.0001717964789523427,1,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.17597202956676483,56.73051452636719,0.1544083058834076,0.16938258707523346,0.24847586452960968,-0.790179967880249,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.4944576621055603,"","PRUNED"
5,0.1262291669845581,"2025-05-16 15:09:18.005070","2025-05-16 15:09:18.471933","0 days 00:00:00.466863",80,208.0,192.0,176.0,208.0,128,"","","","","mean",0.00013214212117818256,5,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1539590060710907,49.688751220703125,0.667856752872467,0.6800940036773682,0.7358647584915161,-0.4311647415161133,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1262291669845581,"","PRUNED"
6,0.1317158192396164,"2025-05-16 15:09:18.472189","2025-05-16 15:09:18.988726","0 days 00:00:00.516537",176,16.0,"","","",224,208.0,224.0,"","","max",0.03795576056783612,2,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.18694953620433807,63.417362213134766,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.8203023672103882,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1317158192396164,"","PRUNED"
7,0.11086880018313726,"2025-05-16 15:09:18.988997","2025-05-16 15:09:22.718496","0 days 00:00:03.729499",16,176.0,80.0,128.0,224.0,128,256.0,"","","","max",0.003633434489970324,5,2,0.11086880018313726,502.64655990600585,0.834461369117101,0.8106044232845306,0.7996130267779032,0.37408305406570436,0.14551913738250732,234.38763427734375,1.0,0.9544141292572021,0.8647604584693909,0.41443777084350586,0.1155252605676651,60.12334060668945,1.0,1.0,0.8825681209564209,0.5356791615486145,0.09222501516342163,107.02828979492188,0.9858981370925903,0.8828853368759155,0.8030921220779419,0.40931206941604614,0.08978039026260376,60.05198287963867,0.854543924331665,0.8135877847671509,0.834163248538971,0.4325505495071411,0.13656115531921387,128.0701446533203,1.0,1.0,0.9527412056922913,0.5542438924312592,0.07900912314653397,99.86699676513672,0.8817929029464722,0.8921948671340942,0.8252547979354858,0.45908063650131226,0.10160479694604874,41.343040466308594,0.776874303817749,0.8057431578636169,0.812477171421051,0.34526896476745605,0.19120849668979645,2863.007080078125,0.5477705597877502,0.5016928911209106,0.8040014505386353,0.07665687799453735,0.1181948333978653,93.75692749023438,0.6859599351882935,0.7217320203781128,0.7852450013160706,0.15940433740615845,0.10585378855466843,59.43289566040039,0.8491658568382263,0.8239268660545349,0.8315492272377014,0.4372102618217468,0.09644430875778198,700.4307250976562,0.30638357996940613,0.44426754117012024,0.5100491046905518,0.05481398105621338,0.07993769645690918,1044.892822265625,0.9413089156150818,0.8809770345687866,0.7443516254425049,0.2919853925704956,0.11509320139884949,408.53997802734375,0.9474912881851196,0.7697921395301819,0.7377519011497498,0.3883962035179138,0.10195999592542648,310.53265380859375,0.866277277469635,0.7792844772338867,0.7105884552001953,0.38921916484832764,0.09411480277776718,1328.23388671875,0.8734538555145264,0.888568103313446,0.8956015110015869,0.662986546754837,0.0,0.0748881846666336,0.07697054743766785,"COMPLETE"
8,0.12104317545890808,"2025-05-16 15:09:22.718912","2025-05-16 15:09:23.012775","0 days 00:00:00.293863",192,"","","","",16,"","","","","max",0.04801404447006167,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.16585420072078705,75.09434509277344,0.6913352012634277,0.7455463409423828,0.7748943567276001,-0.08601129055023193,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.12104317545890808,"","PRUNED"
9,0.1337333768606186,"2025-05-16 15:09:23.013062","2025-05-16 15:09:23.417452","0 days 00:00:00.404390",112,"","","","",80,48.0,240.0,160.0,"","add",0.029228427158270353,1,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.16355587542057037,51.75235366821289,0.8070473670959473,0.775595486164093,0.7974873185157776,-0.5659936666488647,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1337333768606186,"","PRUNED"
