"number","value","datetime_start","datetime_complete","duration","params_decoder_layer_width_0","params_decoder_layer_width_1","params_decoder_layer_width_2","params_decoder_layer_width_3","params_decoder_layer_width_4","params_encoder_layer_width_0","params_encoder_layer_width_1","params_encoder_layer_width_2","params_encoder_layer_width_3","params_encoder_layer_width_4","params_lr","params_n_decoder_layers","params_n_encoder_layers","user_attrs_avg_mae","user_attrs_avg_mape","user_attrs_avg_ndcg10","user_attrs_avg_ndcg20","user_attrs_avg_ndcg50","user_attrs_avg_r2","user_attrs_fold10_mae","user_attrs_fold10_mape","user_attrs_fold10_ndcg10","user_attrs_fold10_ndcg20","user_attrs_fold10_ndcg50","user_attrs_fold10_r2","user_attrs_fold11_mae","user_attrs_fold11_mape","user_attrs_fold11_ndcg10","user_attrs_fold11_ndcg20","user_attrs_fold11_ndcg50","user_attrs_fold11_r2","user_attrs_fold12_mae","user_attrs_fold12_mape","user_attrs_fold12_ndcg10","user_attrs_fold12_ndcg20","user_attrs_fold12_ndcg50","user_attrs_fold12_r2","user_attrs_fold13_mae","user_attrs_fold13_mape","user_attrs_fold13_ndcg10","user_attrs_fold13_ndcg20","user_attrs_fold13_ndcg50","user_attrs_fold13_r2","user_attrs_fold14_mae","user_attrs_fold14_mape","user_attrs_fold14_ndcg10","user_attrs_fold14_ndcg20","user_attrs_fold14_ndcg50","user_attrs_fold14_r2","user_attrs_fold15_mae","user_attrs_fold15_mape","user_attrs_fold15_ndcg10","user_attrs_fold15_ndcg20","user_attrs_fold15_ndcg50","user_attrs_fold15_r2","user_attrs_fold1_mae","user_attrs_fold1_mape","user_attrs_fold1_ndcg10","user_attrs_fold1_ndcg20","user_attrs_fold1_ndcg50","user_attrs_fold1_r2","user_attrs_fold2_mae","user_attrs_fold2_mape","user_attrs_fold2_ndcg10","user_attrs_fold2_ndcg20","user_attrs_fold2_ndcg50","user_attrs_fold2_r2","user_attrs_fold3_mae","user_attrs_fold3_mape","user_attrs_fold3_ndcg10","user_attrs_fold3_ndcg20","user_attrs_fold3_ndcg50","user_attrs_fold3_r2","user_attrs_fold4_mae","user_attrs_fold4_mape","user_attrs_fold4_ndcg10","user_attrs_fold4_ndcg20","user_attrs_fold4_ndcg50","user_attrs_fold4_r2","user_attrs_fold5_mae","user_attrs_fold5_mape","user_attrs_fold5_ndcg10","user_attrs_fold5_ndcg20","user_attrs_fold5_ndcg50","user_attrs_fold5_r2","user_attrs_fold6_mae","user_attrs_fold6_mape","user_attrs_fold6_ndcg10","user_attrs_fold6_ndcg20","user_attrs_fold6_ndcg50","user_attrs_fold6_r2","user_attrs_fold7_mae","user_attrs_fold7_mape","user_attrs_fold7_ndcg10","user_attrs_fold7_ndcg20","user_attrs_fold7_ndcg50","user_attrs_fold7_r2","user_attrs_fold8_mae","user_attrs_fold8_mape","user_attrs_fold8_ndcg10","user_attrs_fold8_ndcg20","user_attrs_fold8_ndcg50","user_attrs_fold8_r2","user_attrs_fold9_mae","user_attrs_fold9_mape","user_attrs_fold9_ndcg10","user_attrs_fold9_ndcg20","user_attrs_fold9_ndcg50","user_attrs_fold9_r2","user_attrs_pca_components","system_attrs_completed_rung_0","system_attrs_completed_rung_1","state"
0,0.15007485300302506,"2025-05-16 15:06:17.558960","2025-05-16 15:06:24.138933","0 days 00:00:06.579973",48,240.0,224.0,"","",176,48.0,32.0,240.0,"",0.0007292864381696784,3,4,0.15007485300302506,760.5101104736328,0.6124708600342273,0.5793944624563058,0.5821569920827945,-0.08601770798365276,0.172677680850029,241.97625732421875,0.712885856628418,0.6657924056053162,0.6076169610023499,0.14451491832733154,0.1581355780363083,64.60179901123047,0.921187162399292,0.7807092666625977,0.7499281764030457,-0.05325198173522949,0.10375998169183731,157.0857696533203,0.7825577259063721,0.6745878458023071,0.7144514918327332,0.21203255653381348,0.1008557677268982,73.79399871826172,0.6641981601715088,0.6682036519050598,0.7022900581359863,0.3167771100997925,0.18670271337032318,178.93336486816406,0.9859424233436584,0.866355836391449,0.6508954167366028,0.23166131973266602,0.10073511302471161,114.93717193603516,0.6908344626426697,0.5918306112289429,0.4703346788883209,-0.03547859191894531,0.1825372278690338,63.809818267822266,0.4108203649520874,0.4504726529121399,0.555087149143219,-0.7122515439987183,0.21285516023635864,1785.0877685546875,0.38136881589889526,0.4131317734718323,0.6491007208824158,-0.30218505859375,0.15549235045909882,64.63050842285156,0.7902806997299194,0.7807493805885315,0.8026108741760254,-0.5037462711334229,0.1361549347639084,57.805973052978516,0.3428536653518677,0.5114985108375549,0.6272915601730347,-0.09819698333740234,0.10638847202062607,947.0689086914062,0.2568487226963043,0.3547584116458893,0.39121291041374207,0.027860403060913086,0.18111999332904816,3199.23974609375,0.01935095712542534,0.03530378267168999,0.025263966992497444,-0.7802022695541382,0.11543933302164078,248.91543579101562,0.973843514919281,0.8193623423576355,0.7264332175254822,0.1579086184501648,0.16955360770225525,963.77392578125,0.315903902053833,0.2647624611854553,0.3333475589752197,-0.005686521530151367,0.16871488094329834,3245.9912109375,0.9381864666938782,0.813398003578186,0.7264901399612427,0.10997867584228516,0.0,"","","COMPLETE"
1,0.1585357422629992,"2025-05-16 15:06:24.139420","2025-05-16 15:06:29.053569","0 days 00:00:04.914149",32,96.0,"","","",96,160.0,112.0,"","",0.02775512604364122,2,3,0.1585357422629992,559.5401227315267,0.3220026019960642,0.35260246408482393,0.4194165990377466,-0.331149951616923,0.20105603337287903,121.83893585205078,0.37938931584358215,0.4339168965816498,0.3819175958633423,-0.3930377960205078,0.21771056950092316,64.70307922363281,0.38391774892807007,0.4002876281738281,0.3655586540699005,-0.7765951156616211,0.11914784461259842,94.3603515625,0.18742690980434418,0.28259921073913574,0.2967640161514282,-0.30984926223754883,0.10216759145259857,78.6477279663086,0.8461580872535706,0.838954746723175,0.767554759979248,0.1852399706840515,0.24688468873500824,107.55560302734375,0.13327164947986603,0.2905702292919159,0.4646209478378296,-0.5217059850692749,0.11058273166418076,78.6370849609375,0.16035230457782745,0.09923651814460754,0.14811241626739502,-0.355594277381897,0.18203510344028473,60.22370910644531,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.7777421474456787,0.21848835051059723,767.5773315429688,0.5616838932037354,0.40270331501960754,0.723856508731842,-0.491510272026062,0.14881861209869385,55.983787536621094,0.15729229152202606,0.44170698523521423,0.5248095989227295,-0.5774705410003662,0.17534741759300232,62.51346969604492,0.6311455368995667,0.5497262477874756,0.6648872494697571,-0.6296374797821045,0.11678571999073029,1294.205322265625,0.3309495449066162,0.33756712079048157,0.40340656042099,0.011624276638031006,0.1216193214058876,1949.456787109375,0.01697789691388607,0.00923118181526661,0.01368717197328806,-0.08527231216430664,0.12672533094882965,263.3963317871094,0.1929292529821396,0.17804193496704102,0.2638821005821228,-0.17550384998321533,0.1227785050868988,292.2364501953125,0.17855799198150635,0.1929423213005066,0.3449734151363373,-0.13718652725219727,0.1678883135318756,3101.765869140625,0.3620506823062897,0.4923158884048462,0.5422095060348511,0.06699204444885254,0.0,0.1316494643688202,0.11254937201738358,"COMPLETE"
2,0.29563573002815247,"2025-05-16 15:06:29.053989","2025-05-16 15:06:30.097722","0 days 00:00:01.043733",48,208.0,"","","",176,64.0,144.0,208.0,128.0,0.07190398497500301,2,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.199249505996704,380.70867919921875,0.2838097810745239,0.38526418805122375,0.3869073688983917,-1535.30224609375,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.29563573002815247,"","PRUNED"
3,0.17473746140797933,"2025-05-16 15:06:30.097993","2025-05-16 15:06:33.337611","0 days 00:00:03.239618",80,144.0,16.0,"","",208,"","","","",0.020974024067318613,3,1,0.17473746140797933,1358.260920715332,0.5430345487470428,0.5537366230040789,0.571288521712025,-1.3083814104398093,0.16844084858894348,181.85345458984375,0.9395195245742798,0.8762146234512329,0.7102780342102051,0.024678468704223633,0.2221340835094452,66.40485382080078,0.38391774892807007,0.4002876281738281,0.3655586540699005,-0.8155568838119507,0.10730109363794327,171.0651092529297,0.5914031267166138,0.5660486817359924,0.5468498468399048,0.1496894359588623,0.10498367249965668,77.80746459960938,0.6002369523048401,0.5851300358772278,0.606450617313385,0.1334565281867981,0.24369369447231293,122.31390380859375,0.4681253135204315,0.6776140928268433,0.5763584971427917,-0.4705014228820801,0.12770697474479675,186.0758819580078,0.33853328227996826,0.35007739067077637,0.48058441281318665,-1.0031650066375732,0.12454649060964584,48.64219665527344,0.731570303440094,0.7322642803192139,0.7778880000114441,0.07289612293243408,0.2223476618528366,1770.7403564453125,0.10081185400485992,0.28987762331962585,0.5434043407440186,-0.38531696796417236,0.11445258557796478,76.77052307128906,0.7763506174087524,0.7804771661758423,0.8026858568191528,0.18235671520233154,0.1316661238670349,90.26908874511719,0.7127915620803833,0.7341588735580444,0.764337956905365,0.258736789226532,0.11227100342512131,751.3110961914062,0.38322436809539795,0.39892441034317017,0.46662479639053345,-0.0716785192489624,0.527249276638031,12486.5888671875,0.009330454282462597,0.01008555106818676,0.01119985617697239,-18.27103042602539,0.12441719323396683,512.6715698242188,0.7742767930030823,0.7282562851905823,0.6997599601745605,0.3003178834915161,0.1321139633655548,500.0151672363281,0.44884973764419556,0.3870280385017395,0.4345642030239105,0.010918736457824707,0.15773725509643555,3331.38427734375,0.8865765929222107,0.789604663848877,0.782782793045044,0.2584773898124695,0.0,0.1280544400215149,0.09281571954488754,"COMPLETE"
4,0.12340313196182251,"2025-05-16 15:06:33.338026","2025-05-16 15:06:34.325700","0 days 00:00:00.987674",96,16.0,16.0,"","",128,"","","","",0.0006862374934728549,3,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.14872987568378448,49.00668716430664,0.5951535701751709,0.5635664463043213,0.6268788576126099,-0.337665319442749,0.20737378299236298,1247.408447265625,0.5148724317550659,0.64927738904953,0.788720965385437,-0.22170817852020264,0.12961260974407196,65.65518951416016,0.7950810194015503,0.7661941051483154,0.8131054639816284,-0.03529226779937744,0.16372714936733246,61.42774963378906,0.350443571805954,0.45288798213005066,0.6095195412635803,-0.4544334411621094,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.12204854190349579,0.12340313196182251,"PRUNED"
5,0.1474008987347285,"2025-05-16 15:06:34.325942","2025-05-16 15:06:39.418627","0 days 00:00:05.092685",64,64.0,"","","",80,16.0,112.0,"","",0.009627340967211814,2,3,0.1474008987347285,956.1230316162109,0.6401475449403127,0.6028572981556256,0.6486326885720094,-0.2541565259297689,0.13479173183441162,226.8625030517578,0.9468580484390259,0.9007121324539185,0.8596760034561157,0.4253113865852356,0.1477959305047989,79.53773498535156,0.9306922554969788,0.8121214509010315,0.7600095272064209,0.18657344579696655,0.10515625774860382,143.7501678466797,0.7058180570602417,0.616466224193573,0.6325331330299377,0.19758951663970947,0.09576360136270523,66.75007629394531,0.8416840434074402,0.7034398913383484,0.7749884128570557,0.36427539587020874,0.17400050163269043,192.70465087890625,0.4996832609176636,0.6501579880714417,0.6552019119262695,0.3158666491508484,0.0919058546423912,116.19359588623047,0.6594341993331909,0.6446825265884399,0.6781403422355652,0.21718060970306396,0.1639181524515152,59.92455291748047,0.5955358147621155,0.6299253702163696,0.6883754134178162,-0.36984920501708984,0.2010519802570343,2456.240234375,0.6394143104553223,0.5657033920288086,0.8294720649719238,-0.06535303592681885,0.12008675187826157,70.41617584228516,0.8018855452537537,0.7565772533416748,0.8090254664421082,0.13401007652282715,0.1236051395535469,68.98998260498047,0.851504921913147,0.7365430593490601,0.7294255495071411,0.23874598741531372,0.17078928649425507,2029.096923828125,0.27383753657341003,0.25481200218200684,0.4261234998703003,-1.015273094177246,0.2648942172527313,4551.89404296875,0.12078478932380676,0.08518273383378983,0.061403919011354446,-4.608917713165283,0.12444169074296951,258.3974914550781,0.5986394882202148,0.6123042702674866,0.5659583210945129,0.05946755409240723,0.11862779408693314,348.31048583984375,0.3222173750400543,0.36708417534828186,0.5371910929679871,-0.04151749610900879,0.17418459057807922,3672.77685546875,0.8142235279083252,0.7071470022201538,0.7219656705856323,0.14954203367233276,0.0,0.09559191018342972,0.08877488970756531,"COMPLETE"
6,0.11266441643238068,"2025-05-16 15:06:39.419010","2025-05-16 15:06:40.442228","0 days 00:00:01.023218",224,224.0,"","","",240,80.0,32.0,48.0,224.0,0.012171678364543227,2,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.15520840883255005,53.597564697265625,0.3518221974372864,0.3351585566997528,0.4174835979938507,-0.5260317325592041,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.11266441643238068,"","PRUNED"
7,0.1336803436279297,"2025-05-16 15:06:40.442517","2025-05-16 15:06:40.980835","0 days 00:00:00.538318",256,144.0,192.0,144.0,48.0,192,"","","","",0.0539146039550322,5,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.16505005955696106,52.07190704345703,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.6160601377487183,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.1336803436279297,"","PRUNED"
8,0.09310853481292725,"2025-05-16 15:06:40.981120","2025-05-16 15:06:42.829444","0 days 00:00:01.848324",144,"","","","",224,112.0,240.0,16.0,"",0.0030062722835482694,1,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.14903698861598969,53.876441955566406,0.48172932863235474,0.456679105758667,0.584943413734436,-0.2933458089828491,0.21719902753829956,2450.1328125,0.4225878417491913,0.46432819962501526,0.7074253559112549,-0.1897435188293457,0.12895368039608002,58.05554962158203,0.8217464089393616,0.7833886742591858,0.8276553750038147,-0.17625248432159424,0.12633411586284637,55.93007278442383,0.5846921801567078,0.5900335311889648,0.6748479008674622,-0.0026755332946777344,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.09151282161474228,0.09310853481292725,"PRUNED"
9,0.13009893894195557,"2025-05-16 15:06:42.829723","2025-05-16 15:06:43.261617","0 days 00:00:00.431894",160,16.0,"","","",240,"","","","",0.07155683873735572,2,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.17813414335250854,58.16847610473633,0.3079359233379364,0.3392367362976074,0.38500848412513733,-0.7405489683151245,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13009893894195557,"","PRUNED"
