"number","value","datetime_start","datetime_complete","duration","params_decoder_layer_width_0","params_decoder_layer_width_1","params_decoder_layer_width_2","params_decoder_layer_width_3","params_decoder_layer_width_4","params_lr","params_n_decoder_layers","user_attrs_avg_mae","user_attrs_avg_mape","user_attrs_avg_ndcg10","user_attrs_avg_ndcg20","user_attrs_avg_ndcg50","user_attrs_avg_r2","user_attrs_fold10_mae","user_attrs_fold10_mape","user_attrs_fold10_ndcg10","user_attrs_fold10_ndcg20","user_attrs_fold10_ndcg50","user_attrs_fold10_r2","user_attrs_fold11_mae","user_attrs_fold11_mape","user_attrs_fold11_ndcg10","user_attrs_fold11_ndcg20","user_attrs_fold11_ndcg50","user_attrs_fold11_r2","user_attrs_fold12_mae","user_attrs_fold12_mape","user_attrs_fold12_ndcg10","user_attrs_fold12_ndcg20","user_attrs_fold12_ndcg50","user_attrs_fold12_r2","user_attrs_fold13_mae","user_attrs_fold13_mape","user_attrs_fold13_ndcg10","user_attrs_fold13_ndcg20","user_attrs_fold13_ndcg50","user_attrs_fold13_r2","user_attrs_fold14_mae","user_attrs_fold14_mape","user_attrs_fold14_ndcg10","user_attrs_fold14_ndcg20","user_attrs_fold14_ndcg50","user_attrs_fold14_r2","user_attrs_fold15_mae","user_attrs_fold15_mape","user_attrs_fold15_ndcg10","user_attrs_fold15_ndcg20","user_attrs_fold15_ndcg50","user_attrs_fold15_r2","user_attrs_fold1_mae","user_attrs_fold1_mape","user_attrs_fold1_ndcg10","user_attrs_fold1_ndcg20","user_attrs_fold1_ndcg50","user_attrs_fold1_r2","user_attrs_fold2_mae","user_attrs_fold2_mape","user_attrs_fold2_ndcg10","user_attrs_fold2_ndcg20","user_attrs_fold2_ndcg50","user_attrs_fold2_r2","user_attrs_fold3_mae","user_attrs_fold3_mape","user_attrs_fold3_ndcg10","user_attrs_fold3_ndcg20","user_attrs_fold3_ndcg50","user_attrs_fold3_r2","user_attrs_fold4_mae","user_attrs_fold4_mape","user_attrs_fold4_ndcg10","user_attrs_fold4_ndcg20","user_attrs_fold4_ndcg50","user_attrs_fold4_r2","user_attrs_fold5_mae","user_attrs_fold5_mape","user_attrs_fold5_ndcg10","user_attrs_fold5_ndcg20","user_attrs_fold5_ndcg50","user_attrs_fold5_r2","user_attrs_fold6_mae","user_attrs_fold6_mape","user_attrs_fold6_ndcg10","user_attrs_fold6_ndcg20","user_attrs_fold6_ndcg50","user_attrs_fold6_r2","user_attrs_fold7_mae","user_attrs_fold7_mape","user_attrs_fold7_ndcg10","user_attrs_fold7_ndcg20","user_attrs_fold7_ndcg50","user_attrs_fold7_r2","user_attrs_fold8_mae","user_attrs_fold8_mape","user_attrs_fold8_ndcg10","user_attrs_fold8_ndcg20","user_attrs_fold8_ndcg50","user_attrs_fold8_r2","user_attrs_fold9_mae","user_attrs_fold9_mape","user_attrs_fold9_ndcg10","user_attrs_fold9_ndcg20","user_attrs_fold9_ndcg50","user_attrs_fold9_r2","user_attrs_pca_components","system_attrs_completed_rung_0","system_attrs_completed_rung_1","state"
0,0.14755865981181462,"2025-05-16 15:28:48.271946","2025-05-16 15:28:51.350204","0 days 00:00:03.078258",208,128.0,"","","",0.005093125703909942,2,0.14755865981181462,1038.8736363728842,0.5648823857307435,0.5685709118843079,0.6230292836825053,-0.19779800176620482,0.1518418937921524,243.2964630126953,0.545151948928833,0.6149317026138306,0.6978467106819153,0.3456658124923706,0.151990607380867,71.4881591796875,0.577246904373169,0.5591709017753601,0.6226522326469421,0.11140084266662598,0.10662903636693954,158.49954223632812,0.5873644351959229,0.5701413750648499,0.5878421664237976,0.1544840931892395,0.10463416576385498,79.1094741821289,0.5845718383789062,0.6492504477500916,0.6969115734100342,0.17201083898544312,0.19983427226543427,212.69021606445312,0.778384804725647,0.7261216640472412,0.6881624460220337,0.13669335842132568,0.11523386090993881,157.97555541992188,0.3306941092014313,0.3418607711791992,0.47538745403289795,-0.3365718126296997,0.12744028866291046,63.69989013671875,0.7772077918052673,0.7429410815238953,0.7979918122291565,0.08778399229049683,0.21542727947235107,3564.181640625,0.46635469794273376,0.5576056241989136,0.7584601044654846,-0.09492039680480957,0.13378702104091644,70.12899780273438,0.45993873476982117,0.5449199676513672,0.6340206265449524,-0.16458356380462646,0.1217847540974617,68.21487426757812,0.7402904629707336,0.7044861316680908,0.7642494440078735,0.19143056869506836,0.11574269831180573,973.9483032226562,0.26578837633132935,0.3357057571411133,0.45169398188591003,-0.09042155742645264,0.2778862714767456,6345.9091796875,0.4272412955760956,0.28093212842941284,0.21753385663032532,-4.242962837219238,0.11269131302833557,412.8678283691406,0.8940274715423584,0.7439672350883484,0.7301849126815796,0.3796349763870239,0.12799549102783203,458.75970458984375,0.5809518098831177,0.5662128925323486,0.5633785724639893,0.12826305627822876,0.15046094357967377,2702.334716796875,0.4580211043357849,0.5903159976005554,0.6591233611106873,0.2551226019859314,0.0,"","","COMPLETE"
1,0.14962100436290104,"2025-05-16 15:28:51.350546","2025-05-16 15:28:55.008037","0 days 00:00:03.657491",224,256.0,176.0,80.0,"",0.00010876633817078916,4,0.14962100436290104,483.34748153686525,0.32399402211109796,0.34514038314421974,0.4044195959965388,-0.2697381099065145,0.20017918944358826,128.80319213867188,0.27405449748039246,0.2895755469799042,0.24065600335597992,-0.3906981945037842,0.18069429695606232,64.52725219726562,0.23552154004573822,0.28487148880958557,0.34206533432006836,-0.3833059072494507,0.1183917373418808,107.35894775390625,0.0917523056268692,0.10823718458414078,0.18500594794750214,-0.27801406383514404,0.12338899075984955,68.88622283935547,0.21819919347763062,0.30002862215042114,0.3621327579021454,-0.2974945306777954,0.2364531010389328,180.29672241210938,0.21241484582424164,0.17769882082939148,0.2821985185146332,-0.312061071395874,0.10852588713169098,85.78914642333984,0.1952160745859146,0.2394762635231018,0.24055331945419312,-0.30682265758514404,0.17704711854457855,58.12486267089844,0.4471502900123596,0.49486106634140015,0.5471584796905518,-0.7143163681030273,0.21707864105701447,2304.5888671875,0.3852706551551819,0.3712950050830841,0.6571668386459351,-0.2116405963897705,0.15352609753608704,58.568214416503906,0.5502246022224426,0.5183953642845154,0.5845263004302979,-0.6073191165924072,0.13733381032943726,46.206600189208984,0.501823365688324,0.583539605140686,0.634143054485321,-0.2384573221206665,0.10199873149394989,569.3082885742188,0.25544777512550354,0.2531076669692993,0.31693848967552185,-0.10376596450805664,0.11062958836555481,1674.6998291015625,0.2489544004201889,0.22150127589702606,0.16018782556056976,-0.072135329246521,0.12571457028388977,398.0689392089844,0.6766665577888489,0.6890372037887573,0.6237068176269531,-0.009405851364135742,0.13189752399921417,453.7742004394531,0.09046152979135513,0.10798323154449463,0.2604445219039917,-0.042679786682128906,0.12145578116178513,1051.2109375,0.47675269842147827,0.5374974012374878,0.6294097304344177,-0.07795488834381104,0.0,0.11068679392337799,0.12064512819051743,"COMPLETE"
2,0.18633662164211273,"2025-05-16 15:28:55.008436","2025-05-16 15:28:55.278399","0 days 00:00:00.269963",32,"","","","",0.0002508979468519937,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.15422925353050232,53.10013961791992,0.5310899615287781,0.6385629177093506,0.6871773600578308,-0.34853410720825195,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.18633662164211273,"","PRUNED"
3,0.14823384334643683,"2025-05-16 15:28:55.278623","2025-05-16 15:28:58.232960","0 days 00:00:02.954337",48,240.0,128.0,256.0,"",0.0006051119898473801,4,0.14823384334643683,810.46488087972,0.4525905936956406,0.47682167689005533,0.5321503023306529,-0.03538316488265991,0.1713668555021286,226.17755126953125,0.6203069686889648,0.5977640151977539,0.5873974561691284,0.13593214750289917,0.15934666991233826,68.20655822753906,0.29810166358947754,0.38317394256591797,0.4701804518699646,-0.025023221969604492,0.11425458639860153,192.81509399414062,0.4241611659526825,0.45595166087150574,0.45307162404060364,0.10420280694961548,0.10413987189531326,80.0543212890625,0.35012173652648926,0.404745876789093,0.5377012491226196,0.1426072120666504,0.23603083193302155,156.0027313232422,0.4266746938228607,0.37020429968833923,0.3551737368106842,-0.33962035179138184,0.1044805645942688,146.94168090820312,0.22274215519428253,0.23952403664588928,0.33155500888824463,0.014781057834625244,0.1433822512626648,59.43614196777344,0.6832128763198853,0.6598125696182251,0.7555621862411499,-0.05456125736236572,0.24253731966018677,4002.459716796875,0.43579933047294617,0.47640323638916016,0.7424999475479126,-0.14394021034240723,0.13820038735866547,66.05368041992188,0.6558478474617004,0.6215859651565552,0.6650132536888123,-0.12672197818756104,0.14001311361789703,68.63143157958984,0.7126001715660095,0.6628140807151794,0.6685621738433838,0.061858534812927246,0.10863175243139267,890.524169921875,0.25176456570625305,0.35947543382644653,0.40445002913475037,-0.03274714946746826,0.17908938229084015,3484.3642578125,0.2704683542251587,0.26263129711151123,0.1633586883544922,-0.8447519540786743,0.13428662717342377,436.4076232910156,0.7583430409431458,0.7107479572296143,0.6335316300392151,0.10988801717758179,0.13164815306663513,638.1139526367188,0.2900320887565613,0.39678850769996643,0.49756568670272827,0.12432610988616943,0.1160992830991745,1640.7843017578125,0.3886822462081909,0.5507022738456726,0.7166314125061035,0.34302276372909546,0.0,0.09315141290426254,0.10294630378484726,"COMPLETE"
4,0.16314343710740406,"2025-05-16 15:28:58.233344","2025-05-16 15:29:00.245908","0 days 00:00:02.012564",32,"","","","",0.004163691491437441,1,0.16314343710740406,1296.0086774190268,0.5315736288825671,0.5213722923149665,0.569957256068786,-0.7274456143379211,0.16419388353824615,188.4228515625,0.6671251058578491,0.6236593127250671,0.6190638542175293,0.13269257545471191,0.16247916221618652,72.07386016845703,0.5961112976074219,0.5246822237968445,0.5225239992141724,-0.01815950870513916,0.118832066655159,195.4220733642578,0.5042464137077332,0.4810464680194855,0.5140448808670044,0.04357987642288208,0.10260434448719025,79.47050476074219,0.5603852868080139,0.5866650938987732,0.6217150688171387,0.21974903345108032,0.2069462388753891,215.08670043945312,0.6571986079216003,0.6239595413208008,0.6111684441566467,0.0748445987701416,0.11671607196331024,171.20895385742188,0.35537323355674744,0.33783188462257385,0.3756107687950134,-0.29367053508758545,0.13132566213607788,57.70065689086914,0.7023163437843323,0.7292769551277161,0.7605985999107361,0.04252922534942627,0.23552317917346954,4055.052490234375,0.3862389624118805,0.462369829416275,0.7222911715507507,-0.11514925956726074,0.12770457565784454,72.58201599121094,0.4099913537502289,0.522785484790802,0.6383090615272522,-0.037549376487731934,0.131755530834198,63.18231964111328,0.69242924451828,0.6357323527336121,0.7270689010620117,0.11402684450149536,0.12018241733312607,1038.3709716796875,0.25123104453086853,0.31429150700569153,0.3719024658203125,-0.20381736755371094,0.4463709890842438,9846.1787109375,0.034244827926158905,0.02502366714179516,0.019678231328725815,-11.739446640014648,0.12058628350496292,390.2071533203125,0.9290103316307068,0.6969265937805176,0.7055285573005676,0.30306363105773926,0.12542718648910522,582.816650390625,0.6812121868133545,0.5866636633872986,0.5706661939620972,0.25777894258499146,0.13650396466255188,2412.354248046875,0.5464901924133301,0.6696698069572449,0.769188642501831,0.30784374475479126,0.0,0.08503866195678711,0.09513556957244873,"COMPLETE"
5,0.09459904581308365,"2025-05-16 15:29:00.246266","2025-05-16 15:29:00.648171","0 days 00:00:00.401905",256,"","","","",0.02050538710118888,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.14665864408016205,64.71289825439453,0.7123849987983704,0.7045247554779053,0.7400078177452087,-0.05023002624511719,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.09459904581308365,"","PRUNED"
6,0.09995237737894058,"2025-05-16 15:29:00.648413","2025-05-16 15:29:01.190155","0 days 00:00:00.541742",240,192.0,192.0,144.0,80.0,0.000441815640353754,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.14286664128303528,61.84988784790039,0.694026529788971,0.691981852054596,0.7594765424728394,-0.005585789680480957,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.09995237737894058,"","PRUNED"
7,0.12699121236801147,"2025-05-16 15:29:01.190400","2025-05-16 15:29:01.517571","0 days 00:00:00.327171",16,176.0,112.0,"","",0.00011060618583120946,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.17458917200565338,56.61286163330078,0.45091474056243896,0.5315800309181213,0.5798497796058655,-0.6967811584472656,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.12699121236801147,"","PRUNED"
8,0.10380429029464722,"2025-05-16 15:29:01.517808","2025-05-16 15:29:01.923117","0 days 00:00:00.405309",176,48.0,224.0,"","",0.022980166609759666,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.14218232035636902,65.40029907226562,0.7674408555030823,0.6877087950706482,0.7399628758430481,0.026472628116607666,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.10380429029464722,"","PRUNED"
9,0.10476802289485931,"2025-05-16 15:29:01.923350","2025-05-16 15:29:03.056496","0 days 00:00:01.133146",256,32.0,32.0,112.0,"",0.028134812332589527,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13406135141849518,62.13946533203125,0.7119146585464478,0.7580472230911255,0.7679854035377502,0.07091903686523438,0.2219439595937729,4031.080322265625,0.44876113533973694,0.5882146954536438,0.7629854083061218,0.015383601188659668,0.12377166002988815,69.43688201904297,0.5982800126075745,0.6873005628585815,0.6806919574737549,0.06794583797454834,0.12003490328788757,67.62702941894531,0.754888117313385,0.7223290801048279,0.7852632999420166,0.19950228929519653,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.08486828207969666,0.10476802289485931,"PRUNED"
