Specie,Kingdom,Role,Degree,Sum(connections strength),Networks presence
"Amphipoda sp1 FW_014_02","Animals","Prey",1,1,1
"Amphipoda sp1 FW_014_02","Animals","Predator",19,19,1
"Aphrophila noevaezelandiae","Animals","Prey",1,1,8
"Aphrophila noevaezelandiae","Animals","Predator",29,29,8
"Archichauliodes diversus","Animals","Prey",1,1,3
"Archichauliodes diversus","Animals","Predator",2,2,3
"Austroperla cyrene","Animals","Predator",16,16,8
"Autrosimilium australense","Animals","Prey",4,4,1
"Autrosimilium australense","Animals","Predator",25,25,1
"Coloburiscus humeralis","Animals","Predator",6,6,10
"Costachorema xanthoptera","Animals","Prey",1,1,10
"Costachorema xanthoptera","Animals","Predator",6,6,10
"Deleatidium sp1 FW_014_02","Animals","Prey",5,5,1
"Deleatidium sp1 FW_014_02","Animals","Predator",27,27,1
"Eukiefiriella","Animals","Prey",2,2,6
"Eukiefiriella","Animals","Predator",16,16,6
"Helicopsyche albescens","Animals","Prey",1,1,8
"Helicopsyche albescens","Animals","Predator",26,26,8
"Hudsonema aliena","Animals","Prey",2,2,2
"Hudsonema aliena","Animals","Predator",21,21,2
"Hydora nitida adult","Animals","Predator",17,17,4
"Hydora nitida larvae","Animals","Predator",28,28,4
"Hydraena homalaena sp1 FW_014_02","Animals","Predator",8,8,1
"Hydraena orchymontia","Animals","Predator",1,1,2
"Hydrobiosid sp1 FW_014_02","Animals","Prey",4,4,1
"Hydrobiosid sp1 FW_014_02","Animals","Predator",3,3,1
"Larsia II","Animals","Predator",2,2,4
"Maoridiamesea","Animals","Prey",3,3,6
"Maoridiamesea","Animals","Predator",20,20,6
"Moss cells","Animals","Prey",6,6,5
"Nannochorista philpotti","Animals","Predator",3,3,3
"Naonella","Animals","Prey",7,7,8
"Naonella","Animals","Predator",10,10,8
"Oligochaeta type I","Animals","Predator",22,22,7
"Oligochaeta type II","Animals","Prey",2,2,9
"Oligochaeta type II","Animals","Predator",24,24,9
"Oligochaeta type weak-long-short","Animals","Predator",23,23,1
"Olinga feredayi","Animals","Predator",3,3,6
"Orthoclad sp1 FW_014_02","Animals","Predator",19,19,1
"Oxyethira albiceps","Animals","Predator",13,13,5
"Philorheithrus agilis","Animals","Predator",4,4,6
"Pirara","Animals","Prey",2,2,7
"Pirara","Animals","Predator",12,12,7
"Podonomus","Animals","Predator",19,19,4
"Polypedellum","Animals","Predator",23,23,6
"Polyplectropus puerilis","Animals","Prey",1,1,8
"Polyplectropus puerilis","Animals","Predator",6,6,8
"Potamopyrgus antipodarum","Animals","Predator",20,20,10
"Psilachorema bidens","Animals","Prey",1,1,10
"Psilachorema bidens","Animals","Predator",6,6,10
"Pycnocentria sp1 FW_014_02","Animals","Predator",7,7,1
"Pycnocentrodes evecta","Animals","Prey",1,1,4
"Pycnocentrodes evecta","Animals","Predator",21,21,4
"Salmo trutta","Animals","Predator",14,14,11
"Scirtid type broad","Animals","Prey",1,1,2
"Scirtid type broad","Animals","Predator",8,8,2
"Scirtid type skinny","Animals","Predator",8,8,1
"Tanyderid sp1 FW_014_02","Animals","Predator",1,1,1
"Tanytarsini","Animals","Prey",1,1,6
"Tanytarsini","Animals","Predator",17,17,6
"Terrestrial Invertebrates","Animals","Prey",6,6,14
"Zelandoperla sp1 FW_014_02","Animals","Predator",10,10,1
"Achnanthes lanceoloata","Plants","Prey",24,24,5
"Achnanthes linearis","Plants","Prey",18,18,6
"Achnanthes saxonica","Plants","Prey",9,9,5
"Asterionella sp1 FW_014_02","Plants","Prey",1,1,1
"Aulacoseira sp1 FW_014_02","Plants","Prey",17,17,1
"Closterium sp1 FW_014_02","Plants","Prey",1,1,1
"Cocconeis sp1 FW_014_02","Plants","Prey",21,21,1
"Cymbella kappii","Plants","Prey",4,4,9
"Diatoma heimale","Plants","Prey",17,17,14
"Eunotia sp1 FW_014_02","Plants","Prey",20,20,1
"Eunotia sp2 FW_014_02","Plants","Prey",1,1,1
"Fragilaria sp1 FW_014_02","Plants","Prey",1,1,1
"Gomphonema cf. olivaceum","Plants","Prey",20,20,5
"Gomphonema sp1 FW_014_02","Plants","Prey",1,1,1
"Macrophytes","Plants","Prey",12,12,8
"Meridion circulare","Plants","Prey",14,14,10
"Microspora sp1 FW_014_02","Plants","Prey",14,14,1
"Navicula cf. radiosa","Plants","Prey",1,1,4
"Nitzschia sp1 FW_014_02","Plants","Prey",16,16,1
"Nitzschia sp2 FW_014_02","Plants","Prey",7,7,2
"Pinnularia sp1 FW_014_02","Plants","Prey",9,9,1
"Rhoicosphenia curvata","Plants","Prey",7,7,14
"Rhopalodia novae zelandicae","Plants","Prey",1,1,6
"Synedra rumpens","Plants","Prey",2,2,10
"Ulothrix","Plants","Prey",1,1,6
"Blue-green algae","Bacteria","Prey",6,6,7
"Red algae sp1 FW_014_02","Bacteria","Prey",2,2,1
"Amphora sp1 FW_014_02","Chromista","Prey",1,1,1
"Cyclotella sp1 FW_014_02","Chromista","Prey",26,26,1
"Cymbella aspera","Chromista","Prey",6,6,11
"Cymbella cuspidata","Chromista","Prey",2,2,7
"Cymbella minuta","Chromista","Prey",22,22,9
"Epithemia sorex","Chromista","Prey",5,5,11
"Fragilaria vaucheriae","Chromista","Prey",27,27,13
"Frustulia rhomboides","Chromista","Prey",12,12,15
"Gomphoneis herculeana","Chromista","Prey",1,1,12
"Gomphonema parvulum","Chromista","Prey",24,24,10
"Gomphonema subclavatum","Chromista","Prey",14,14,10
"Gomphonema truncatum","Chromista","Prey",5,5,10
"Melosira varians","Chromista","Prey",1,1,10
"Navicula avenacea","Chromista","Prey",13,13,15
"Navicula cryptocephala","Chromista","Prey",6,6,10
"Navicula rhynchocephala","Chromista","Prey",12,12,9
"Navicula sp1 FW_014_02","Chromista","Prey",6,6,1
"Pinnularia","Chromista","Prey",14,14,5
"Stauroneis sp1 FW_014_02","Chromista","Prey",2,2,1
"Surirella","Chromista","Prey",1,1,4
"Surirella tenera sp1 FW_014_02sp","Chromista","Prey",4,4,1
"Synedra ulna","Chromista","Prey",13,13,16
"Tabellaria flocculosa","Chromista","Prey",20,20,13
"Detritus","Undefined","Prey",28,28,27
