Specie,Kingdom,Role,Degree,Sum(connections strength),Networks presence
"Acroperla sp1 FW_013_04","Animals","Predator",4,4,1
"Aoteapsyche colonica","Animals","Prey",1,1,1
"Aoteapsyche colonica","Animals","Predator",14,14,1
"Aoteapsyche raruraru","Animals","Prey",1,1,3
"Aoteapsyche raruraru","Animals","Predator",14,14,3
"Aphrophila neozelandica","Animals","Predator",8,8,2
"Aphrotenidae","Animals","Predator",3,3,1
"Apsectrotanypus sp1 FW_013_04","Animals","Predator",3,3,1
"Archicauliodes diversus","Animals","Predator",5,5,4
"Archicauliodes diversus","Animals","Prey",1,1,4
"Austroperla cyrene","Animals","Predator",9,9,8
"Austrosimulium austranse","Animals","Predator",12,12,1
"Austrosimulium austranse","Animals","Prey",2,2,1
"Barareoptera roria","Animals","Predator",3,3,1
"Chironomini sp1 FW_013_04","Animals","Predator",2,2,1
"Cricotopus sp1 FW_013_04","Animals","Predator",3,3,1
"Cricotopus sp1 FW_013_04","Animals","Prey",9,9,1
"Deleatidium sp1 FW_013_04","Animals","Predator",9,9,1
"Deleatidium sp1 FW_013_04","Animals","Prey",9,9,1
"Eukieflidrella brundini","Animals","Predator",4,4,1
"Eukieflidrella brundini","Animals","Prey",1,1,1
"Helicopsyche albescens","Animals","Prey",1,1,8
"Helicopsyche albescens","Animals","Predator",4,4,8
"Hexatomini sp1 FW_013_04","Animals","Predator",2,2,1
"Hydora nitida larvae","Animals","Predator",9,9,4
"Hydrobiosis frater","Animals","Predator",3,3,2
"Hydrobiosis frater","Animals","Prey",1,1,2
"Hydrobiosis parumbripennis","Animals","Predator",7,7,7
"Hydrobiosis parumbripennis","Animals","Prey",1,1,7
"Hydrobiosis silvicola","Animals","Predator",3,3,1
"Hydrobiosis silvicola","Animals","Prey",1,1,1
"Lumbriculiid type I","Animals","Prey",1,1,2
"Lumbriculiid type I","Animals","Predator",5,5,2
"Lumbriculiid type II","Animals","Prey",3,3,3
"Lumbriculiid type II","Animals","Predator",10,10,3
"Lumbriculiid type III","Animals","Prey",2,2,2
"Lumbriculiid type III","Animals","Predator",8,8,2
"Lumbriculiid type skinny","Animals","Predator",8,8,2
"Megaleptoperla grandis","Animals","Prey",1,1,6
"Megaleptoperla grandis","Animals","Predator",2,2,6
"Molophilus sp1 FW_013_04","Animals","Predator",4,4,1
"Naonella forsythii","Animals","Predator",13,13,3
"Naonella forsythii","Animals","Prey",2,2,3
"Paralimnophila skuseii","Animals","Predator",4,4,3
"Paranephrops zelandicus","Animals","Predator",2,2,4
"Paranephrops zelandicus","Animals","Prey",1,1,4
"Paucispinigera approximata","Animals","Predator",6,6,3
"Podonomus sp1 FW_013_04","Animals","Predator",2,2,1
"Polypedilum sp1 FW_013_04","Animals","Predator",13,13,1
"Potamopyrgus antipodarum","Animals","Predator",5,5,10
"Psilachorema bidens","Animals","Predator",7,7,10
"Psilachorema bidens","Animals","Prey",1,1,10
"Pycnocentrodes evecta","Animals","Predator",7,7,4
"Pycnocentrodes evecta","Animals","Prey",1,1,4
"Rhabdomastrix sp1 FW_013_04","Animals","Predator",4,4,1
"Salmo trutta","Animals","Predator",16,16,11
"Scirtidae type skinny","Animals","Predator",7,7,2
"Stenoperla prasinia","Animals","Predator",1,1,9
"Stenoperla prasinia","Animals","Prey",1,1,9
"Stictocladius sp1 FW_013_04","Animals","Predator",4,4,1
"Tanyderidae","Animals","Predator",5,5,1
"Tanypodini sp1 FW_013_04","Animals","Predator",2,2,1
"Tanytarsus type blunt","Animals","Prey",2,2,1
"Tanytarsus type blunt","Animals","Predator",5,5,1
"Terrestrial invertebrate","Animals","Prey",4,4,2
"Tiphobiosis sp1 FW_013_04","Animals","Predator",1,1,1
"Zelandobius confusus","Animals","Predator",2,2,2
"Zelandoperla agnetis","Animals","Predator",4,4,2
"Zelandoperla agnetis","Animals","Prey",4,4,2
"Achnanthes lanceolata","Plants","Prey",19,19,6
"Auodinella","Plants","Prey",1,1,1
"Batrachospermum","Plants","Prey",1,1,3
"Diatoma heimale","Plants","Prey",3,3,14
"Gomphoneis herculeana var. robusta","Plants","Prey",11,11,3
"Gomphonema type coffin","Plants","Prey",6,6,1
"Pediastrum sp1 FW_013_04","Plants","Prey",2,2,1
"Rhodophyceae sp1 FW_013_04","Plants","Prey",1,1,1
"Rhoicosphenia curvata","Plants","Prey",33,33,14
"Stigeoclonium","Plants","Prey",1,1,3
"Synedra rumpens","Plants","Prey",1,1,10
"Terrestrial plant material","Plants","Prey",23,23,4
"Ulothrix","Plants","Prey",1,1,6
"Unidentified sp1 FW_013_04","Plants","Prey",31,31,1
"Blue-green algae","Bacteria","Prey",5,5,7
"Calothrix","Bacteria","Prey",3,3,4
"Green algae sp1 FW_013_04","Bacteria","Prey",5,5,1
"Schizothrix","Bacteria","Prey",1,1,1
"Cocconeis placentula","Chromista","Prey",17,17,4
"Cymbella kappi","Chromista","Prey",4,4,3
"Cymbella lunate","Chromista","Prey",4,4,1
"Frustulia rhomboides","Chromista","Prey",1,1,15
"Gomphonema angustatum","Chromista","Prey",6,6,8
"Gomphonema truncatum","Chromista","Prey",3,3,10
"Navicula avenacea","Chromista","Prey",17,17,15
"Pinnularia borealis","Chromista","Prey",1,1,3
"Pinnularia viridis","Chromista","Prey",1,1,4
"Surirella elegans","Chromista","Prey",4,4,5
"Surirella linearis","Chromista","Prey",2,2,2
"Synedra ulna","Chromista","Prey",3,3,16
"Tabellaria flocculosa","Chromista","Prey",6,6,13
