Specie,Kingdom,Role,Degree,Sum(connections strength),Networks presence
"Acroperla sp1 FW_014_04","Animals","Predator",30,30,1
"Amphipoda sp1 FW_014_04","Animals","Prey",1,1,1
"Amphipoda sp1 FW_014_04","Animals","Predator",24,24,1
"Aoteapsyche sp1 FW_014_04","Animals","Prey",1,1,1
"Aoteapsyche sp1 FW_014_04","Animals","Predator",18,18,1
"Aphrophila noevaezelandiae","Animals","Prey",1,1,8
"Aphrophila noevaezelandiae","Animals","Predator",36,36,8
"Archichauliodes diversus","Animals","Prey",1,1,3
"Archichauliodes diversus","Animals","Predator",3,3,3
"Austroclima jollyae","Animals","Prey",1,1,6
"Austroclima jollyae","Animals","Predator",35,35,6
"Austroperla cyrene","Animals","Predator",23,23,8
"Austrosimulium australense","Animals","Prey",5,5,11
"Austrosimulium australense","Animals","Predator",27,27,11
"Ceratopogonid sp1 FW_014_04","Animals","Predator",1,1,1
"Coloburiscus humeralis","Animals","Prey",1,1,10
"Coloburiscus humeralis","Animals","Predator",29,29,10
"Costachorema xanthoptera","Animals","Prey",1,1,10
"Costachorema xanthoptera","Animals","Predator",9,9,10
"Cricotopus I","Animals","Predator",6,6,5
"Cricotopus II","Animals","Prey",3,3,5
"Cricotopus II","Animals","Predator",20,20,5
"Deleatidium sp1 FW_014_04","Animals","Prey",5,5,1
"Deleatidium sp1 FW_014_04","Animals","Predator",25,25,1
"Eriopterini sp1 FW_014_04","Animals","Predator",13,13,1
"Eukiefiriella","Animals","Prey",10,10,6
"Eukiefiriella","Animals","Predator",17,17,6
"Galaxias sp1 FW_014_04","Animals","Predator",26,26,1
"Helicopsyche albescens","Animals","Predator",19,19,8
"Hudsonema amabilis","Animals","Predator",28,28,7
"Hydora nitida larva","Animals","Prey",1,1,6
"Hydora nitida larva","Animals","Predator",29,29,6
"Hydrobiosid sp1 FW_014_04","Animals","Prey",1,1,1
"Hydrobiosid sp1 FW_014_04","Animals","Predator",2,2,1
"Hydrobiosis parumbripennis","Animals","Prey",1,1,7
"Hydrobiosis parumbripennis","Animals","Predator",7,7,7
"Larsia I","Animals","Predator",1,1,4
"Maoridiamesea","Animals","Predator",17,17,6
"Megaleptoperla diminuta","Animals","Prey",1,1,2
"Megaleptoperla diminuta","Animals","Predator",1,1,2
"Moss cells","Animals","Prey",3,3,5
"Naonella","Animals","Prey",1,1,8
"Naonella","Animals","Predator",17,17,8
"Nesameletus ornatus","Animals","Prey",1,1,6
"Nesameletus ornatus","Animals","Predator",20,20,6
"Oligochaeta type I","Animals","Predator",23,23,7
