Specie,Kingdom,Role,Degree,Sum(connections strength),Networks presence
"Amphipoda sp1 FW_014_01","Animals","Prey",2,2,1
"Amphipoda sp1 FW_014_01","Animals","Predator",8,8,1
"Aoteapsyche sp1 FW_014_01","Animals","Prey",1,1,1
"Aoteapsyche sp1 FW_014_01","Animals","Predator",23,23,1
"Aphrophila noevaezelandiae","Animals","Prey",1,1,8
"Aphrophila noevaezelandiae","Animals","Predator",23,23,8
"Austroperla cyrene","Animals","Predator",11,11,8
"Austrosimulium australense","Animals","Prey",1,1,11
"Austrosimulium australense","Animals","Predator",22,22,11
"Coloburiscus humeralis","Animals","Prey",3,3,10
"Coloburiscus humeralis","Animals","Predator",19,19,10
"Costachorema xanthoptera","Animals","Prey",1,1,10
"Costachorema xanthoptera","Animals","Predator",6,6,10
"Deleatidium sp1 FW_014_01","Animals","Prey",4,4,1
"Deleatidium sp1 FW_014_01","Animals","Predator",14,14,1
"Eukiefieriella","Animals","Prey",3,3,1
"Eukiefieriella","Animals","Predator",6,6,1
"Helicopsyche albescens","Animals","Prey",1,1,8
"Helicopsyche albescens","Animals","Predator",12,12,8
"Hudsonema amabilis","Animals","Prey",1,1,7
"Hudsonema amabilis","Animals","Predator",7,7,7
"Hydora nitida adult","Animals","Prey",1,1,4
"Hydora nitida adult","Animals","Predator",9,9,4
"Hydora nitida larva","Animals","Prey",1,1,6
"Hydora nitida larva","Animals","Predator",14,14,6
"Hydrobiosid sp1 FW_014_01","Animals","Prey",1,1,1
"Hydrobiosid sp1 FW_014_01","Animals","Predator",5,5,1
"Maoridiamesea","Animals","Prey",1,1,6
"Maoridiamesea","Animals","Predator",5,5,6
"Megaleptoperla grandis","Animals","Predator",2,2,6
"Moss cells","Animals","Prey",4,4,5
"Naonella","Animals","Prey",2,2,8
"Naonella","Animals","Predator",23,23,8
"Nothodixa sp1 FW_014_01","Animals","Predator",5,5,1
"Oligochaeta type I","Animals","Predator",12,12,7
