Specie,Kingdom,Role,Degree,Sum(connections strength),Networks presence
"Oligochaeta type II","Animals","Prey",3,3,9
"Oligochaeta type II","Animals","Predator",11,11,9
"Olinga feredayii","Animals","Predator",5,5,2
"Orchymontia sp1 FW_014_01","Animals","Predator",8,8,1
"Pelicypod sp1 FW_014_01","Animals","Predator",5,5,1
"Philorheithrus agilis","Animals","Predator",7,7,6
"Pirara","Animals","Prey",2,2,7
"Pirara","Animals","Predator",6,6,7
"Polyplectropus puerilis","Animals","Prey",1,1,8
"Polyplectropus puerilis","Animals","Predator",5,5,8
"Potamopyrgus antipodarum","Animals","Prey",1,1,10
"Potamopyrgus antipodarum","Animals","Predator",14,14,10
"Psilachorema bidens","Animals","Prey",1,1,10
"Psilachorema bidens","Animals","Predator",1,1,10
"Pycnocentria sp1 FW_014_01","Animals","Predator",6,6,1
"Pycnocentrodes evecta","Animals","Prey",3,3,4
"Pycnocentrodes evecta","Animals","Predator",14,14,4
"Salmo trutta","Animals","Predator",20,20,11
"Scirtid sp1 FW_014_01","Animals","Predator",3,3,1
"Stictocladius","Animals","Predator",5,5,5
"Stratiomyid sp1 FW_014_01","Animals","Predator",2,2,1
"Tanytarsini","Animals","Predator",7,7,6
"Terrestrial Invertebrates","Animals","Prey",5,5,14
"Zealandoperla sp1 FW_014_01","Animals","Prey",2,2,1
"Zealandoperla sp1 FW_014_01","Animals","Predator",26,26,1
"Zealolessica cheira","Animals","Predator",4,4,2
"Achnanthes lanceoloata","Plants","Prey",14,14,5
"Achnanthes linearis","Plants","Prey",10,10,6
"Achnanthes saxonica","Plants","Prey",5,5,5
"Audouinella","Plants","Prey",8,8,4
"Aulacoseira sp1 FW_014_01","Plants","Prey",13,13,1
"Cocconeis sp1 FW_014_01","Plants","Prey",24,24,1
"Cymbella kappii","Plants","Prey",3,3,9
"Diatoma heimale","Plants","Prey",2,2,14
"Eunotia sp1 FW_014_01","Plants","Prey",16,16,1
"Eunotiasplarge","Plants","Prey",1,1,2
"Fragilaria sp1 FW_014_01","Plants","Prey",1,1,1
"Gomphonema cf. olivaceum","Plants","Prey",8,8,5
"Macrophytes","Plants","Prey",12,12,8
"Meridion circulare","Plants","Prey",12,12,10
"Microspora sp1 FW_014_01","Plants","Prey",5,5,1
"Navicula bicephala","Plants","Prey",1,1,2
"Nitzschia sp1 FW_014_01","Plants","Prey",5,5,1
"Nitzschia sp2 FW_014_02","Plants","Prey",7,7,2
"Oedogonium","Plants","Prey",3,3,4
"Pinnularia sp1 FW_014_01","Plants","Prey",11,11,1
"Rhoicosphenia curvata","Plants","Prey",2,2,14
"Rhopalodia novae zelandicae","Plants","Prey",2,2,6
"Spirogyra","Plants","Prey",1,1,3
"Green algae sp1 FW_014_01","Bacteria","Prey",1,1,1
"Achnanthes sp1 FW_014_01","Chromista","Prey",1,1,1
"Caloneis sp1 FW_014_01","Chromista","Prey",2,2,1
"Cyclotella sp1 FW_014_01","Chromista","Prey",5,5,1
"Cymbella aspera","Chromista","Prey",6,6,11
"Cymbella cuspidata","Chromista","Prey",2,2,7
"Cymbella minuta","Chromista","Prey",6,6,9
"Fragilaria vaucheriae","Chromista","Prey",18,18,13
"Frustulia rhomboides","Chromista","Prey",7,7,15
"Gomphoneis herculeana","Chromista","Prey",3,3,12
"Gomphonema parvulum","Chromista","Prey",12,12,10
"Gomphonema subclavatum","Chromista","Prey",4,4,10
"Melosira varians","Chromista","Prey",3,3,10
"Navicula avenacea","Chromista","Prey",11,11,15
"Navicula cryptocephala","Chromista","Prey",5,5,10
"Navicula rhynchocephala","Chromista","Prey",10,10,9
"Navicula sp1 FW_014_01","Chromista","Prey",2,2,1
"Pinnularia","Chromista","Prey",2,2,5
"Stauroneis sp1 FW_014_01","Chromista","Prey",1,1,1
"Stephanodiscus sp1 FW_014_01","Chromista","Prey",7,7,1
"Surirella","Chromista","Prey",2,2,4
"Synedra ulna","Chromista","Prey",10,10,16
"Tabellaria flocculosa","Chromista","Prey",8,8,13
"Detritus","Undefined","Prey",35,35,27
